Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,1200,,4800.0,,,,4.0,-4,,4800.0,-4800,-,
26/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
25/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
24/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
23/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
20/09/2024,5000000,5000000,2500,2800,2200,1,0.0,13,2500,2500,2500,2500,-,2500,2500,,,-,8578,,77199.0,1.0,0.0,,9.0,-9,,77200.0,-77200,-,
19/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
18/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
17/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
16/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
13/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,1600,,3200.0,,,,2.0,-2,,3200.0,-3200,-,
12/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
11/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
10/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
09/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
06/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,1220,,6100.0,,,,5.0,-5,,6100.0,-6100,-,
05/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
04/09/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,-,,,,,,,-,,,-,-,
30/08/2024,5000000,5000000,2500,2800,2200,-,,13,2500,2500,2500,2500,-,2500,2500,,,-,1567,,4700.0,,,,3.0,-3,,4700.0,-4700,-,
