Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,25189965,24794195,21300,22750,19850,76500,1634.0,531,21800,21400,21800,21250,550,21359.0,21400,100.0,0.47,1277,1149,2800.0,13000.0,76500.0,1634.0,92.0,157.0,-65,117500.0,180400.0,-62900,-,
26/09/2024,25189965,24794195,21450,22950,19950,98400,2106.0,528,21550,21300,21600,21300,300,21402.0,21300,-150.0,-0.7,1552,1271,4600.0,14600.0,98400.0,2106.0,89.0,167.0,-78,138100.0,212200.0,-74100,-,
25/09/2024,25189965,24794195,21450,22950,19950,115100,2484.0,532,21450,21450,21800,21450,350,21581.0,21500,,,1579,1485,16900.0,5900.0,115100.0,2484.0,109.0,141.0,-32,172100.0,209400.0,-37300,-,
24/09/2024,25189965,24794195,21550,23050,20050,95200,2046.0,532,21600,21450,21600,21100,500,21492.0,21500,-100.0,-0.46,1241,1295,8400.0,7300.0,95200.0,2046.0,100.0,127.0,-27,124100.0,164500.0,-40400,-,
23/09/2024,25189965,24794195,21450,22950,19950,112800,2412.0,534,21300,21550,21550,21100,450,21383.0,21600,100.0,0.47,1322,1293,3900.0,8700.0,112800.0,2412.0,130.0,149.0,-19,171900.0,192700.0,-20800,-,
20/09/2024,25189965,24794195,21500,23000,20000,79700,1700.0,532,21700,21450,21700,21000,700,21330.0,21500,-50.0,-0.23,1190,1236,4000.0,12500.0,79700.0,1700.0,153.0,172.0,-19,182100.0,212600.0,-30500,-,
19/09/2024,25189965,24794195,21500,23000,20000,77000,1660.0,533,21000,21500,21800,21000,800,21558.0,21500,,,1125,1349,12800.0,6200.0,77000.0,1660.0,142.0,137.0,5,159800.0,184800.0,-25000,-,
18/09/2024,25189965,24794195,21200,22650,19750,89800,1910.0,533,20750,21500,21950,20600,1350,21269.0,21500,300.0,1.42,1299,1108,1200.0,5400.0,89800.0,1910.0,224.0,229.0,-5,290900.0,253700.0,37200,-,
17/09/2024,25189965,24794195,21000,22450,19550,90900,1898.0,526,21400,21200,21400,20500,900,20880.0,21200,200.0,0.95,961,1414,1500.0,7100.0,90900.0,1898.0,151.0,128.0,23,145100.0,181000.0,-35900,-,
16/09/2024,25189965,24794195,21600,23100,20100,86300,1871.0,521,21850,21000,21900,21000,900,21680.0,21000,-600.0,-2.78,876,1351,4900.0,19900.0,86300.0,1871.0,131.0,154.0,-23,114700.0,208000.0,-93300,-,
13/09/2024,25189965,24794195,20900,22350,19450,97600,2071.0,536,20550,21600,21650,20500,1150,21219.0,21600,700.0,3.35,894,1036,3000.0,7200.0,97600.0,2071.0,191.0,192.0,-1,170700.0,198900.0,-28200,-,
12/09/2024,25189965,24794195,21000,22450,19550,81600,1702.0,518,21200,20900,21250,20500,750,20858.0,20900,-100.0,-0.48,715,1014,12200.0,18300.0,81600.0,1702.0,205.0,198.0,7,146600.0,200800.0,-54200,-,
11/09/2024,25189965,24794195,21350,22800,19900,158700,3323.0,521,21700,21000,21700,20500,1200,20939.0,21000,-350.0,-1.64,809,1700,2100.0,14300.0,158700.0,3323.0,276.0,244.0,32,223300.0,414700.0,-191400,-,
10/09/2024,25189965,24794195,22200,23750,20650,217000,4637.0,529,22200,21350,22850,20650,2200,21369.0,21400,-850.0,-3.83,910,1678,6500.0,11800.0,217000.0,4637.0,327.0,301.0,26,297500.0,505100.0,-207600,-,
09/09/2024,25189965,24794195,23000,24600,21400,110400,2496.0,550,22500,22200,23200,22150,1050,22609.0,22200,-800.0,-3.48,788,1118,10200.0,9900.0,110400.0,2496.0,233.0,205.0,28,183700.0,229200.0,-45500,-,
06/09/2024,25189965,24794195,23350,24950,21750,848700,18751.0,570,22000,23000,23450,21750,1700,22094.0,23000,-350.0,-1.5,1451,2093,7700.0,6100.0,848700.0,18751.0,651.0,559.0,92,944400.0,1170200.0,-225800,-,
05/09/2024,25189965,24794195,25100,26850,23350,224700,5470.0,579,25550,23350,25600,23350,2250,24344.0,23400,-1750.0,-6.97,686,1728,,137500.0,224700.0,5470.0,369.0,426.0,-57,253300.0,736100.0,-482800,-,
