Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,10500000,10500000,6900,7900,5900,8900,60.0,71,6800,6800,6800,6700,100,6773,6800,-100.0,-1.45,1010,1400,1200.0,5100.0,8900.0,60.0,10.0,10.0,-,10100.0,14000.0,-3900,-,
26/09/2024,10500000,10500000,6800,7800,5800,2400,17.0,72,6800,6900,6900,6800,100,6896,6900,100.0,1.47,867,1400,200.0,4600.0,2400.0,17.0,3.0,5.0,-2,2600.0,7000.0,-4400,-,
25/09/2024,10500000,10500000,6300,7200,5400,5600,38.0,71,6500,6800,6800,6500,300,6780,6800,500.0,7.94,900,1200,1600.0,4000.0,5600.0,38.0,8.0,8.0,-,7200.0,9600.0,-2400,-,
24/09/2024,10500000,10500000,6300,7200,5400,-,,66,6300,6300,6300,6300,-,6300,6300,,,400,900,1200.0,4500.0,,,3.0,5.0,-2,1200.0,4500.0,-3300,-,
23/09/2024,10500000,10500000,6200,7100,5300,200,1.0,66,6300,6300,6300,6300,-,6300,6300,100.0,1.61,180,775,700.0,2900.0,200.0,1.0,5.0,4.0,1,900.0,3100.0,-2200,-,
20/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,180,800,900.0,800.0,,,5.0,1.0,4,900.0,800.0,100,-,
19/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,125,533,500.0,1600.0,,,4.0,3.0,1,500.0,1600.0,-1100,-,
18/09/2024,10500000,10500000,6200,7100,5300,1000,6.0,65,6300,6200,6300,6200,100,6220,6200,,,200,380,400.0,900.0,1000.0,6.0,7.0,5.0,2,1400.0,1900.0,-500,-,
17/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,400,467,1200.0,1400.0,,,3.0,3.0,-,1200.0,1400.0,-200,-,
16/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,200,467,800.0,1400.0,,,4.0,3.0,1,800.0,1400.0,-600,-,
13/09/2024,10500000,10500000,6200,7100,5300,300,2.0,65,6200,6200,6200,6200,-,6200,6200,,,260,340,1000.0,1400.0,300.0,2.0,5.0,5.0,-,1300.0,1700.0,-400,-,
12/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,200,1300,1000.0,2600.0,,,5.0,2.0,3,1000.0,2600.0,-1600,-,
11/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,100,350,300.0,700.0,,,3.0,2.0,1,300.0,700.0,-400,-,
10/09/2024,10500000,10500000,6200,7100,5300,700,4.0,65,6200,6200,6200,6200,-,6200,6200,,,225,267,1100.0,100.0,700.0,4.0,8.0,3.0,5,1800.0,800.0,1000,-,
09/09/2024,10500000,10500000,6200,7100,5300,600,4.0,65,6200,6200,6200,6200,-,6200,6200,,,220,500,500.0,1400.0,600.0,4.0,5.0,4.0,1,1100.0,2000.0,-900,-,
06/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,100,100,400.0,200.0,,,4.0,2.0,2,400.0,200.0,200,-,
05/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,280,300,1400.0,900.0,,,5.0,3.0,2,1400.0,900.0,500,-,
04/09/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,280,650,1400.0,1300.0,,,5.0,2.0,3,1400.0,1300.0,100,-,
30/08/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,157,350,1100.0,1400.0,,,7.0,4.0,3,1100.0,1400.0,-300,-,
29/08/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,100,800,300.0,800.0,,,3.0,1.0,2,300.0,800.0,-500,-,
28/08/2024,10500000,10500000,6200,7100,5300,1000,6.0,65,6200,6200,6200,6200,-,6200,6200,,,250,900,500.0,800.0,1000.0,6.0,6.0,2.0,4,1500.0,1800.0,-300,-,
27/08/2024,10500000,10500000,6200,7100,5300,200,1.0,65,6200,6200,6200,6200,-,6200,6200,,,125,600,300.0,2200.0,200.0,1.0,4.0,4.0,-,500.0,2400.0,-1900,-,
26/08/2024,10500000,10500000,6200,7100,5300,700,4.0,65,6200,6200,6200,6200,-,6200,6200,,,225,933,1100.0,2100.0,700.0,4.0,8.0,3.0,5,1800.0,2800.0,-1000,-,
23/08/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,100,875,600.0,3500.0,,,6.0,4.0,2,600.0,3500.0,-2900,-,
22/08/2024,10500000,10500000,6200,7100,5300,-,,65,6200,6200,6200,6200,-,6200,6200,,,86,1800,600.0,1800.0,,,7.0,1.0,6,600.0,1800.0,-1200,-,
21/08/2024,10500000,10500000,6200,7100,5300,1100,7.0,65,6200,6200,6200,6200,-,6200,6200,,,257,800,700.0,1300.0,1100.0,7.0,7.0,3.0,4,1800.0,2400.0,-600,-,
