Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,13514680,13514680,7000,8000,6000,4842,34.0,95,7000,7000,7000,6900,100,6973,7000,,,1000,1567,18158.0,23358.0,4842.0,34.0,23.0,18.0,5,23000.0,28200.0,-5200,-,
26/09/2024,13514680,13514680,7000,8000,6000,184510,1126.0,92,7000,6800,7000,6800,200,6962,6800,-200.0,-2.86,956,1600,14890.0,17290.0,19510.0,136.0,36.0,23.0,13,34400.0,36800.0,-2400,165000,990.0
25/09/2024,13514680,13514680,7000,8000,6000,15218,106.0,95,7000,7000,7000,6900,100,6985,7000,,,1057,1361,14382.0,22882.0,15218.0,106.0,28.0,28.0,-,29600.0,38100.0,-8500,-,
24/09/2024,13514680,13514680,7100,8100,6100,4000,28.0,95,7000,7000,7000,7000,-,7000,7000,-100.0,-1.41,989,1953,13800.0,25300.0,4000.0,28.0,18.0,15.0,3,17800.0,29300.0,-11500,-,
23/09/2024,13514680,13514680,7100,8100,6100,8300,59.0,96,7100,7100,7100,7100,-,7100,7100,,,1290,2047,18800.0,26500.0,8300.0,59.0,21.0,17.0,4,27100.0,34800.0,-7700,-,
20/09/2024,13514680,13514680,7100,8100,6100,18500,131.0,95,7100,7000,7100,7000,100,7055,7000,-100.0,-1.41,1096,1717,11100.0,22700.0,18500.0,131.0,27.0,24.0,3,29600.0,41200.0,-11600,-,
19/09/2024,13514680,13514680,7100,8100,6100,24676,174.0,96,7100,7100,7100,7000,100,7064,7100,,,1132,1390,10424.0,18424.0,24676.0,174.0,31.0,31.0,-,35100.0,43100.0,-8000,-,
18/09/2024,13514680,13514680,7200,8200,6200,14200,101.0,97,7200,7200,7200,7000,200,7115,7200,,,1134,2532,22100.0,49100.0,14200.0,101.0,32.0,25.0,7,36300.0,63300.0,-27000,-,
17/09/2024,13514680,13514680,7300,8300,6300,29613,214.0,99,7300,7300,7300,7000,300,7220,7300,,,1171,1825,26587.0,21487.0,29613.0,214.0,48.0,28.0,20,56200.0,51100.0,5100,-,
16/09/2024,13514680,13514680,7200,8200,6200,300,2.0,97,7400,7200,7400,7200,200,7267,7200,,,637,2620,11800.0,39000.0,300.0,2.0,19.0,15.0,4,12100.0,39300.0,-27200,-,
13/09/2024,13514680,13514680,7300,8300,6300,4206,30.0,97,7200,7200,7400,7200,200,7210,7200,-100.0,-1.37,748,1559,11494.0,22294.0,4206.0,30.0,21.0,17.0,4,15700.0,26500.0,-10800,-,
12/09/2024,13514680,13514680,7300,8300,6300,500,4.0,100,7200,7400,7400,7200,200,7280,7400,100.0,1.37,922,1550,16100.0,24300.0,500.0,4.0,18.0,16.0,2,16600.0,24800.0,-8200,-,
11/09/2024,13514680,13514680,7200,8200,6200,2000,15.0,99,7400,7300,7400,7200,200,7310,7300,100.0,1.39,740,1804,16500.0,39500.0,2000.0,15.0,25.0,23.0,2,18500.0,41500.0,-23000,-,
10/09/2024,13514680,13514680,7200,8200,6200,2308,17.0,97,7300,7200,7300,7200,100,7204,7200,,,845,2207,14592.0,28592.0,2308.0,17.0,20.0,14.0,6,16900.0,30900.0,-14000,-,
09/09/2024,13514680,13514680,7400,8500,6300,2200,16.0,97,7200,7200,7200,7200,-,7200,7200,-200.0,-2.7,947,1755,12000.0,17100.0,2200.0,16.0,15.0,11.0,4,14200.0,19300.0,-5100,-,
06/09/2024,13514680,13514680,7300,8300,6300,10508,77.0,100,7400,7400,7400,7300,100,7358,7400,100.0,1.37,1316,1319,31592.0,17192.0,10508.0,77.0,32.0,21.0,11,42100.0,27700.0,14400,-,
05/09/2024,13514680,13514680,7200,8200,6200,27527,201.0,97,7200,7200,7400,7200,200,7296,7200,,,3081,1202,55673.0,26573.0,27527.0,201.0,27.0,45.0,-18,83200.0,54100.0,29100,-,
04/09/2024,13514680,13514680,7200,8200,6200,13200,95.0,96,7200,7100,7200,7100,100,7192,7100,-100.0,-1.39,2618,1211,60100.0,19500.0,13200.0,95.0,28.0,27.0,1,73300.0,32700.0,40600,-,
30/08/2024,13514680,13514680,7200,8200,6200,17301,124.0,97,7200,7200,7300,7100,200,7160,7200,,,1461,1659,38199.0,19199.0,17301.0,124.0,38.0,22.0,16,55500.0,36500.0,19000,-,
29/08/2024,13514680,13514680,7300,8300,6300,14735,106.0,96,7200,7100,7200,7100,100,7169,7100,-200.0,-2.74,1392,1446,36765.0,35865.0,14735.0,106.0,37.0,35.0,2,51500.0,50600.0,900,-,
28/08/2024,13514680,13514680,7200,8200,6200,11700,85.0,99,7100,7300,7300,7100,200,7257,7300,100.0,1.39,1508,1426,65200.0,26800.0,11700.0,85.0,51.0,27.0,24,76900.0,38500.0,38400,-,
