Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12012000,12012000,6200,7100,5300,-,,74,6200,6200,6200,6200,-,6200,6200,,,40,200,200.0,800.0,,,5.0,4,1,200.0,800,-600,-,
26/09/2024,12012000,12012000,6400,7300,5500,10800,67.0,74,6200,6200,6200,6200,-,6200,6200,-200.0,-3.13,729,3129,1600.0,11100.0,10800.0,67.0,17.0,7,10,12400.0,21900,-9500,-,
25/09/2024,12012000,12012000,6200,7100,5300,33700,215.0,77,6400,6400,6600,6300,300,6385,6400,200.0,3.23,1867,7100,5500.0,23100.0,33700.0,215.0,21.0,8,13,39200.0,56800,-17600,-,
24/09/2024,12012000,12012000,6200,7100,5300,-,,74,6200,6200,6200,6200,-,6200,6200,,,700,60,7700.0,300.0,,,11.0,5,6,7700.0,300,7400,-,
23/09/2024,12012000,12012000,7100,8100,6100,5400,33.0,84,6100,7000,7100,6100,1000,6154,7000,-100.0,-1.41,582,1256,4500.0,5900.0,5400.0,33.0,17.0,9,8,9900.0,11300,-1400,-,
20/09/2024,12012000,12012000,7100,8100,6100,400,3.0,85,7000,7100,7100,7000,100,7050,7100,,,100,1064,300.0,11300.0,400.0,3.0,7.0,11,-4,700.0,11700,-11000,-,
19/09/2024,12012000,12012000,7100,8100,6100,3,0.0,85,7100,7000,7100,7100,-,7100,7100,-100.0,-1.41,367,100,1097.0,397.0,3.0,0.0,3.0,4,-1,1100.0,400,700,-,
18/09/2024,12012000,12012000,7100,8100,6100,-,,85,7100,7100,7100,7100,-,7100,7100,,,500,100,1000.0,400.0,,,2.0,4,-2,1000.0,400,600,-,
17/09/2024,12012000,12012000,7100,8100,6100,-,,85,7100,7100,7100,7100,-,7100,7100,,,100,100,100.0,400.0,,,1.0,4,-3,100.0,400,-300,-,
