Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,81396192,81396192,8700,10000,7400,2,0.0,708,8700,8700,8700,8700,-,8700,8700,,,100,650,98.0,2598.0,2.0,0.0,1.0,4,-3,100.0,2600,-2500,-,
26/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,50,520,100.0,2600.0,,,2.0,5,-3,100.0,2600,-2500,-,
25/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,700,767,2100.0,4600.0,,,3.0,6,-3,2100.0,4600,-2500,-,
24/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,550,720,1100.0,3600.0,,,2.0,5,-3,1100.0,3600,-2500,-,
23/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,50,243,100.0,1700.0,,,2.0,7,-5,100.0,1700,-1600,-,
20/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,2000,1940,2000.0,9700.0,,,1.0,5,-4,2000.0,9700,-7700,-,
19/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,1050,909,2100.0,10000.0,,,2.0,11,-9,2100.0,10000,-7900,-,
18/09/2024,81396192,81396192,8700,10000,7400,3,0.0,708,8700,8700,8700,8700,-,8700,8700,,,200,3100,197.0,12397.0,3.0,0.0,1.0,4,-3,200.0,12400,-12200,-,
17/09/2024,81396192,81396192,8700,10000,7400,400,3.0,708,8700,8700,8700,8700,-,8700,8700,,,167,250,100.0,100.0,400.0,3.0,3.0,2,1,500.0,500,-,-,
16/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,67,4550,200.0,9100.0,,,3.0,2,1,200.0,9100,-8900,-,
13/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,100,3300,100.0,9900.0,,,1.0,3,-2,100.0,9900,-9800,-,
12/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,100,1920,100.0,9600.0,,,1.0,5,-4,100.0,9600,-9500,-,
11/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,67,325,200.0,1300.0,,,3.0,4,-1,200.0,1300,-1100,-,
10/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,-,967,,2900.0,,,,3,-3,,2900,-2900,-,
09/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,100,425,200.0,1700.0,,,2.0,4,-2,200.0,1700,-1500,-,
06/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,620,2625,3100.0,10500.0,,,5.0,4,1,3100.0,10500,-7400,-,
05/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,950,1000,3800.0,5000.0,,,4.0,5,-1,3800.0,5000,-1200,-,
04/09/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,675,2000,2700.0,2000.0,,,4.0,1,3,2700.0,2000,700,-,
30/08/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,75,1100,300.0,3300.0,,,4.0,3,1,300.0,3300,-3000,-,
29/08/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,500,1114,1000.0,7800.0,,,2.0,7,-5,1000.0,7800,-6800,-,
28/08/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,250,700,500.0,2100.0,,,2.0,3,-1,500.0,2100,-1600,-,
27/08/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,150,1400,600.0,2800.0,,,4.0,2,2,600.0,2800,-2200,-,
26/08/2024,81396192,81396192,8700,10000,7400,2,0.0,708,8700,8700,8700,8700,-,8700,8700,,,1050,717,2098.0,4298.0,2.0,0.0,2.0,6,-4,2100.0,4300,-2200,-,
23/08/2024,81396192,81396192,8700,10000,7400,1,0.0,708,8700,8700,8700,8700,-,8700,8700,,,700,725,2099.0,2899.0,1.0,0.0,3.0,4,-1,2100.0,2900,-800,-,
22/08/2024,81396192,81396192,8700,10000,7400,1,0.0,708,8700,8700,8700,8700,-,8700,8700,,,400,550,1599.0,2199.0,1.0,0.0,4.0,4,-,1600.0,2200,-600,-,
21/08/2024,81396192,81396192,8700,10000,7400,501,4.0,708,8700,8700,8700,8700,-,8700,8700,,,425,250,1199.0,999.0,501.0,4.0,4.0,6,-2,1700.0,1500,200,-,
20/08/2024,81396192,81396192,8700,10000,7400,2,0.0,708,8700,8700,8700,8700,-,8700,8700,,,367,260,1098.0,1298.0,2.0,0.0,3.0,5,-2,1100.0,1300,-200,-,
19/08/2024,81396192,81396192,8700,10000,7400,-,,708,8700,8700,8700,8700,-,8700,8700,,,100,500,300.0,2000.0,,,3.0,4,-1,300.0,2000,-1700,-,
16/08/2024,81396192,81396192,8800,10100,7500,902,8.0,708,8700,8700,8700,8700,-,8700,8700,-100.0,-1.14,480,500,1498.0,1098.0,902.0,8.0,5.0,4,1,2400.0,2000,400,-,
15/08/2024,81396192,81396192,7700,8800,6600,147,1.0,716,8800,8800,8800,8800,-,8800,8800,1100.0,14.29,178,100,1453.0,,147.0,1.0,9.0,1,8,1600.0,100,1500,-,
14/08/2024,81396192,81396192,7700,8800,6600,-,,627,7700,7700,7700,7700,-,7700,7700,,,420,100,2100.0,100.0,,,5.0,1,4,2100.0,100,2000,-,
13/08/2024,81396192,81396192,7700,8800,6600,-,,627,7700,7700,7700,7700,-,7700,7700,,,171,100,1200.0,100.0,,,7.0,1,6,1200.0,100,1100,-,
12/08/2024,81396192,81396192,7700,8800,6600,47,0.0,627,7700,7700,7700,7700,-,7700,7700,,,200,100,1553.0,53.0,47.0,0.0,8.0,1,7,1600.0,100,1500,-,
09/08/2024,81396192,81396192,8400,9600,7200,100,1.0,627,7700,7700,7700,7700,-,7700,7700,-700.0,-8.33,475,167,3700.0,900.0,100.0,1.0,8.0,6,2,3800.0,1000,2800,-,
08/08/2024,81396192,81396192,9400,10800,8000,1402,12.0,692,8000,8500,8500,8000,500,8371,8500,-900.0,-9.57,478,289,2898.0,1198.0,1402.0,12.0,9.0,9,-,4300.0,2600,1700,-,
07/08/2024,81396192,81396192,9400,10800,8000,-,,765,9400,9400,9400,9400,-,9400,9400,,,1000,550,1000.0,3300.0,,,1.0,6,-5,1000.0,3300,-2300,-,
06/08/2024,81396192,81396192,9400,10800,8000,-,,765,9400,9400,9400,9400,-,9400,9400,,,-,660,,3300.0,,,,5,-5,,3300,-3300,-,
05/08/2024,81396192,81396192,9400,10800,8000,-,,765,9400,9400,9400,9400,-,9400,9400,,,-,329,,2300.0,,,,7,-7,,2300,-2300,-,
02/08/2024,81396192,81396192,9400,10800,8000,-,,765,9400,9400,9400,9400,-,9400,9400,,,100,380,100.0,3800.0,,,1.0,10,-9,100.0,3800,-3700,-,
01/08/2024,81396192,81396192,9400,10800,8000,3,0.0,765,9400,9500,9400,9400,-,9400,9400,100.0,1.06,-,614,,4297.0,3.0,0.0,1.0,7,-6,,4300,-4300,-,
31/07/2024,81396192,81396192,9400,10800,8000,-,,765,9400,9400,9400,9400,-,9400,9400,,,500,525,1000.0,4200.0,,,2.0,8,-6,1000.0,4200,-3200,-,
30/07/2024,81396192,81396192,9400,10800,8000,-,,765,9400,9400,9400,9400,-,9400,9400,,,1000,825,1000.0,6600.0,,,1.0,8,-7,1000.0,6600,-5600,-,
29/07/2024,81396192,81396192,9300,10600,8000,1400,13.0,773,9000,9500,9500,9000,500,9400,9500,200.0,2.15,320,263,200.0,700.0,1400.0,13.0,5.0,8,-3,1600.0,2100,-500,-,
26/07/2024,81396192,81396192,9500,10900,8100,300,3.0,757,9300,9300,9300,9300,-,9300,9300,-200.0,-2.11,2475,844,9600.0,7300.0,300.0,3.0,4.0,9,-5,9900.0,7600,2300,-,
25/07/2024,81396192,81396192,9500,10900,8100,-,,773,9500,9500,9500,9500,-,9500,9500,,,400,375,400.0,3000.0,,,1.0,8,-7,400.0,3000,-2600,-,
24/07/2024,81396192,81396192,9500,10900,8100,-,,773,9500,9500,9500,9500,-,9500,9500,,,400,400,400.0,1600.0,,,1.0,4,-3,400.0,1600,-1200,-,
