Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4884900,4792500,2000,2300,1700,-,,10,2000,2000,2000,2000,-,2000,2000,,,100,1133,300.0,3400.0,,,3.0,3.0,-,300.0,3400.0,-3100,-,
26/09/2024,4884900,4792500,2000,2300,1700,-,,10,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,4884900,4792500,2000,2300,1700,-,,10,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,4884900,4792500,2000,2300,1700,-,,10,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,4884900,4792500,2000,2300,1700,-,,10,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,4884900,4792500,2300,2600,2000,1000,2.0,10,2000,2000,2000,2000,-,2000,2000,-300.0,-13.04,220,763,100.0,5100.0,1000.0,2.0,5.0,8.0,-3,1100.0,6100.0,-5000,-,
19/09/2024,4884900,4792500,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
18/09/2024,4884900,4792500,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
17/09/2024,4884900,4792500,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
