Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,57839000,57839000,3700,4200,3200,11000,40.0,208,3700,3600,3700,3600,100,3602,3600,-100.0,-2.7,1737,2048,35900,48400.0,11000.0,40.0,27,29,-2,46900,59400,-12500,-,
26/09/2024,57839000,57839000,3700,4200,3200,1400,5.0,214,3700,3700,3700,3700,-,3700,3700,,,3841,3031,83100,77400.0,1400.0,5.0,22,26,-4,84500,78800,5700,-,
25/09/2024,57839000,57839000,3600,4100,3100,5100,19.0,214,3700,3700,3700,3700,-,3700,3700,100.0,2.78,1204,2191,23800,45300.0,5100.0,19.0,24,23,1,28900,50400,-21500,-,
24/09/2024,57839000,57839000,3600,4100,3100,9000,32.0,208,3600,3600,3600,3600,-,3600,3600,,,1225,2623,10600,48700.0,9000.0,32.0,16,22,-6,19600,57700,-38100,-,
23/09/2024,57839000,57839000,3600,4100,3100,16600,60.0,208,3600,3600,3600,3600,-,3600,3600,,,4427,2477,98500,47800.0,16600.0,60.0,26,26,-,115100,64400,50700,-,
20/09/2024,57839000,57839000,3600,4100,3100,10000,36.0,208,3600,3600,3600,3600,-,3600,3600,,,4840,3095,86800,58100.0,10000.0,36.0,20,22,-2,96800,68100,28700,-,
19/09/2024,57839000,57839000,3600,4100,3100,8000,29.0,208,3600,3600,3600,3600,-,3600,3600,,,2106,2419,29900,57300.0,8000.0,29.0,18,27,-9,37900,65300,-27400,-,
18/09/2024,57839000,57839000,3500,4000,3000,26800,96.0,202,3600,3500,3600,3500,100,3599,3500,,,1488,2413,23800,48000.0,26800.0,96.0,34,31,3,50600,74800,-24200,-,
17/09/2024,57839000,57839000,3400,3900,2900,15700,55.0,202,3500,3500,3500,3500,-,3500,3500,100.0,2.94,1423,2873,27000,47500.0,15700.0,55.0,30,22,8,42700,63200,-20500,-,
16/09/2024,57839000,57839000,3400,3900,2900,500,2.0,197,3400,3400,3400,3400,-,3400,3400,,,3507,2370,97700,46900.0,500.0,2.0,28,20,8,98200,47400,50800,-,
13/09/2024,57839000,57839000,3600,4100,3100,4200,14.0,202,3300,3500,3500,3300,200,3352,3500,-100.0,-2.78,2490,2412,68000,58500.0,4200.0,14.0,29,26,3,72200,62700,9500,-,
12/09/2024,57839000,57839000,3400,3900,2900,100,0.0,208,3600,3600,3600,3600,-,3600,3600,200.0,5.88,3542,3181,84900,50800.0,100.0,0.0,24,16,8,85000,50900,34100,-,
11/09/2024,57839000,57839000,3200,3600,2800,800,3.0,197,3400,3400,3500,3400,100,3413,3400,200.0,6.25,2567,5344,99300,47300.0,800.0,3.0,39,9,30,100100,48100,52000,-,
10/09/2024,57839000,57839000,3400,3900,2900,21000,68.0,197,3300,3400,3500,3200,300,3219,3400,,,2904,4386,109700,40400.0,21000.0,68.0,45,14,31,130700,61400,69300,-,
09/09/2024,57839000,57839000,3600,4100,3100,46700,160.0,202,3500,3500,3500,3200,300,3430,3500,-100.0,-2.78,3183,3452,106100,39600.0,46700.0,160.0,48,25,23,152800,86300,66500,-,
06/09/2024,57839000,57839000,3600,4100,3100,8801,32.0,208,3600,3600,3600,3600,-,3600,3600,,,4769,2945,67499,55999.0,8801.0,32.0,16,22,-6,76300,64800,11500,-,
05/09/2024,57839000,57839000,3600,4100,3100,500,2.0,208,3600,3600,3600,3600,-,3600,3600,,,4105,2654,89800,63200.0,500.0,2.0,22,24,-2,90300,63700,26600,-,
04/09/2024,57839000,57839000,3600,4100,3100,19000,68.0,208,3600,3600,3600,3600,-,3600,3600,,,3909,2819,70900,57100.0,19000.0,68.0,23,27,-4,89900,76100,13800,-,
