Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,61968926,61968926,12500,14300,10700,500,6.0,775,12500,12500,12500,12500,-,12500,12500,,,240,213,700.0,1200.0,500.0,6.0,5.0,8.0,-3,1200.0,1700.0,-500,-,
26/09/2024,61968926,61968926,12500,14300,10700,1800,19.0,775,12500,12500,12500,12500,-,12500,12500,,,233,350,600.0,600.0,100.0,1.0,3.0,2.0,1,700.0,700.0,-,1700,18.0
25/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,400,500,400.0,500.0,,,1.0,1.0,-,400.0,500.0,-100,-,
24/09/2024,61968926,61968926,12700,14600,10800,400,5.0,775,12500,12500,12500,12500,-,12500,12500,-200.0,-1.57,300,278,800.0,2100.0,400.0,5.0,4.0,9.0,-5,1200.0,2500.0,-1300,-,
23/09/2024,61968926,61968926,12500,14300,10700,301,4.0,787,12700,12700,12700,12700,-,12700,12700,200.0,1.6,250,250,699.0,1699.0,301.0,4.0,4.0,8.0,-4,1000.0,2000.0,-1000,-,
20/09/2024,61968926,61968926,12500,14300,10700,200,3.0,775,12500,12500,12500,12500,-,12500,12500,,,200,350,400.0,500.0,200.0,3.0,3.0,2.0,1,600.0,700.0,-100,-,
19/09/2024,61968926,61968926,12500,14300,10700,100,1.0,775,12500,12500,12500,12500,-,12500,12500,,,200,157,500.0,1000.0,100.0,1.0,3.0,7.0,-4,600.0,1100.0,-500,-,
18/09/2024,61968926,61968926,12500,14300,10700,200,3.0,775,12500,12500,12500,12500,-,12500,12500,,,50,280,,1200.0,200.0,3.0,4.0,5.0,-1,200.0,1400.0,-1200,-,
17/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,400,1088,400.0,8700.0,,,1.0,8.0,-7,400.0,8700.0,-8300,-,
16/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,400,250,400.0,1000.0,,,1.0,4.0,-3,400.0,1000.0,-600,-,
13/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,200,700,400.0,2800.0,,,2.0,4.0,-2,400.0,2800.0,-2400,-,
12/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,100,471,200.0,3300.0,,,2.0,7.0,-5,200.0,3300.0,-3100,-,
11/09/2024,61968926,61968926,12500,14300,10700,9,0.0,775,12500,12500,12500,12500,-,12500,12500,,,67,1433,191.0,4291.0,9.0,0.0,3.0,3.0,-,200.0,4300.0,-4100,-,
10/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,75,720,300.0,3600.0,,,4.0,5.0,-1,300.0,3600.0,-3300,-,
09/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,500,600,500.0,3600.0,,,1.0,6.0,-5,500.0,3600.0,-3100,-,
06/09/2024,61968926,61968926,12500,14300,10700,-,,775,12500,12500,12500,12500,-,12500,12500,,,-,760,,3800.0,,,,5.0,-5,,3800.0,-3800,-,
05/09/2024,61968926,61968926,12500,14300,10700,47,1.0,775,12500,12500,12500,12500,-,12500,12500,,,400,1000,753.0,2953.0,47.0,1.0,2.0,3.0,-1,800.0,3000.0,-2200,-,
04/09/2024,61968926,61968926,12500,14300,10700,140,2.0,775,12500,12500,12500,12500,-,12500,12500,,,225,700,760.0,7560.0,140.0,2.0,4.0,11.0,-7,900.0,7700.0,-6800,-,
30/08/2024,61968926,61968926,12100,13900,10300,100,1.0,775,12500,12500,12500,12500,-,12500,12500,400.0,3.31,50,600,100.0,2900.0,100.0,1.0,4.0,5.0,-1,200.0,3000.0,-2800,-,
29/08/2024,61968926,61968926,12400,14200,10600,300,4.0,744,12400,12000,12400,12000,400,12133,12000,-400.0,-3.23,200,610,700.0,5800.0,300.0,4.0,5.0,10.0,-5,1000.0,6100.0,-5100,-,
