Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,14423536,14423536,4600,5200,4000,102,0.0,68,4700,4700,4700,4700,-,4700,4700,100.0,2.17,100,488,698.0,3798,102.0,0.0,8.0,8,-,800.0,3900,-3100,-,
26/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,100,100,600.0,400,,,6.0,4,2,600.0,400,200,-,
25/09/2024,14423536,14423536,4600,5200,4000,1500,7.0,68,4600,4700,4700,4600,100,4633,4700,100.0,2.17,792,233,8800.0,600,1500.0,7.0,13.0,9,4,10300.0,2100,8200,-,
24/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,60,75,300.0,300,,,5.0,4,1,300.0,300,-,-,
23/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,100,100,400.0,300,,,4.0,3,1,400.0,300,100,-,
20/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,160,60,800.0,300,,,5.0,5,-,800.0,300,500,-,
19/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,117,343,700.0,2400,,,6.0,7,-1,700.0,2400,-1700,-,
18/09/2024,14423536,14423536,4400,5000,3800,400,2.0,66,4600,4600,4600,4600,-,4600,4600,200.0,4.55,220,227,1800.0,2100,400.0,2.0,10.0,11,-1,2200.0,2500,-300,-,
17/09/2024,14423536,14423536,4600,5200,4000,200,1.0,62,4500,4300,4500,4300,200,4400,4300,-300.0,-6.52,75,155,700.0,1500,200.0,1.0,12.0,11,1,900.0,1700,-800,-,
16/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,150,257,600.0,1800,,,4.0,7,-3,600.0,1800,-1200,-,
13/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,378,429,3400.0,3000,,,9.0,7,2,3400.0,3000,400,-,
12/09/2024,14423536,14423536,4600,5200,4000,-,,66,4600,4600,4600,4600,-,4600,4600,,,171,111,1200.0,1000,,,7.0,9,-2,1200.0,1000,200,-,
