Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,10139997,10139997,17400,19100,15700,30,1.0,176,17400,17400,17400,17400,-,17400,17400,,,540,133,2670.0,770.0,30.0,1.0,5.0,6.0,-1,2700.0,800.0,1900,-,
26/09/2024,10139997,10139997,17600,19300,15900,1000,17.0,176,17600,17400,17600,17400,200,17440,17400,-200.0,-1.14,800,300,3000.0,800.0,1000.0,17.0,5.0,6.0,-1,4000.0,1800.0,2200,-,
25/09/2024,10139997,10139997,17600,19300,15900,-,,178,17600,17600,17600,17600,-,17600,17600,,,725,133,2900.0,800.0,,,4.0,6.0,-2,2900.0,800.0,2100,-,
24/09/2024,10139997,10139997,19500,21400,17600,100,2.0,178,17600,17600,17600,17600,-,17600,17600,-1900.0,-9.74,350,173,600.0,1800.0,100.0,2.0,2.0,11.0,-9,700.0,1900.0,-1200,-,
23/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,500,300,500.0,1800.0,,,1.0,6.0,-5,500.0,1800.0,-1300,-,
20/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,500,120,500.0,600.0,,,1.0,5.0,-4,500.0,600.0,-100,-,
19/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,300,257,600.0,1800.0,,,2.0,7.0,-5,600.0,1800.0,-1200,-,
18/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,-,225,,900.0,,,,4.0,-4,,900.0,-900,-,
17/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,500,271,500.0,1900.0,,,1.0,7.0,-6,500.0,1900.0,-1400,-,
16/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,-,275,,2200.0,,,,8.0,-8,,2200.0,-2200,-,
13/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,-,233,,2100.0,,,1.0,9.0,-8,,2100.0,-2100,-,
12/09/2024,10139997,10139997,19500,21400,17600,-,,198,19500,19500,19500,19500,-,19500,19500,,,100,317,100.0,3800.0,,,1.0,12.0,-11,100.0,3800.0,-3700,-,
