Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3036436,3036436,31500,34600,28400,200,6.0,96,31500,31600,31600,31500,100,31550,31600,100.0,0.32,100,500,,2800.0,200.0,6.0,2,6.0,-4,200,3000.0,-2800,-,
26/09/2024,3036436,3036436,31000,34100,27900,200,6.0,96,31500,31500,31500,31500,-,31500,31500,500.0,1.61,100,183,300.0,900.0,200.0,6.0,5,6.0,-1,500,1100.0,-600,-,
25/09/2024,3036436,3036436,29500,32400,26600,200,6.0,94,31000,31000,31000,31000,-,31000,31000,1500.0,5.08,100,300,300.0,700.0,200.0,6.0,5,3.0,2,500,900.0,-400,-,
24/09/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,29500,,,400,500,1200.0,500.0,,,3,1.0,2,1200,500.0,700,-,
23/09/2024,3036436,3036436,29500,32400,26600,10,0.0,90,29500,29500,29500,29500,-,29500,29500,,,233,250,690.0,490.0,10.0,0.0,3,2.0,1,700,500.0,200,-,
20/09/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,29500,,,233,100,1400.0,100.0,,,6,1.0,5,1400,100.0,1300,-,
19/09/2024,3036436,3036436,29000,31900,26100,100,3.0,90,29500,29500,29500,29500,-,29500,29500,500.0,1.72,200,300,300.0,500.0,100.0,3.0,2,2.0,-,400,600.0,-200,-,
18/09/2024,3036436,3036436,29000,31900,26100,-,,88,29000,29000,29000,29000,-,29000,29000,,,133,300,400.0,600.0,,,3,2.0,1,400,600.0,-200,-,
17/09/2024,3036436,3036436,29000,31900,26100,-,,88,29000,29000,29000,29000,-,29000,29000,,,100,500,300.0,500.0,,,3,1.0,2,300,500.0,-200,-,
16/09/2024,3036436,3036436,29000,31900,26100,100,3.0,88,29000,29000,29000,29000,-,29000,29000,,,375,100,1400.0,,100.0,3.0,4,1.0,3,1500,100.0,1400,-,
13/09/2024,3036436,3036436,29000,31900,26100,-,,88,29000,29000,29000,29000,-,29000,29000,,,100,100,400.0,100.0,,,4,1.0,3,400,100.0,300,-,
12/09/2024,3036436,3036436,29000,31900,26100,-,,88,29000,29000,29000,29000,-,29000,29000,,,200,100,400.0,100.0,,,2,1.0,1,400,100.0,300,-,
11/09/2024,3036436,3036436,29100,32000,26200,400,12.0,88,29500,29000,29500,29000,500,29375,29000,-100.0,-0.34,150,100,500.0,100.0,400.0,12.0,6,5.0,1,900,500.0,400,-,
10/09/2024,3036436,3036436,31500,34600,28400,700,20.0,88,29500,29100,29500,29000,500,29157,29100,-2400.0,-7.62,122,83,400.0,300.0,700.0,20.0,9,12.0,-3,1100,1000.0,100,-,
09/09/2024,3036436,3036436,31500,34600,28400,400,13.0,96,31500,31500,31500,31500,-,31500,31500,,,100,500,200.0,2100.0,400.0,13.0,6,5.0,1,600,2500.0,-1900,-,
06/09/2024,3036436,3036436,29500,32400,26600,700,22.0,96,31000,31500,31500,30800,700,31329,31500,2000.0,6.78,100,154,100.0,1300.0,700.0,22.0,8,13.0,-5,800,2000.0,-1200,-,
05/09/2024,3036436,3036436,30500,33500,27500,100,3.0,93,30500,30500,30500,30500,-,30500,29500,,,175,100,600.0,200.0,100.0,3.0,4,3.0,1,700,300.0,400,-,
04/09/2024,3036436,3036436,30500,33500,27500,-,,93,30500,30500,30500,30500,-,30500,29500,,,150,100,900.0,300.0,,,6,3.0,3,900,300.0,600,-,
30/08/2024,3036436,3036436,30500,33500,27500,306,9.0,93,30500,30500,30500,30500,-,30500,29500,,,100,200,294.0,94.0,306.0,9.0,6,2.0,4,600,400.0,200,-,
29/08/2024,3036436,3036436,30500,33500,27500,700,21.0,93,30500,30500,30500,30500,-,30500,29500,,,125,367,800.0,1500.0,700.0,21.0,12,6.0,6,1500,2200.0,-700,-,
28/08/2024,3036436,3036436,30500,33500,27500,-,,93,30500,30500,30500,30500,-,30500,29500,,,160,225,800.0,900.0,,,5,4.0,1,800,900.0,-100,-,
27/08/2024,3036436,3036436,29500,32400,26600,410,12.0,93,30500,30500,30500,30500,-,30500,29500,1000.0,3.39,380,300,3390.0,490.0,410.0,12.0,10,3.0,7,3800,900.0,2900,-,
26/08/2024,3036436,3036436,27500,30200,24800,400,12.0,90,30200,29500,30200,29500,700,29925,28500,2000.0,7.27,127,100,1000.0,200.0,400.0,12.0,11,6.0,5,1400,600.0,800,-,
23/08/2024,3036436,3036436,27500,30200,24800,6,0.0,84,27500,27500,27500,27500,-,27500,26600,,,111,100,994.0,94.0,6.0,0.0,9,1.0,8,1000,100.0,900,-,
22/08/2024,3036436,3036436,29500,32400,26600,500,14.0,84,27600,27500,27600,27500,100,27520,26600,-2000.0,-6.78,430,220,3800.0,600.0,500.0,14.0,10,5.0,5,4300,1100.0,3200,-,
21/08/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,28500,,,100,100,200.0,200.0,,,2,2.0,-,200,200.0,-,-,
20/08/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,28500,,,300,100,1200.0,200.0,,,4,2.0,2,1200,200.0,1000,-,
19/08/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,28500,,,100,250,200.0,500.0,,,2,2.0,-,200,500.0,-300,-,
16/08/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,28500,,,100,250,400.0,500.0,,,4,2.0,2,400,500.0,-100,-,
15/08/2024,3036436,3036436,29500,32400,26600,-,,90,29500,29500,29500,29500,-,29500,28500,,,100,50,200.0,100.0,,,2,2.0,-,200,100.0,100,-,
14/08/2024,3036436,3036436,29500,32400,26600,12,0.0,90,29500,29500,29500,29500,-,29500,28500,,,67,400,188.0,388.0,12.0,0.0,3,1.0,2,200,400.0,-200,-,
13/08/2024,3036436,3036436,28600,31400,25800,101,3.0,90,29500,29500,29500,29500,-,29500,28500,900.0,3.15,150,200,499.0,499.0,101.0,3.0,4,3.0,1,600,600.0,-,-,
12/08/2024,3036436,3036436,28600,31400,25800,-,,87,28600,28600,28600,28600,-,28600,27700,,,125,100,500.0,100.0,,,4,1.0,3,500,100.0,400,-,
09/08/2024,3036436,3036436,28600,31400,25800,-,,87,28600,28600,28600,28600,-,28600,27700,,,267,200,800.0,400.0,,,3,2.0,1,800,400.0,400,-,
08/08/2024,3036436,3036436,28600,31400,25800,-,,87,28600,28600,28600,28600,-,28600,27700,,,200,200,400.0,200.0,,,2,1.0,1,400,200.0,200,-,
07/08/2024,3036436,3036436,28600,31400,25800,-,,87,28600,28600,28600,28600,-,28600,27700,,,175,200,700.0,200.0,,,4,1.0,3,700,200.0,500,-,
06/08/2024,3036436,3036436,29000,31900,26100,400,11.0,87,28600,28600,28600,28600,-,28600,27700,-400.0,-1.38,300,800,1400.0,1200.0,400.0,11.0,6,2.0,4,1800,1600.0,200,-,
05/08/2024,3036436,3036436,29500,32400,26600,300,9.0,88,29800,29000,29800,29000,800,29533,28000,-500.0,-1.69,340,867,1400.0,2300.0,300.0,9.0,5,3.0,2,1700,2600.0,-900,-,
02/08/2024,3036436,3036436,32000,35200,28800,100,3.0,90,29500,29500,29500,29500,-,29500,28500,-2500.0,-7.81,180,250,800.0,900.0,100.0,3.0,5,4.0,1,900,1000.0,-100,-,
01/08/2024,3036436,3036436,32000,35200,28800,-,,97,32000,32000,32000,32000,-,32000,31000,,,200,217,1000.0,1300.0,,,5,6.0,-1,1000,1300.0,-300,-,
31/07/2024,3036436,3036436,32000,35200,28800,500,16.0,97,32000,32000,32000,32000,-,32000,31000,,,360,257,1300.0,1300.0,500.0,16.0,5,7.0,-2,1800,1800.0,-,-,
30/07/2024,3036436,3036436,32000,35200,28800,-,,97,32000,32000,32000,32000,-,32000,31000,,,400,767,1200.0,2300.0,,,3,3.0,-,1200,2300.0,-1100,-,
29/07/2024,3036436,3036436,32000,35200,28800,100,3.0,97,32000,32000,32000,32000,-,32000,31000,,,238,667,1800.0,1900.0,100.0,3.0,8,3.0,5,1900,2000.0,-100,-,
26/07/2024,3036436,3036436,31500,34600,28400,1200,38.0,97,33000,32000,33000,31500,1500,31958,31000,500.0,1.59,229,588,400.0,3500.0,1200.0,38.0,7,8.0,-1,1600,4700.0,-3100,-,
25/07/2024,3036436,3036436,31500,34600,28400,1800,56.0,96,29500,31500,31500,29500,2000,31100,30500,,,383,567,2800.0,1600.0,1800.0,56.0,12,6.0,6,4600,3400.0,1200,-,
24/07/2024,3036436,3036436,31500,34600,28400,-,,96,31500,31500,31500,31500,-,31500,30500,,,100,833,100.0,5000.0,,,1,6.0,-5,100,5000.0,-4900,-,
23/07/2024,3036436,3036436,29000,31900,26100,110,3.0,96,31500,31500,31500,31500,-,31500,30500,2500.0,8.62,300,817,1390.0,4790.0,110.0,3.0,5,6.0,-1,1500,4900.0,-3400,-,
22/07/2024,3036436,3036436,29000,31900,26100,-,,88,29000,29000,29000,29000,-,29000,28000,,,200,140,800.0,700.0,,,4,5.0,-1,800,700.0,100,-,
19/07/2024,3036436,3036436,29000,31900,26100,220,6.0,88,29000,29000,29000,29000,-,29000,28000,,,133,200,180.0,380.0,220.0,6.0,3,3.0,-,400,600.0,-200,-,
18/07/2024,3036436,3036436,30000,33000,27000,710,21.0,88,29000,29000,29000,29000,-,29000,28000,-1000.0,-3.33,175,260,690.0,590.0,710.0,21.0,8,5.0,3,1400,1300.0,100,-,
17/07/2024,3036436,3036436,30000,33000,27000,14,0.0,91,30000,30000,30000,30000,-,30000,29000,,,150,767,286.0,2286.0,14.0,0.0,2,3.0,-1,300,2300.0,-2000,-,
