Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,740,-,3700.0,,,,5.0,,5,3700.0,,3700,-,
26/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,740,-,3700.0,,,,5.0,,5,3700.0,,3700,-,
25/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,617,-,3700.0,,,,6.0,,6,3700.0,,3700,-,
24/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,550,-,2200.0,,,,4.0,,4,2200.0,,2200,-,
23/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,550,-,2200.0,,,,4.0,,4,2200.0,,2200,-,
20/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,125,-,1000.0,,,,8.0,,8,1000.0,,1000,-,
19/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,329,-,2300.0,,,,7.0,,7,2300.0,,2300,-,
18/09/2024,8400000,8400000,17200,24000,10400,-,,144,17200,17200,17200,17200,-,17200,17200,,,325,-,1300.0,,,,4.0,,4,1300.0,,1300,-,
17/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,400,-,2400.0,,,,6.0,,6,2400.0,,2400,-,
16/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,280,-,1400.0,,,,5.0,,5,1400.0,,1400,-,
13/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,280,-,1400.0,,,,5.0,,5,1400.0,,1400,-,
12/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,280,-,1400.0,,,,5.0,,5,1400.0,,1400,-,
11/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,280,-,1400.0,,,,5.0,,5,1400.0,,1400,-,
10/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,175,-,1400.0,,,,8.0,,8,1400.0,,1400,-,
09/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,250,-,1500.0,,,,6.0,,6,1500.0,,1500,-,
06/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,250,-,1500.0,,,,6.0,,6,1500.0,,1500,-,
05/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,480,-,2400.0,,,,5.0,,5,2400.0,,2400,-,
04/09/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,400,-,2400.0,,,,6.0,,6,2400.0,,2400,-,
30/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,480,-,2400.0,,,,5.0,,5,2400.0,,2400,-,
29/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,480,-,2400.0,,,,5.0,,5,2400.0,,2400,-,
28/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,480,-,2400.0,,,,5.0,,5,2400.0,,2400,-,
27/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,200,-,600.0,,,,3.0,,3,600.0,,600,-,
26/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
23/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,150,-,300.0,,,,2.0,,2,300.0,,300,-,
22/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,67,-,200.0,,,,3.0,,3,200.0,,200,-,
21/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,425,-,1700.0,,,,4.0,,4,1700.0,,1700,-,
20/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
19/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,150,-,300.0,,,,2.0,,2,300.0,,300,-,
16/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
15/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,550,-,1100.0,,,,2.0,,2,1100.0,,1100,-,
14/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,433,-,1300.0,,,,3.0,,3,1300.0,,1300,-,
13/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
12/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
09/08/2024,8400000,8400000,17200,19700,14700,-,,144,17200,17200,17200,17200,-,17200,17200,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
