Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4137000,4043000,13700,15000,12400,2,0.0,55,13700,13700,13700,13700,-,13700,13700,,,-,380,,1898.0,2.0,0.0,,5.0,-5,,1900.0,-1900,-,
26/09/2024,4137000,4043000,13700,15000,12400,-,,55,13700,13700,13700,13700,-,13700,13700,,,-,167,,500.0,,,,3.0,-3,,500.0,-500,-,
25/09/2024,4137000,4043000,12700,13900,11500,100,1.0,55,13700,13700,13700,13700,-,13700,13700,1000.0,7.87,100,125,100.0,400.0,100.0,1.0,2.0,4.0,-2,200.0,500.0,-300,-,
24/09/2024,4137000,4043000,12700,13900,11500,-,,51,12700,12700,12700,12700,-,12700,12700,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
23/09/2024,4137000,4043000,12700,13900,11500,2,0.0,51,12700,12700,12700,12700,-,12700,12700,,,100,100,98.0,98.0,2.0,0.0,1.0,1.0,-,100.0,100.0,-,-,
20/09/2024,4137000,4043000,12700,13900,11500,-,,51,12700,12700,12700,12700,-,12700,12700,,,-,133,,400.0,,,,3.0,-3,,400.0,-400,-,
19/09/2024,4137000,4043000,12700,13900,11500,-,,51,12700,12700,12700,12700,-,12700,12700,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
18/09/2024,4137000,4043000,14100,15500,12700,200,3.0,51,12700,12700,12700,12700,-,12700,12700,-1400.0,-9.93,100,244,,2000.0,200.0,3.0,2.0,9.0,-7,200.0,2200.0,-2000,-,
17/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,400,,1600.0,,,,4.0,-4,,1600.0,-1600,-,
16/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,320,,1600.0,,,,5.0,-5,,1600.0,-1600,-,
13/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,475,,1900.0,,,1.0,4.0,-3,,1900.0,-1900,-,
12/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,483,,2900.0,,,,6.0,-6,,2900.0,-2900,-,
11/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,350,,2100.0,,,,6.0,-6,,2100.0,-2100,-,
10/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,317,,1900.0,,,,6.0,-6,,1900.0,-1900,-,
09/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,314,,2200.0,,,,7.0,-7,,2200.0,-2200,-,
06/09/2024,4137000,4043000,14100,15500,12700,6,0.0,57,14100,14100,14100,14100,-,14100,14100,,,-,400,,1994.0,6.0,0.0,,5.0,-5,,2000.0,-2000,-,
05/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,467,,2800.0,,,,6.0,-6,,2800.0,-2800,-,
04/09/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,380,,1900.0,,,,5.0,-5,,1900.0,-1900,-,
30/08/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,300,,1800.0,,,,6.0,-6,,1800.0,-1800,-,
29/08/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,333,,2000.0,,,,6.0,-6,,2000.0,-2000,-,
28/08/2024,4137000,4043000,14100,15500,12700,-,,57,14100,14100,14100,14100,-,14100,14100,,,-,475,,1900.0,,,2.0,4.0,-2,,1900.0,-1900,-,
27/08/2024,4137000,4043000,15600,17100,14100,109,2.0,57,14100,14100,14100,14100,-,14100,14100,-1500.0,-9.62,100,350,,1991.0,109.0,2.0,1.0,6.0,-5,100.0,2100.0,-2000,-,
26/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,300,,2100.0,,,,7.0,-7,,2100.0,-2100,-,
23/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,313,,2500.0,,,,8.0,-8,,2500.0,-2500,-,
22/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,450,,2700.0,,,,6.0,-6,,2700.0,-2700,-,
21/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,380,,1900.0,,,,5.0,-5,,1900.0,-1900,-,
20/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,533,,1600.0,,,,3.0,-3,,1600.0,-1600,-,
19/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,443,,3100.0,,,,7.0,-7,,3100.0,-3100,-,
16/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,1100,,6600.0,,,,6.0,-6,,6600.0,-6600,-,
15/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,257,,1800.0,,,,7.0,-7,,1800.0,-1800,-,
14/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,1033,,6200.0,,,,6.0,-6,,6200.0,-6200,-,
13/08/2024,4137000,4043000,15600,17100,14100,-,,63,15600,15600,15600,15600,-,15600,15600,,,-,550,,3300.0,,,,6.0,-6,,3300.0,-3300,-,
12/08/2024,4137000,4043000,14200,15600,12800,100,2.0,63,15600,15600,15600,15600,-,15600,15600,1400.0,9.86,67,300,100.0,2600.0,100.0,2.0,3.0,9.0,-6,200.0,2700.0,-2500,-,
09/08/2024,4137000,4043000,14200,15600,12800,-,,57,14200,14200,14200,14200,-,14200,14200,,,-,440,,2200.0,,,,5.0,-5,,2200.0,-2200,-,
08/08/2024,4137000,4043000,14200,15600,12800,-,,57,14200,14200,14200,14200,-,14200,14200,,,-,260,,1300.0,,,,5.0,-5,,1300.0,-1300,-,
07/08/2024,4137000,4043000,14200,15600,12800,-,,57,14200,14200,14200,14200,-,14200,14200,,,-,367,,2200.0,,,,6.0,-6,,2200.0,-2200,-,
06/08/2024,4137000,4043000,14200,15600,12800,-,,57,14200,14200,14200,14200,-,14200,14200,,,-,367,,2200.0,,,,6.0,-6,,2200.0,-2200,-,
05/08/2024,4137000,4043000,14200,15600,12800,3,0.0,57,14200,14200,14200,14200,-,14200,14200,,,-,420,,2097.0,3.0,0.0,,5.0,-5,,2100.0,-2100,-,
02/08/2024,4137000,4043000,15200,16700,13700,100,1.0,57,14200,14200,14200,14200,-,14200,14200,-1000.0,-6.58,100,775,,6100.0,100.0,1.0,1.0,8.0,-7,100.0,6200.0,-6100,-,
01/08/2024,4137000,4043000,15200,16700,13700,3,0.0,61,15200,15200,15200,15200,-,15200,15200,,,-,1014,,7097.0,3.0,0.0,,7.0,-7,,7100.0,-7100,-,
31/07/2024,4137000,4043000,14400,15800,13000,205,3.0,61,15700,15200,15700,15200,500,15450,15200,800.0,5.56,100,458,,5295.0,205.0,3.0,2.0,12.0,-10,200.0,5500.0,-5300,-,
30/07/2024,4137000,4043000,14400,15800,13000,-,,58,14400,14400,14400,14400,-,14400,14400,,,-,333,,1000.0,,,,3.0,-3,,1000.0,-1000,-,
