Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,75464700,75464700,14000,16100,11900,-,,1057,14000,14000,14000,14000,-,14000,14000,,,1139,1790,20500,17900,,,18,10,8,20500,17900,2600,-,
26/09/2024,75464700,75464700,14500,16600,12400,5200,73.0,1041,14000,13800,14000,13800,200,13992,13800,-700.0,-4.83,1557,1617,16600,14200,5200.0,73.0,14,12,2,21800,19400,2400,-,
25/09/2024,75464700,75464700,14900,17100,12700,900,13.0,1057,14800,14000,14800,14000,800,14456,14000,-900.0,-6.04,2413,1064,18400,14000,900.0,13.0,8,14,-6,19300,14900,4400,-,
24/09/2024,75464700,75464700,14900,17100,12700,-,,1124,14900,14900,14900,14900,-,14900,14900,,,2950,628,17700,15700,,,6,25,-19,17700,15700,2000,-,
23/09/2024,75464700,75464700,14900,17100,12700,-,,1124,14900,14900,14900,14900,-,14900,14900,,,2200,1427,17600,15700,,,8,11,-3,17600,15700,1900,-,
20/09/2024,75464700,75464700,14500,16600,12400,5400,80.0,1094,14800,14500,15000,14500,500,14874,14500,,,1764,2912,19300,44100,5400.0,80.0,14,17,-3,24700,49500,-24800,-,
19/09/2024,75464700,75464700,14000,16100,11900,700,10.0,1109,14000,14700,14700,14000,700,14500,14700,700.0,5.0,4408,2414,52200,16200,700.0,10.0,12,7,5,52900,16900,36000,-,
18/09/2024,75464700,75464700,14800,17000,12600,3900,55.0,1064,14000,14100,14100,14000,100,14003,14100,-700.0,-4.73,3954,1525,47500,14400,3900.0,55.0,13,12,1,51400,18300,33100,-,
17/09/2024,75464700,75464700,14800,17000,12600,-,,1117,14800,14800,14800,14800,-,14800,14800,,,4125,2540,16500,12700,,,4,5,-1,16500,12700,3800,-,
16/09/2024,75464700,75464700,14800,17000,12600,-,,1117,14800,14800,14800,14800,-,14800,14800,,,2767,2814,16600,19700,,,6,7,-1,16600,19700,-3100,-,
13/09/2024,75464700,75464700,14400,16500,12300,200,3.0,1117,14800,14800,14800,14800,-,14800,14800,400.0,2.78,4680,1711,46600,15200,200.0,3.0,10,9,1,46800,15400,31400,-,
12/09/2024,75464700,75464700,14500,16600,12400,300,4.0,1087,14400,14400,14400,14400,-,14400,14400,-100.0,-0.69,1889,1757,16700,12000,300.0,4.0,9,7,2,17000,12300,4700,-,
11/09/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,3900,2600,27300,13000,,,7,5,2,27300,13000,14300,-,
10/09/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,3200,2400,22400,12000,,,7,5,2,22400,12000,10400,-,
09/09/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,2357,2260,16500,11300,,,7,5,2,16500,11300,5200,-,
06/09/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,1800,2625,12600,21000,,,7,8,-1,12600,21000,-8400,-,
05/09/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,2238,2800,17900,22400,,,8,8,-,17900,22400,-4500,-,
04/09/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,3375,2833,27000,17000,,,8,6,2,27000,17000,10000,-,
30/08/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,5909,2000,65000,14000,,,11,7,4,65000,14000,51000,-,
29/08/2024,75464700,75464700,14700,16900,12500,200,3.0,1094,14500,14500,14500,14500,-,14500,14500,-200.0,-1.36,1364,2500,14800,14800,200.0,3.0,11,6,5,15000,15000,-,-,
28/08/2024,75464700,75464700,14700,16900,12500,-,,1109,14700,14700,14700,14700,-,14700,14700,,,6511,2220,58600,11100,,,9,5,4,58600,11100,47500,-,
27/08/2024,75464700,75464700,14700,16900,12500,-,,1109,14700,14700,14700,14700,-,14700,14700,,,4542,3857,54500,27000,,,12,7,5,54500,27000,27500,-,
26/08/2024,75464700,75464700,14700,16900,12500,-,,1109,14700,14700,14700,14700,-,14700,14700,,,5430,4333,54300,26000,,,10,6,4,54300,26000,28300,-,
23/08/2024,75464700,75464700,14700,16900,12500,-,,1109,14700,14700,14700,14700,-,14700,14700,,,3323,2356,43200,21200,,,13,9,4,43200,21200,22000,-,
22/08/2024,75464700,75464700,15000,17200,12800,900,13.0,1117,14500,14800,14800,14500,300,14667,14800,-200.0,-1.33,5723,1483,73500,16900,900.0,13.0,13,12,1,74400,17800,56600,-,
21/08/2024,75464700,75464700,14600,16700,12500,400,6.0,1132,15000,15000,15000,15000,-,15000,15000,400.0,2.74,3018,2067,32800,30600,400.0,6.0,11,15,-4,33200,31000,2200,-,
20/08/2024,75464700,75464700,14500,16600,12400,52000,759.0,1094,15000,14500,15000,14500,500,14596,14500,,,3844,4623,44100,8100,52000.0,759.0,25,13,12,96100,60100,36000,-,
19/08/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,1853,1578,27800,14200,,,15,9,6,27800,14200,13600,-,
16/08/2024,75464700,75464700,14500,16600,12400,300,4.0,1094,14500,14500,14500,14500,-,14500,14500,,,2592,1470,33400,14400,300.0,4.0,13,10,3,33700,14700,19000,-,
15/08/2024,75464700,75464700,14500,16600,12400,-,,1094,14500,14500,14500,14500,-,14500,14500,,,2025,1775,24300,14200,,,12,8,4,24300,14200,10100,-,
14/08/2024,75464700,75464700,14500,16600,12400,1500,22.0,1094,14500,14500,14500,14500,-,14500,14500,,,1132,1838,20000,13200,1500.0,22.0,19,8,11,21500,14700,6800,-,
13/08/2024,75464700,75464700,14500,16600,12400,1,0.0,1094,14500,14500,14500,14500,-,14500,14500,,,2327,2050,34899,16399,1.0,0.0,15,8,7,34900,16400,18500,-,
12/08/2024,75464700,75464700,14500,16600,12400,1,0.0,1094,14500,14500,14500,14500,-,14500,14500,,,2288,2171,38899,15199,1.0,0.0,17,7,10,38900,15200,23700,-,
09/08/2024,75464700,75464700,14500,16600,12400,600,9.0,1094,14500,14500,14500,14500,-,14500,14500,,,3073,1663,45500,12700,600.0,9.0,15,8,7,46100,13300,32800,-,
08/08/2024,75464700,75464700,14100,16200,12000,4700,68.0,1094,15000,14500,15000,14500,500,14523,14500,400.0,2.84,1160,3788,30100,55900,4700.0,68.0,30,16,14,34800,60600,-25800,-,
07/08/2024,75464700,75464700,14400,16500,12300,10200,144.0,1057,15000,14000,15000,14000,1000,14132,14000,-400.0,-2.78,1300,2830,19700,18100,10200.0,144.0,23,10,13,29900,28300,1600,-,
06/08/2024,75464700,75464700,14800,17000,12600,1100,16.0,1117,14800,14800,14800,13700,1100,14400,14800,,,1036,1127,21700,11300,1100.0,16.0,22,11,11,22800,12400,10400,-,
05/08/2024,75464700,75464700,14800,17000,12600,-,,1117,14800,14800,14800,14800,-,14800,14800,,,2611,1067,23500,9600,,,9,9,-,23500,9600,13900,-,
