Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
09/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
08/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
07/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
06/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
03/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
02/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
01/11/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
31/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
30/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
27/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
26/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
25/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
24/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
23/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
20/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
19/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
18/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
17/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
16/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
13/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
12/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
11/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
10/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
09/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
06/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
05/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
04/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
03/10/2023,20000000,20000000,500,600,400,-,,10,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
