Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,33446675,33446675,4330,4630,4030,15600,67.0,145,4300,4350,4550,4290,260,4295.0,4400,20.0,0.46,1102,1258,10200,4200,15600.0,67.0,51.0,67.0,-16,56200.0,84300.0,-28100,-,
26/09/2024,33446675,33446675,4290,4590,3990,22800,98.0,145,4290,4330,4380,4290,90,4298.0,4300,40.0,0.93,1829,1228,17300,12400,22800.0,98.0,38.0,68.0,-30,69500.0,83500.0,-14000,-,
25/09/2024,33446675,33446675,4290,4590,3990,26400,113.0,143,4290,4290,4490,4280,210,4280.0,4300,,,1698,1382,15800,5200,26400.0,113.0,43.0,65.0,-22,73000.0,89800.0,-16800,-,
24/09/2024,33446675,33446675,4310,4610,4010,30200,129.0,143,4310,4290,4310,4290,20,4272.0,4300,-20.0,-0.46,5704,1436,4100,600,30200.0,129.0,26.0,39.0,-13,148300.0,56000.0,92300,-,
23/09/2024,33446675,33446675,4400,4700,4100,2300,9.0,144,4350,4310,4350,4310,40,3913.0,4300,-90.0,-2.05,1533,633,7200,600,2300.0,9.0,33.0,42.0,-9,50600.0,26600.0,24000,-,
20/09/2024,33446675,33446675,4310,4610,4010,8500,37.0,147,4310,4400,4440,4300,140,4353.0,4400,90.0,2.09,529,808,3300,7000,8500.0,37.0,49.0,50.0,-1,25900.0,40400.0,-14500,-,
19/09/2024,33446675,33446675,4480,4790,4170,44100,190.0,144,4480,4310,4510,4300,210,4308.0,4300,-170.0,-3.79,1155,2786,2000,2400,44100.0,190.0,67.0,57.0,10,77400.0,158800.0,-81400,-,
18/09/2024,33446675,33446675,4510,4820,4200,34500,148.0,150,4300,4480,4480,4300,180,4290.0,4500,-30.0,-0.67,1050,1919,3700,15000,34500.0,148.0,58.0,48.0,10,60900.0,92100.0,-31200,-,
17/09/2024,33446675,33446675,4540,4850,4230,14100,63.0,151,4250,4510,4510,4250,260,4468.0,4500,-30.0,-0.66,953,1565,2900,18200,14100.0,63.0,30.0,48.0,-18,28600.0,75100.0,-46500,-,
16/09/2024,33446675,33446675,4430,4740,4120,100,,152,4540,4540,4540,4540,-,,4500,110.0,2.48,969,1004,6600,1300,100.0,,16.0,46.0,-30,15500.0,46200.0,-30700,-,
13/09/2024,33446675,33446675,4460,4770,4150,7600,32.0,148,4280,4430,4430,4280,150,4211.0,4400,-30.0,-0.67,574,900,900,4200,7600.0,32.0,38.0,53.0,-15,21800.0,47700.0,-25900,-,
12/09/2024,33446675,33446675,4460,4770,4150,1700,7.0,149,4220,4460,4490,4220,270,4118.0,4500,,,349,1002,3100,18200,1700.0,7.0,37.0,52.0,-15,12900.0,52100.0,-39200,-,
11/09/2024,33446675,33446675,4490,4800,4180,27800,117.0,149,4230,4460,4480,4210,270,4209.0,4500,-30.0,-0.67,787,1240,8300,3400,27800.0,117.0,61.0,52.0,9,48000.0,64500.0,-16500,-,
10/09/2024,33446675,33446675,4500,4810,4190,10100,43.0,150,4320,4490,4490,4300,190,4257.0,4500,-10.0,-0.22,1488,4187,8300,3400,10100.0,43.0,24.0,30.0,-6,35700.0,125600.0,-89900,-,
09/09/2024,33446675,33446675,4380,4680,4080,1400,6.0,151,4350,4500,4500,4300,200,4286.0,4500,120.0,2.74,832,742,2700,8900,1400.0,6.0,19.0,26.0,-7,15800.0,19300.0,-3500,-,
06/09/2024,33446675,33446675,4460,4770,4150,400,1.0,146,4380,4380,4380,4380,-,2500.0,4400,-80.0,-1.79,971,416,2700,3200,400.0,1.0,14.0,25.0,-11,13600.0,10400.0,3200,-,
05/09/2024,33446675,33446675,4370,4670,4070,100,,149,4460,4460,4460,4460,-,,4500,90.0,2.06,1225,365,4400,5500,100.0,,20.0,17.0,3,24500.0,6200.0,18300,-,
04/09/2024,33446675,33446675,4470,4780,4160,3600,15.0,146,4350,4370,4480,4350,130,4167.0,4400,-100.0,-2.24,1424,428,8300,3300,3600.0,15.0,21.0,29.0,-8,29900.0,12400.0,17500,-,
30/08/2024,33446675,33446675,4470,4780,4160,-,,150,4470,4470,4470,4470,-,,4500,,,188,470,1500,4700,,,8.0,10.0,-2,1500.0,4700.0,-3200,-,
29/08/2024,33446675,33446675,4490,4800,4180,21300,92.0,150,4340,4470,4480,4310,170,4319.0,4500,-20.0,-0.45,908,1304,1100,1400,21300.0,92.0,49.0,48.0,1,44500.0,62600.0,-18100,-,
28/08/2024,33446675,33446675,4490,4800,4180,11500,50.0,150,4310,4490,4490,4310,180,4348.0,4500,,,1126,1030,2400,12900,11500.0,50.0,34.0,40.0,-6,38300.0,41200.0,-2900,-,
27/08/2024,33446675,33446675,4450,4760,4140,7900,34.0,150,4310,4490,4490,4300,190,4304.0,4500,40.0,0.9,733,494,1700,4500,7900.0,34.0,36.0,36.0,-,26400.0,17800.0,8600,-,
26/08/2024,33446675,33446675,4450,4760,4140,30600,130.0,149,4490,4450,4500,4230,270,4248.0,4500,,,1226,1421,7000,2900,30600.0,130.0,46.0,43.0,3,56400.0,61100.0,-4700,-,
23/08/2024,33446675,33446675,4250,4540,3960,11300,48.0,149,4280,4450,4510,4280,230,4248.0,4500,200.0,4.71,1702,1254,2500,6200,11300.0,48.0,45.0,28.0,17,76600.0,35100.0,41500,-,
22/08/2024,33446675,33446675,4500,4810,4190,900,3.0,142,4250,4250,4250,4250,-,3333.0,4300,-250.0,-5.56,1782,1713,6300,14300,900.0,3.0,11.0,40.0,-29,19600.0,68500.0,-48900,-,
