Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,813156748,813156748,15700,17200,14200,21464201,316041,12685,15700,15600,15900,15500,400,15728,15600,-100.0,-0.64,3287,4081,3615999,8802099,7464201,117241,3371,3986,-615,11080200,16266300,-5186100,14000000,198800.0
26/09/2024,813156748,813156748,15600,17100,14100,8812115,138378,12767,14400,15700,15900,14400,1500,15703,15700,100.0,0.64,4404,3953,4677485,7946885,8812115,138378,3063,4240,-1177,13489600,16759000,-3269400,-,
25/09/2024,813156748,813156748,15300,16800,13800,12602650,196308,12685,13800,15600,15800,13800,2000,15576,15600,300.0,1.96,4323,4141,4160350,8079250,12602650,196308,3878,4995,-1117,16763000,20681900,-3918900,-,
24/09/2024,813156748,813156748,15100,16600,13600,5532363,83952,12441,15200,15300,15300,15000,300,15166,15300,200.0,1.32,3105,5413,4072437,5584937,5532363,83952,3093,2054,1039,9604800,11117300,-1512500,-,
23/09/2024,813156748,813156748,15300,16800,13800,5627904,85568,12279,15200,15100,15400,14900,500,15211,15100,-200.0,-1.31,3194,6196,4151896,7266696,5627904,85568,3062,2081,981,9779800,12894600,-3114800,-,
20/09/2024,813156748,813156748,15300,16800,13800,7846870,121086,12441,15400,15300,15700,15200,500,15445,15300,,,3831,4295,3737630,9835430,7846870,121086,3024,4117,-1093,11584500,17682300,-6097800,-,
19/09/2024,813156748,813156748,15300,16800,13800,6277709,95809,12441,13800,15300,15500,13800,1700,15260,15300,,,3130,4846,4318891,8149991,6277709,95809,3385,2977,408,10596600,14427700,-3831100,-,
18/09/2024,813156748,813156748,15000,16500,13500,11463230,175492,12441,14900,15300,15600,14900,700,15310,15300,300.0,2.0,5106,4072,4130170,7264370,11463230,175492,3054,4599,-1545,15593400,18727600,-3134200,-,
17/09/2024,813156748,813156748,14600,16000,13200,6085933,90108,12197,13500,15000,15100,13500,1600,14797,15000,400.0,2.74,4400,3876,5587367,2755567,6085933,90108,2653,2281,372,11673300,8841500,2831800,-,
