Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,6700,7700,5700,20200,136.0,34,6700,6700,6800,6600,200,6708,6700,,,1520,1675,2600.0,20000.0,20200.0,136.0,15.0,24,-9,22800.0,40200,-17400,-,
26/09/2024,5000000,5000000,6800,7800,5800,15700,106.0,34,6700,6800,6800,6500,300,6749,6800,,,1367,1720,4800.0,18700.0,15700.0,106.0,15.0,20,-5,20500.0,34400,-13900,-,
25/09/2024,5000000,5000000,6700,7700,5700,15400,104.0,34,6700,6800,6800,6700,100,6751,6800,100.0,1.49,950,1871,3600.0,10800.0,15400.0,104.0,20.0,14,6,19000.0,26200,-7200,-,
24/09/2024,5000000,5000000,6600,7500,5700,11700,78.0,34,6800,6700,6800,6700,100,6701,6700,100.0,1.52,1264,1860,2200.0,6900.0,11700.0,78.0,11.0,10,1,13900.0,18600,-4700,-,
23/09/2024,5000000,5000000,6600,7500,5700,10500,69.0,33,6600,6600,6600,6600,-,6600,6600,,,1367,1554,5900.0,9700.0,10500.0,69.0,12.0,13,-1,16400.0,20200,-3800,-,
20/09/2024,5000000,5000000,6500,7400,5600,10800,71.0,33,6600,6600,6600,6600,-,6600,6600,100.0,1.54,1088,1533,6600.0,7600.0,10800.0,71.0,16.0,12,4,17400.0,18400,-1000,-,
19/09/2024,5000000,5000000,6500,7400,5600,12525,81.0,33,6500,6500,6500,6500,-,6500,6500,,,1408,1450,4375.0,4875.0,12525.0,81.0,12.0,12,-,16900.0,17400,-500,-,
18/09/2024,5000000,5000000,6500,7400,5600,11300,73.0,33,6500,6500,6500,6500,-,6500,6500,,,1690,1929,5600.0,15700.0,11300.0,73.0,10.0,14,-4,16900.0,27000,-10100,-,
17/09/2024,5000000,5000000,6500,7400,5600,11200,73.0,33,6500,6600,6600,6500,100,6501,6600,100.0,1.54,1346,1647,6300.0,13500.0,11200.0,73.0,13.0,15,-2,17500.0,24700,-7200,-,
16/09/2024,5000000,5000000,6500,7400,5600,26400,172.0,33,6500,6500,6500,6500,-,6500,6500,,,3267,3056,3000.0,1100.0,26400.0,172.0,9.0,9,-,29400.0,27500,1900,-,
13/09/2024,5000000,5000000,6500,7400,5600,23400,151.0,33,6200,6500,6500,6200,300,6474,6500,,,3350,2900,10100.0,11400.0,23400.0,151.0,10.0,12,-2,33500.0,34800,-1300,-,
