Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,1550,833,3100.0,2500.0,,,2.0,3.0,-1,3100.0,2500.0,600,-,
26/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,1050,833,2100.0,2500.0,,,2.0,3.0,-1,2100.0,2500.0,-400,-,
25/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,1767,1050,5300.0,4200.0,,,3.0,4.0,-1,5300.0,4200.0,1100,-,
24/09/2024,5000000,5000000,8100,9300,6900,107,1.0,41,8100,8100,8100,8100,-,8100,8100,,,200,650,93.0,2493.0,107.0,1.0,1.0,4.0,-3,200.0,2600.0,-2400,-,
23/09/2024,5000000,5000000,8100,9300,6900,39,0.0,41,8100,8100,8100,8100,-,8100,8100,,,1550,560,3061.0,2761.0,39.0,0.0,2.0,5.0,-3,3100.0,2800.0,300,-,
20/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,1550,560,3100.0,2800.0,,,2.0,5.0,-3,3100.0,2800.0,300,-,
19/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,900,617,7200.0,3700.0,,,8.0,6.0,2,7200.0,3700.0,3500,-,
18/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,2600,633,5200.0,3800.0,,,2.0,6.0,-4,5200.0,3800.0,1400,-,
17/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,650,650,1300.0,3900.0,,,2.0,6.0,-4,1300.0,3900.0,-2600,-,
16/09/2024,5000000,5000000,8100,9300,6900,1,0.0,41,8100,8100,8100,8100,-,8100,8100,,,150,657,299.0,4599.0,1.0,0.0,2.0,7.0,-5,300.0,4600.0,-4300,-,
13/09/2024,5000000,5000000,8100,9300,6900,-,,41,8100,8100,8100,8100,-,8100,8100,,,100,1117,100.0,6700.0,,,1.0,6.0,-5,100.0,6700.0,-6600,-,
12/09/2024,5000000,5000000,8200,9400,7000,101,1.0,41,8100,8100,8100,8100,-,8100,8100,-100.0,-1.22,150,1020,199.0,4999.0,101.0,1.0,2.0,5.0,-3,300.0,5100.0,-4800,-,
11/09/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,100,780,100.0,3900.0,,,1.0,5.0,-4,100.0,3900.0,-3800,-,
10/09/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,5000,840,5000.0,4200.0,,,1.0,5.0,-4,5000.0,4200.0,800,-,
09/09/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,133,1000,400.0,4000.0,,,3.0,4.0,-1,400.0,4000.0,-3600,-,
06/09/2024,5000000,5000000,8200,9400,7000,2,0.0,41,8200,8200,8200,8200,-,8200,8200,,,50,1083,98.0,6498.0,2.0,0.0,2.0,6.0,-4,100.0,6500.0,-6400,-,
05/09/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,2550,840,5100.0,4200.0,,,2.0,5.0,-3,5100.0,4200.0,900,-,
04/09/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,2550,1040,5100.0,5200.0,,,2.0,5.0,-3,5100.0,5200.0,-100,-,
30/08/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,700,1486,2100.0,10400.0,,,3.0,7.0,-4,2100.0,10400.0,-8300,-,
29/08/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,67,840,200.0,4200.0,,,3.0,5.0,-2,200.0,4200.0,-4000,-,
28/08/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,67,833,200.0,2500.0,,,3.0,3.0,-,200.0,2500.0,-2300,-,
27/08/2024,5000000,5000000,8200,9400,7000,3,0.0,41,8200,8200,8200,8200,-,8200,8200,,,1867,1000,5597.0,1997.0,3.0,0.0,3.0,2.0,1,5600.0,2000.0,3600,-,
26/08/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,267,1667,800.0,5000.0,,,3.0,3.0,-,800.0,5000.0,-4200,-,
23/08/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,100,1000,200.0,4000.0,,,2.0,4.0,-2,200.0,4000.0,-3800,-,
22/08/2024,5000000,5000000,8200,9400,7000,-,,41,8200,8200,8200,8200,-,8200,8200,,,100,200,300.0,200.0,,,3.0,1.0,2,300.0,200.0,100,-,
21/08/2024,5000000,5000000,8200,9400,7000,1,0.0,41,8200,8200,8200,8200,-,8200,8200,,,300,1000,899.0,5999.0,1.0,0.0,3.0,6.0,-3,900.0,6000.0,-5100,-,
20/08/2024,5000000,5000000,7200,8200,6200,300,2.0,41,8200,8200,8200,8200,-,8200,8200,1000.0,13.89,217,150,1000.0,,300.0,2.0,6.0,2.0,4,1300.0,300.0,1000,-,
19/08/2024,5000000,5000000,7200,8200,6200,-,,36,7200,7200,7200,7200,-,7200,7200,,,1867,100,5600.0,100.0,,,3.0,1.0,2,5600.0,100.0,5500,-,
16/08/2024,5000000,5000000,7500,8600,6400,400,3.0,36,7200,7200,7200,7200,-,7200,7200,-300.0,-4.0,167,250,100.0,100.0,400.0,3.0,3.0,2.0,1,500.0,500.0,-,-,
15/08/2024,5000000,5000000,8700,10000,7400,100,1.0,38,7500,7500,7500,7500,-,7500,7500,-1200.0,-13.79,1733,1240,5100.0,6100.0,100.0,1.0,3.0,5.0,-2,5200.0,6200.0,-1000,-,
14/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,1150,100.0,4600.0,,,1.0,4.0,-3,100.0,4600.0,-4500,-,
13/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,1450,100.0,2900.0,,,1.0,2.0,-1,100.0,2900.0,-2800,-,
12/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,1675,100.0,6700.0,,,1.0,4.0,-3,100.0,6700.0,-6600,-,
09/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,150,1600,300.0,9600.0,,,2.0,6.0,-4,300.0,9600.0,-9300,-,
08/08/2024,5000000,5000000,8700,10000,7400,5,0.0,44,8700,8700,8700,8700,-,8700,8700,,,100,1800,95.0,5395.0,5.0,0.0,1.0,3.0,-2,100.0,5400.0,-5300,-,
07/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,300,2233,300.0,6700.0,,,1.0,3.0,-2,300.0,6700.0,-6400,-,
06/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,2650,1580,5300.0,7900.0,,,2.0,5.0,-3,5300.0,7900.0,-2600,-,
05/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,1340,100.0,6700.0,,,1.0,5.0,-4,100.0,6700.0,-6600,-,
02/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,2133,100.0,6400.0,,,1.0,3.0,-2,100.0,6400.0,-6300,-,
01/08/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,1960,100.0,9800.0,,,1.0,5.0,-4,100.0,9800.0,-9700,-,
31/07/2024,5000000,5000000,8700,10000,7400,-,,44,8700,8700,8700,8700,-,8700,8700,,,100,2700,100.0,2700.0,,,1.0,1.0,-,100.0,2700.0,-2600,-,
