Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9791945,9791945,204100,224500,183700,16470,3388,2016,210000,205900,210000,203000,7000,205690,205900,1800.0,0.88,246,240,20430,21630,16470,3388,150,159,-9,36900,38100,-1200,-,
26/09/2024,9791945,9791945,202000,222200,181800,31878,6440,1999,200000,204100,205100,199000,6100,201996,204100,2100.0,1.04,286,309,15822,8922,31878,6440,167,132,35,47700,40800,6900,-,
25/09/2024,9791945,9791945,202500,222700,182300,15725,3179,1978,200000,202000,203500,200000,3500,202189,202000,-500.0,-0.25,225,272,11275,13375,15725,3179,120,107,13,27000,29100,-2100,-,
24/09/2024,9791945,9791945,206000,226600,185400,38255,7771,1983,206000,202500,206000,197000,9000,203408,202500,-3500.0,-1.7,240,225,14945,9045,28055,5706,179,165,14,43000,37100,5900,10200,2066.0
23/09/2024,9791945,9791945,206800,227400,186200,39727,8209,2017,206800,206000,208000,204100,3900,206640,206000,-800.0,-0.39,304,323,5873,11573,39727,8209,150,159,-9,45600,51300,-5700,-,
20/09/2024,9791945,9791945,206900,227500,186300,29253,6038,2025,206900,206800,207500,205000,2500,206420,206800,-100.0,-0.05,268,314,7947,9947,29253,6038,139,125,14,37200,39200,-2000,-,
19/09/2024,9791945,9791945,206900,227500,186300,10138,2092,2026,203200,206900,207000,203000,4000,206348,206900,,,174,281,8862,19662,10138,2092,109,106,3,19000,29800,-10800,-,
18/09/2024,9791945,9791945,205000,225500,184500,14078,2914,2026,205000,206900,209900,203000,6900,206974,206900,1900.0,0.93,242,323,8422,28622,14078,2914,93,132,-39,22500,42700,-20200,-,
17/09/2024,9791945,9791945,203400,223700,183100,29228,5954,2007,205400,205000,205400,202000,3400,203694,205000,1600.0,0.79,336,287,14072,12972,29228,5954,129,147,-18,43300,42200,1100,-,
16/09/2024,9791945,9791945,209500,230400,188600,20415,4236,1992,210400,203400,210400,203400,7000,208753,203400,-6100.0,-2.91,324,385,9385,33885,20415,4236,92,141,-49,29800,54300,-24500,-,
13/09/2024,9791945,9791945,208500,229300,187700,30342,6384,2051,210000,209500,220000,208600,11400,210412,209500,1000.0,0.48,246,308,6558,37058,30342,6384,150,219,-69,36900,67400,-30500,-,
12/09/2024,9791945,9791945,205000,225500,184500,26391,5531,2042,206000,208500,213000,206000,7000,209622,208500,3500.0,1.71,307,267,8609,32509,26391,5531,114,221,-107,35000,58900,-23900,-,
11/09/2024,9791945,9791945,201300,221400,181200,14756,3005,2007,201400,205000,205400,201300,4100,203520,205000,3700.0,1.84,243,251,10744,11144,14756,3005,105,103,2,25500,25900,-400,-,
10/09/2024,9791945,9791945,200000,220000,180000,24327,4901,1971,200000,201300,202500,200000,2500,201469,201300,1300.0,0.65,335,343,10873,6873,24327,4901,105,91,14,35200,31200,4000,-,
09/09/2024,9791945,9791945,201000,221100,180900,20521,4122,1958,202000,200000,204000,199000,5000,200876,200000,-1000.0,-0.5,204,250,6579,6179,20521,4122,133,107,26,27100,26700,400,-,
06/09/2024,9791945,9791945,201000,221100,180900,14559,2948,1968,201000,201000,205000,201000,4000,202534,201000,,,260,331,7241,9241,14559,2948,84,72,12,21800,23800,-2000,-,
