Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,35566780,33786780,9000,9630,8370,35700,314.0,303,8820,8970,9000,8720,280,8796.0,9000,-30.0,-0.33,768,1294,2100.0,7400,35700.0,314.0,60.0,54.0,6,46100.0,69900.0,-23800,-,
26/09/2024,35566780,33786780,8770,9380,8160,46400,411.0,304,8770,9000,9020,8770,250,8858.0,9000,230.0,2.62,1035,1364,2800.0,3500,46400.0,411.0,66.0,56.0,10,68300.0,76400.0,-8100,-,
25/09/2024,35566780,33786780,8880,9500,8260,13400,118.0,296,8870,8770,8990,8770,220,8806.0,8800,-110.0,-1.24,567,974,1600.0,5000,13400.0,118.0,51.0,61.0,-10,28900.0,59400.0,-30500,-,
24/09/2024,35566780,33786780,9150,9790,8510,9200,82.0,300,9040,8880,9150,8850,300,8913.0,8900,-270.0,-2.95,517,1757,1200.0,7800,9200.0,82.0,48.0,49.0,-1,24800.0,86100.0,-61300,-,
23/09/2024,35566780,33786780,9040,9670,8410,26200,236.0,309,9090,9150,9150,8820,330,9008.0,9200,110.0,1.22,789,2159,1600.0,6800,26200.0,236.0,53.0,49.0,4,41800.0,105800.0,-64000,-,
20/09/2024,35566780,33786780,9060,9690,8430,24700,222.0,305,8880,9040,9080,8820,260,8988.0,9000,-20.0,-0.22,730,1313,1500.0,2700,24700.0,222.0,61.0,80.0,-19,44500.0,105000.0,-60500,-,
19/09/2024,35566780,33786780,8920,9540,8300,5800,52.0,306,9120,9060,9150,8790,360,8966.0,9100,140.0,1.57,411,763,2100.0,3200,5800.0,52.0,63.0,57.0,6,25900.0,43500.0,-17600,-,
18/09/2024,35566780,33786780,9200,9840,8560,20300,182.0,301,9170,8920,9300,8850,450,8966.0,8900,-280.0,-3.04,1029,1004,4900.0,1400,20300.0,182.0,56.0,52.0,4,57600.0,52200.0,5400,-,
17/09/2024,35566780,33786780,8920,9540,8300,56500,509.0,311,8950,9200,9300,8570,730,9009.0,9200,280.0,3.14,1402,1411,3100.0,7000,56500.0,509.0,99.0,88.0,11,138800.0,124200.0,14600,-,
16/09/2024,35566780,33786780,9280,9920,8640,13900,125.0,301,9000,8920,9260,8920,340,8993.0,8900,-360.0,-3.88,959,1178,2100.0,1600,13900.0,125.0,51.0,64.0,-13,48900.0,75400.0,-26500,-,
13/09/2024,35566780,33786780,9500,10150,8840,16000,144.0,314,9010,9280,9310,8980,330,9000.0,9300,-220.0,-2.32,1511,1481,2200.0,5100,16000.0,144.0,45.0,57.0,-12,68000.0,84400.0,-16400,-,
12/09/2024,35566780,33786780,9500,10150,8840,16500,148.0,321,9030,9500,9500,8950,550,8970.0,9500,,,998,1346,1200.0,9600,16500.0,148.0,45.0,24.0,21,44900.0,32300.0,12600,-,
11/09/2024,35566780,33786780,9390,10000,8740,75000,690.0,321,9290,9500,9500,8940,560,9200.0,9500,110.0,1.17,1559,1620,13200.0,6600,75000.0,690.0,80.0,60.0,20,124700.0,97200.0,27500,-,
10/09/2024,35566780,33786780,9500,10150,8840,2800,26.0,317,9370,9390,9390,9370,20,9286.0,9400,-110.0,-1.16,860,1530,1400.0,11700,2800.0,26.0,15.0,44.0,-29,12900.0,67300.0,-54400,-,
09/09/2024,35566780,33786780,8940,9560,8320,4500,42.0,321,9330,9500,9500,9330,170,9333.0,9500,560.0,6.26,583,2210,3500.0,6800,4500.0,42.0,54.0,20.0,34,31500.0,44200.0,-12700,-,
