Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,4981190,11500,13200,9800,400,5.0,58,11700,11700,11700,11700,-,11700,11700,200.0,1.74,740,900,7000.0,3200.0,400.0,5.0,10.0,4.0,6,7400.0,3600.0,3800,-,
26/09/2024,5000000,4981190,11400,13100,9700,7104,82.0,58,11500,11600,11600,11500,100,11528,11600,200.0,1.75,1542,2020,11396.0,2996.0,7104.0,82.0,12.0,5.0,7,18500.0,10100.0,8400,-,
25/09/2024,5000000,4981190,11400,13100,9700,5300,61.0,57,11500,11400,11500,11400,100,11438,11400,,,1442,1520,12000.0,2300.0,5300.0,61.0,12.0,5.0,7,17300.0,7600.0,9700,-,
24/09/2024,5000000,4981190,11400,13100,9700,3705,42.0,57,11400,11400,11400,11400,-,11400,11400,,,1136,833,12195.0,1295.0,3705.0,42.0,14.0,6.0,8,15900.0,5000.0,10900,-,
23/09/2024,5000000,4981190,12500,14300,10700,6420,73.0,57,11200,11400,11500,11200,300,11388,11400,-1100.0,-8.8,719,787,5080.0,5380.0,6420.0,73.0,16.0,15.0,1,11500.0,11800.0,-300,-,
20/09/2024,5000000,4981190,14200,16300,12100,3115,39.0,63,12500,12600,12600,12500,100,12548,12600,-1600.0,-11.27,683,453,5085.0,3685.0,3115.0,39.0,12.0,15.0,-3,8200.0,6800.0,1400,-,
19/09/2024,5000000,4981190,12900,14800,11000,2944,42.0,69,14800,13900,14800,13000,1800,14197,13900,1000.0,7.75,789,765,11256.0,10056.0,2944.0,42.0,18.0,17.0,1,14200.0,13000.0,1200,-,
18/09/2024,5000000,4981190,11300,12900,9700,6744,87.0,64,12800,12900,12900,12800,100,12879,12900,1600.0,14.16,534,744,8756.0,,6744.0,87.0,29.0,9.0,20,15500.0,6700.0,8800,-,
17/09/2024,5000000,4981190,10400,11900,8900,22500,255.0,59,10400,11900,11900,10400,1500,11327,11900,1500.0,14.42,1191,1125,16800.0,,22500.0,255.0,33.0,20.0,13,39300.0,22500.0,16800,-,
16/09/2024,5000000,4981190,10100,11600,8600,2300,24.0,52,10300,10400,10400,10300,100,10387,10400,300.0,2.97,558,467,4400.0,500.0,2300.0,24.0,12.0,6.0,6,6700.0,2800.0,3900,-,
13/09/2024,5000000,4981190,10200,11700,8700,3900,39.0,50,10100,10100,10100,10100,-,10100,10100,-100.0,-0.98,877,622,7500.0,1700.0,3900.0,39.0,13.0,9.0,4,11400.0,5600.0,5800,-,
12/09/2024,5000000,4981190,10400,11900,8900,7000,71.0,51,10100,10200,10200,10100,100,10186,10200,-200.0,-1.92,650,1330,3400.0,6300.0,7000.0,71.0,16.0,10.0,6,10400.0,13300.0,-2900,-,
11/09/2024,5000000,4981190,11000,12600,9400,300,3.0,55,10100,11000,11000,10100,900,10400,11000,,,200,1543,1300.0,10500.0,300.0,3.0,8.0,7.0,1,1600.0,10800.0,-9200,-,
10/09/2024,5000000,4981190,11000,12600,9400,-,,55,11000,11000,11000,11000,-,11000,11000,,,433,433,1300.0,1300.0,,,3.0,3.0,-,1300.0,1300.0,-,-,
09/09/2024,5000000,4981190,11000,12600,9400,-,,55,11000,11000,11000,11000,-,11000,11000,,,850,433,3400.0,1300.0,,,4.0,3.0,1,3400.0,1300.0,2100,-,
06/09/2024,5000000,4981190,10900,12500,9300,1100,12.0,55,10900,11000,11000,10900,100,10991,11000,100.0,0.92,600,350,3100.0,1000.0,1100.0,12.0,7.0,6.0,1,4200.0,2100.0,2100,-,
05/09/2024,5000000,4981190,10000,11500,8500,102,1.0,54,10900,10900,10900,10900,-,10900,10900,900.0,9.0,650,75,3798.0,198.0,102.0,1.0,6.0,4.0,2,3900.0,300.0,3600,-,
04/09/2024,5000000,4981190,10000,11500,8500,-,,50,10000,10000,10000,10000,-,10000,10000,,,800,433,4800.0,1300.0,,,6.0,3.0,3,4800.0,1300.0,3500,-,
30/08/2024,5000000,4981190,10000,11500,8500,9400,94.0,57,10100,11500,11500,10000,1500,10029,11500,1500.0,15.0,1100,891,3800.0,400.0,9400.0,94.0,12.0,11.0,1,13200.0,9800.0,3400,-,
29/08/2024,5000000,4981190,10100,11600,8600,7200,72.0,50,11000,10000,11000,10000,1000,10042,10000,-100.0,-0.99,910,1217,1900.0,100.0,7200.0,72.0,10.0,6.0,4,9100.0,7300.0,1800,-,
28/08/2024,5000000,4981190,10400,11900,8900,300,3.0,50,10200,10100,10200,10100,100,10133,10100,-300.0,-2.88,140,500,400.0,3200.0,300.0,3.0,5.0,7.0,-2,700.0,3500.0,-2800,-,
27/08/2024,5000000,4981190,10200,11700,8700,500,5.0,58,10200,11700,11700,10100,1600,10440,11700,1500.0,14.71,125,267,500.0,1100.0,500.0,5.0,8.0,6.0,2,1000.0,1600.0,-600,-,
26/08/2024,5000000,4981190,11000,12600,9400,2000,20.0,51,10100,10200,10200,10100,100,10150,10200,-800.0,-7.27,680,460,1400.0,300.0,2000.0,20.0,5.0,5.0,-,3400.0,2300.0,1100,-,
23/08/2024,5000000,4981190,11000,12600,9400,-,,55,11000,11000,11000,11000,-,11000,11000,,,500,43,500.0,300.0,,,1.0,7.0,-6,500.0,300.0,200,-,
