Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,375000000,375000000,67600,77700,57500,52100,3523,25350,67800,67600,67900,67400,500,67627,67600,,,919,987,9500,15000,52100,3523,67,68,-1,61600,67100,-5500,-,
26/09/2024,375000000,375000000,67200,77200,57200,56600,3828,25425,67300,67800,67800,67300,500,67627,67800,600.0,0.89,876,1232,8200,12400,56600,3828,74,56,18,64800,69000,-4200,-,
25/09/2024,375000000,375000000,66900,76900,56900,52800,3549,25313,67300,67500,67500,66700,800,67213,67500,600.0,0.9,896,1314,8100,14200,52800,3549,68,51,17,60900,67000,-6100,-,
24/09/2024,375000000,375000000,67100,77100,57100,52300,3501,25200,67300,67200,67300,66800,500,66945,67200,100.0,0.15,989,880,10000,17200,52300,3501,63,79,-16,62300,69500,-7200,-,
23/09/2024,375000000,375000000,67600,77700,57500,56600,3796,25238,67600,67300,67600,66900,700,67075,67300,-300.0,-0.44,1125,959,10900,18200,56600,3796,60,78,-18,67500,74800,-7300,-,
20/09/2024,375000000,375000000,68000,78200,57800,52600,3554,25388,68100,67700,68100,67300,800,67558,67700,-300.0,-0.44,944,1138,11600,19100,52600,3554,68,63,5,64200,71700,-7500,-,
19/09/2024,375000000,375000000,67800,77900,57700,57000,3876,25538,68200,68100,68400,67800,600,67996,68100,300.0,0.44,858,1111,12500,15200,57000,3876,81,65,16,69500,72200,-2700,-,
18/09/2024,375000000,375000000,67300,77300,57300,54800,3714,25575,67600,68200,68200,67400,800,67781,68200,900.0,1.34,858,985,13000,12200,54800,3714,79,68,11,67800,67000,800,-,
17/09/2024,375000000,375000000,67600,77700,57500,57300,3855,25350,67200,67600,67600,67000,600,67277,67600,,,907,1202,11600,17200,57300,3855,76,62,14,68900,74500,-5600,-,
16/09/2024,375000000,375000000,67300,77300,57300,54400,3680,25200,67600,67200,67800,67200,600,67648,67200,-100.0,-0.15,906,1178,10800,16300,54400,3680,72,60,12,65200,70700,-5500,-,
13/09/2024,375000000,375000000,67500,77600,57400,57400,3861,25275,67500,67400,67500,67000,500,67256,67400,-100.0,-0.15,1025,1128,12300,23800,57400,3861,68,72,-4,69700,81200,-11500,-,
12/09/2024,375000000,375000000,67000,77000,57000,52200,3523,25313,67200,67500,67600,67200,400,67498,67500,500.0,0.75,931,1214,13000,18200,52200,3523,70,58,12,65200,70400,-5200,-,
11/09/2024,375000000,375000000,67100,77100,57100,49200,3296,25200,67000,67200,67200,66800,400,66993,67200,100.0,0.15,952,1151,9800,16400,49200,3296,62,57,5,59000,65600,-6600,-,
10/09/2024,375000000,375000000,67100,77100,57100,50800,3407,25088,67100,66900,67400,66900,500,67076,66900,-200.0,-0.3,869,1132,10900,19400,50800,3407,71,62,9,61700,70200,-8500,-,
09/09/2024,375000000,375000000,67100,77100,57100,50500,3386,25125,67100,67000,67300,66900,400,67052,67000,-100.0,-0.15,952,979,8500,14100,50500,3386,62,66,-4,59000,64600,-5600,-,
06/09/2024,375000000,375000000,67200,77200,57200,57000,3827,25163,67100,67100,67400,66900,500,67136,67100,-100.0,-0.15,1112,1123,8600,20500,57000,3827,59,69,-10,65600,77500,-11900,-,
05/09/2024,375000000,375000000,67300,77300,57300,51800,3479,25125,67200,67000,67400,66900,500,67157,67000,-300.0,-0.45,1040,1338,8500,21800,51800,3479,58,55,3,60300,73600,-13300,-,
04/09/2024,375000000,375000000,67500,77600,57400,57100,3846,25313,67400,67500,67500,67200,300,67347,67500,,,966,1227,10500,16500,57100,3846,70,60,10,67600,73600,-6000,-,
30/08/2024,375000000,375000000,67400,77500,57300,50510,3408,25313,67500,67500,67700,67300,400,67480,67500,100.0,0.15,953,1078,6690,13090,50510,3408,60,59,1,57200,63600,-6400,-,
