Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15863133,15863133,25000,28700,21300,-,,397,25000,25000,25000,25000,-,25000,25000,,,243,100,1700.0,600.0,,,7.0,6.0,1,1700.0,600.0,1100,-,
26/09/2024,15863133,15863133,26000,29900,22100,200,5.0,381,26000,24000,26000,24000,2000,25000,24000,-2000.0,-7.69,233,100,2600.0,500.0,200.0,5.0,12.0,7.0,5,2800.0,700.0,2100,-,
25/09/2024,15863133,15863133,26000,29900,22100,-,,412,26000,26000,26000,26000,-,26000,26000,,,150,125,2100.0,500.0,,,14.0,4.0,10,2100.0,500.0,1600,-,
24/09/2024,15863133,15863133,26000,29900,22100,-,,412,26000,26000,26000,26000,-,26000,26000,,,225,100,1800.0,400.0,,,8.0,4.0,4,1800.0,400.0,1400,-,
23/09/2024,15863133,15863133,23100,26500,19700,100,3.0,412,26000,26000,26000,26000,-,26000,26000,2900.0,12.55,192,100,2200.0,400.0,100.0,3.0,12.0,5.0,7,2300.0,500.0,1800,-,
20/09/2024,15863133,15863133,23100,26500,19700,-,,366,23100,23100,23100,23100,-,23100,23100,,,175,100,2100.0,300.0,,,12.0,3.0,9,2100.0,300.0,1800,-,
19/09/2024,15863133,15863133,23100,26500,19700,-,,366,23100,23100,23100,23100,-,23100,23100,,,264,100,3700.0,200.0,,,14.0,2.0,12,3700.0,200.0,3500,-,
18/09/2024,15863133,15863133,26100,30000,22200,2800,65.0,365,23000,23000,26000,22900,3100,23095,23000,-3100.0,-11.88,206,289,1100.0,400.0,2200.0,51.0,16.0,9.0,7,3300.0,2600.0,700,600,14.0
17/09/2024,15863133,15863133,26100,30000,22200,-,,414,26100,26100,26100,26100,-,26100,26100,,,186,100,1300.0,200.0,,,7.0,2.0,5,1300.0,200.0,1100,-,
