Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,167,,500.0,,,,3.0,-3,,500.0,-500,-,
26/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,50,100,,200.0,,,2.0,2.0,-,100.0,200.0,-100,-,
25/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,140,,500.0,,,2.0,5.0,-3,,700.0,-700,-,
24/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,400,,1600.0,,,1.0,4.0,-3,,1600.0,-1600,-,
23/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,33,140,,600.0,,,3.0,5.0,-2,100.0,700.0,-600,-,
20/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,150,,500.0,,,2.0,4.0,-2,,600.0,-600,-,
19/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,100,,300.0,,,1.0,3.0,-2,,300.0,-300,-,
18/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
17/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,167,,500.0,,,,3.0,-3,,500.0,-500,-,
16/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,167,,500.0,,,1.0,3.0,-2,,500.0,-500,-,
13/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,50,317,100.0,1600.0,,,2.0,6.0,-4,100.0,1900.0,-1800,-,
12/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,175,,500.0,,,1.0,4.0,-3,,700.0,-700,-,
11/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,300,,1300.0,,,,5.0,-5,,1500.0,-1500,-,
10/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,100,160,,500.0,,,1.0,5.0,-4,100.0,800.0,-700,-,
09/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,100,125,100.0,500.0,,,1.0,4.0,-3,100.0,500.0,-400,-,
06/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,180,,700.0,,,,5.0,-5,,900.0,-900,-,
05/09/2024,12832437,12832437,68000,72700,63300,300,20.0,873,68000,68000,68000,68000,-,66667.0,68000,,,133,167,100.0,400.0,300.0,20.0,3.0,6.0,-3,400.0,1000.0,-600,-,
04/09/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,125,,500.0,,,2.0,4.0,-2,,500.0,-500,-,
30/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,100,,500.0,,,2.0,5.0,-3,,500.0,-500,-,
29/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,50,67,,200.0,,,4.0,3.0,1,200.0,200.0,-,-,
28/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,50,150,100.0,500.0,,,6.0,4.0,2,300.0,600.0,-300,-,
27/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,60,83,100.0,300.0,,,5.0,6.0,-1,300.0,500.0,-200,-,
26/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,67,100,100.0,300.0,,,3.0,3.0,-,200.0,300.0,-100,-,
23/08/2024,12832437,12832437,68000,72700,63300,1100,74.0,873,68000,68000,68000,68000,-,67273.0,68000,,,1000,233,100.0,300.0,1100.0,74.0,2.0,6.0,-4,2000.0,1400.0,600,-,
22/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,100,450,100.0,900.0,,,1.0,2.0,-1,100.0,900.0,-800,-,
21/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,275,,1000.0,,,,4.0,-4,,1100.0,-1100,-,
20/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,280,,1300.0,,,,5.0,-5,,1400.0,-1400,-,
19/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,260,,1200.0,,,2.0,5.0,-3,,1300.0,-1300,-,
16/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,325,,1200.0,,,1.0,4.0,-3,,1300.0,-1300,-,
15/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,167,,500.0,,,,3.0,-3,,500.0,-500,-,
14/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,100,333,100.0,1000.0,,,1.0,3.0,-2,100.0,1000.0,-900,-,
13/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,150,,600.0,,,,4.0,-4,,600.0,-600,-,
12/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,450,,900.0,,,,2.0,-2,,900.0,-900,-,
09/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,300,,1200.0,,,,4.0,-4,,1200.0,-1200,-,
08/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,367,,1100.0,,,,3.0,-3,,1100.0,-1100,-,
07/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,800,,800.0,,,,1.0,-1,,800.0,-800,-,
06/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,300,,300.0,,,,1.0,-1,,300.0,-300,-,
05/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,275,,1100.0,,,,4.0,-4,,1100.0,-1100,-,
02/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,233,,1400.0,,,,6.0,-6,,1400.0,-1400,-,
01/08/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,-,450,,900.0,,,2.0,2.0,-,,900.0,-900,-,
31/07/2024,12832437,12832437,68000,72700,63300,200,13.0,873,68000,68000,68000,68000,-,65000.0,68000,,,150,250,100.0,300.0,200.0,13.0,2.0,2.0,-,300.0,500.0,-200,-,
30/07/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,40,800,200.0,800.0,,,5.0,1.0,4,200.0,800.0,-600,-,
29/07/2024,12832437,12832437,68000,72700,63300,-,,873,68000,68000,68000,68000,-,,68000,,,550,800,1100.0,800.0,,,2.0,1.0,1,1100.0,800.0,300,-,
26/07/2024,12832437,12832437,69000,73800,64200,100,6.0,873,68000,68000,68000,68000,-,60000.0,68000,-1000.0,-1.45,67,400,100.0,1100.0,100.0,6.0,3.0,3.0,-,200.0,1200.0,-1000,-,
25/07/2024,12832437,12832437,69000,73800,64200,500,34.0,885,69000,69000,69000,69000,-,68000.0,69000,,,1000,475,500.0,1400.0,500.0,34.0,1.0,4.0,-3,1000.0,1900.0,-900,-,
24/07/2024,12832437,12832437,69000,73800,64200,-,,885,69000,69000,69000,69000,-,,69000,,,-,67,,200.0,,,,3.0,-3,,200.0,-200,-,
23/07/2024,12832437,12832437,69000,73800,64200,-,,885,69000,69000,69000,69000,-,,69000,,,-,900,,1800.0,,,,2.0,-2,,1800.0,-1800,-,
22/07/2024,12832437,12832437,69000,73800,64200,-,,885,69000,69000,69000,69000,-,,69000,,,-,220,,1100.0,,,,5.0,-5,,1100.0,-1100,-,
