Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,21000000,21000000,3100,3400,2800,7000,20.0,63,3000,3000,3100,2800,300,2877,3000,-100.0,-3.23,1061,1485,22700.0,22700,7000.0,20.0,28,20,8,29700,29700,-,-,
26/09/2024,21000000,21000000,3200,3500,2900,1300,4.0,65,3000,3100,3100,3000,100,3023,3100,-100.0,-3.13,833,1852,11200.0,37600,1300.0,4.0,15,21,-6,12500,38900,-26400,-,
25/09/2024,21000000,21000000,3100,3400,2800,10900,33.0,67,3000,3200,3200,3000,200,3063,3200,100.0,3.23,1076,1282,16000.0,25000,10900.0,33.0,25,28,-3,26900,35900,-9000,-,
24/09/2024,21000000,21000000,3100,3400,2800,2800,9.0,65,3100,3100,3100,3000,100,3068,3100,,,1464,927,17700.0,11100,2800.0,9.0,14,15,-1,20500,13900,6600,-,
23/09/2024,21000000,21000000,3000,3300,2700,2219,7.0,65,3200,3100,3200,3000,200,3062,3100,100.0,3.33,1095,942,18581.0,9081,2219.0,7.0,19,12,7,20800,11300,9500,-,
20/09/2024,21000000,21000000,3100,3400,2800,2126,6.0,63,3100,3000,3100,3000,100,3100,3000,-100.0,-3.23,743,885,8274.0,9374,2126.0,6.0,14,13,1,10400,11500,-1100,-,
19/09/2024,21000000,21000000,3100,3400,2800,11,0.0,65,3100,3100,3100,3100,-,3100,3100,,,2381,1110,38089.0,11089,11.0,0.0,16,10,6,38100,11100,27000,-,
18/09/2024,21000000,21000000,3100,3400,2800,801,2.0,65,3100,3100,3100,3100,-,3100,3100,,,747,1638,11899.0,20499,801.0,2.0,17,13,4,12700,21300,-8600,-,
17/09/2024,21000000,21000000,3100,3400,2800,1020,3.0,65,3100,3100,3100,3100,-,3100,3100,,,860,763,7580.0,11180,1020.0,3.0,10,16,-6,8600,12200,-3600,-,
16/09/2024,21000000,21000000,3100,3400,2800,1600,5.0,65,3000,3100,3100,3000,100,3013,3100,,,780,1029,10100.0,12800,1600.0,5.0,15,14,1,11700,14400,-2700,-,
13/09/2024,21000000,21000000,3100,3400,2800,1100,3.0,65,3000,3100,3100,3000,100,3000,3100,,,1700,1293,31200.0,17000,1100.0,3.0,19,14,5,32300,18100,14200,-,
12/09/2024,21000000,21000000,3000,3300,2700,7601,23.0,65,3000,3100,3100,3000,100,3010,3100,100.0,3.33,714,961,12399.0,9699,7601.0,23.0,28,18,10,20000,17300,2700,-,
