Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,179985863,179985863,37400,40000,34800,1160100,43470,6713,37500,37300,37850,37200,650,37471,37300,-100.0,-0.27,1550,1876,148000.0,4500.0,1160100,43470,1592.0,1553.0,39,2467300.0,2913600.0,-446300,-,
26/09/2024,179985863,179985863,37750,40350,35150,1416000,53137,6731,37850,37400,37850,37300,550,37526,37400,-350.0,-0.93,1527,2041,56800.0,5300.0,1416000,53137,1525.0,1444.0,81,2328700.0,2947200.0,-618500,-,
25/09/2024,179985863,179985863,37700,40300,35100,723100,27310,6794,38000,37750,38000,37650,350,37768,37800,50.0,0.13,1545,1687,34000.0,34400.0,723100,27310,928.0,1351.0,-423,1434200.0,2279800.0,-845600,-,
24/09/2024,179985863,179985863,36500,39050,33950,2505200,93682,6785,36700,37700,37950,36450,1500,37395,37700,1200.0,3.29,1978,1789,32200.0,45900.0,2505200,93682,2450.0,2970.0,-520,4845400.0,5313900.0,-468500,-,
23/09/2024,179985863,179985863,36800,39350,34250,628300,22986,6569,37000,36500,37000,36400,600,36584,36500,-300.0,-0.82,1375,2596,124400.0,40200.0,628300,22986,914.0,754.0,160,1257200.0,1957600.0,-700400,-,
20/09/2024,179985863,179985863,37000,39550,34450,872300,32324,6623,37150,36800,37300,36750,550,37056,36800,-200.0,-0.54,1727,1963,37300.0,12400.0,872300,32324,935.0,1447.0,-512,1614400.0,2840000.0,-1225600,-,
19/09/2024,179985863,179985863,36250,38750,33750,1328400,48682,6659,36350,37000,37100,36150,950,36647,37000,750.0,2.07,1870,1754,29600.0,164700.0,1328400,48682,1259.0,1546.0,-287,2354600.0,2711000.0,-356400,-,
18/09/2024,179985863,179985863,36100,38600,33600,653200,23668,6524,36050,36250,36450,36050,400,36234,36300,150.0,0.42,1967,1880,18700.0,95500.0,653200,23668,760.0,1054.0,-294,1495100.0,1981900.0,-486800,-,
17/09/2024,179985863,179985863,35450,37900,33000,730200,26003,6497,35150,36100,36100,35050,1050,35611,36100,650.0,1.83,1327,1654,55100.0,36300.0,730200,26003,1254.0,782.0,472,1663700.0,1293600.0,370100,-,
