Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
26/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,800,-,800.0,,,,1.0,,1,800.0,,800,-,
25/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
24/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
23/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
20/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,1.0,,1,,,-,-,
19/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
18/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
17/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
16/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
13/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
12/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
11/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
10/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
09/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,500,-,1000.0,,,,2.0,,2,1000.0,,1000,-,
06/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
05/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
04/09/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1000,-,2000.0,,,,2.0,,2,2000.0,,2000,-,
30/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
29/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
28/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
27/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1033,-,3100.0,,,,3.0,,3,3100.0,,3100,-,
26/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
23/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
22/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
21/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
20/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
19/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
16/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,950,-,1900.0,,,,2.0,,2,1900.0,,1900,-,
15/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
14/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
13/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
12/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
09/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
08/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
07/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
06/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
05/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,-,-,,,,,,,-,,,-,-,
02/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
01/08/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
31/07/2024,5000000,5000000,14800,20700,8900,-,,74,14800,14800,14800,14800,-,14800,14800,,,550,-,1100.0,,,,2.0,,2,1100.0,,1100,-,
