Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,335820641,335820641,5230,5590,4870,1562400,8135,1743,5230,5190,5250,5170,80,5207,5200,-40.0,-0.76,2096,5967,104200.0,58000.0,1562400,8135,1464.0,601.0,863,3068500.0,3586300.0,-517800,-,
26/09/2024,335820641,335820641,5300,5670,4930,1909500,10106,1756,5330,5230,5370,5230,140,5292,5200,-70.0,-1.32,2444,5721,47800.0,16100.0,1909500,10106,1316.0,709.0,607,3216200.0,4056500.0,-840300,-,
25/09/2024,335820641,335820641,5280,5640,4920,1247900,6638,1780,5290,5300,5360,5290,70,5319,5300,20.0,0.38,2312,3219,143300.0,49600.0,1247900,6638,1020.0,773.0,247,2358700.0,2488500.0,-129800,-,
24/09/2024,335820641,335820641,5450,5830,5070,3612700,19367,1773,5420,5280,5450,5280,170,5361,5300,-170.0,-3.12,3173,6066,27600.0,39800.0,3612700,19367,1640.0,901.0,739,5203200.0,5465500.0,-262300,-,
23/09/2024,335820641,335820641,5590,5980,5200,3413200,18610,1830,5590,5450,5590,5390,200,5452,5500,-140.0,-2.5,2975,6286,31300.0,9400.0,3413200,18610,1808.0,1000.0,808,5378600.0,6286400.0,-907800,-,
20/09/2024,335820641,335820641,5750,6150,5350,6108700,34205,1877,5800,5590,5900,5480,420,5599,5600,-160.0,-2.78,3112,7323,68000.0,121300.0,6108700,34205,3155.0,1754.0,1401,9817400.0,12844600.0,-3027200,-,
19/09/2024,335820641,335820641,5500,5880,5120,3398600,19303,1931,5500,5750,5750,5500,250,5680,5800,250.0,4.55,5327,5687,102700.0,23900.0,3398600,19303,1200.0,1026.0,174,6392000.0,5834600.0,557400,-,
18/09/2024,335820641,335820641,5660,6050,5270,2170300,12103,1847,5650,5500,5700,5500,200,5577,5500,-160.0,-2.83,2835,5813,58500.0,22500.0,2170300,12103,1516.0,849.0,667,4298000.0,4935600.0,-637600,-,
17/09/2024,335820641,335820641,6000,6420,5580,13099670,81772,1901,5650,5660,5880,5650,230,5699,5700,-340.0,-5.67,5889,8443,157800.0,30800.0,3228000,18396,1215.0,1125.0,90,7155600.0,9498600.0,-2343000,9871670,63376.0
