Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12500000,12500000,51000,58600,43400,-,,638,51000,51000,51000,51000,-,51000,51000,,,767,500,2300.0,500.0,,,3.0,1.0,2,2300.0,500.0,1800,-,
26/09/2024,12500000,12500000,51000,58600,43400,-,,638,51000,51000,51000,51000,-,51000,51000,,,1033,300,3100.0,300.0,,,3.0,1.0,2,3100.0,300.0,2800,-,
25/09/2024,12500000,12500000,57000,65500,48500,500,26.0,638,51000,51000,51000,51000,-,51000,51000,-6000.0,-10.53,867,557,2100.0,3400.0,500.0,26.0,3.0,7.0,-4,2600.0,3900.0,-1300,-,
24/09/2024,12500000,12500000,57000,65500,48500,-,,713,57000,57000,57000,57000,-,57000,57000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,12500000,12500000,57000,65500,48500,-,,713,57000,57000,57000,57000,-,57000,57000,,,650,633,1300.0,3800.0,,,2.0,6.0,-4,1300.0,3800.0,-2500,-,
20/09/2024,12500000,12500000,57000,65500,48500,-,,713,57000,57000,57000,57000,-,57000,57000,,,650,733,1300.0,2200.0,,,2.0,3.0,-1,1300.0,2200.0,-900,-,
19/09/2024,12500000,12500000,57500,66100,48900,100,6.0,713,57000,57000,57000,57000,-,57000,57000,-500.0,-0.87,600,271,2300.0,1800.0,100.0,6.0,4.0,7.0,-3,2400.0,1900.0,500,-,
18/09/2024,12500000,12500000,50000,57500,42500,100,6.0,719,57500,57500,57500,57500,-,57500,57500,7500.0,15.0,309,100,3300.0,,100.0,6.0,11.0,1.0,10,3400.0,100.0,3300,-,
17/09/2024,12500000,12500000,50600,58100,43100,2000,100.0,625,50000,50000,50000,50000,-,50000,50000,-600.0,-1.19,1033,700,7300.0,100.0,2000.0,100.0,9.0,3.0,6,9300.0,2100.0,7200,-,
16/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,1000,100,1000.0,200.0,,,1.0,2.0,-1,1000.0,200.0,800,-,
13/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,550,100,1100.0,100.0,,,2.0,1.0,1,1100.0,100.0,1000,-,
12/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,467,100,1400.0,200.0,,,3.0,2.0,1,1400.0,200.0,1200,-,
11/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,1100,233,2200.0,700.0,,,2.0,3.0,-1,2200.0,700.0,1500,-,
10/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,600,100,3600.0,200.0,,,6.0,2.0,4,3600.0,200.0,3400,-,
09/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,617,100,3700.0,200.0,,,6.0,2.0,4,3700.0,200.0,3500,-,
06/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,360,100,1800.0,200.0,,,5.0,2.0,3,1800.0,200.0,1600,-,
05/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,500,233,2000.0,700.0,,,4.0,3.0,1,2000.0,700.0,1300,-,
04/09/2024,12500000,12500000,50600,58100,43100,-,,633,50600,50600,50600,50600,-,50600,50600,,,667,233,2000.0,700.0,,,3.0,3.0,-,2000.0,700.0,1300,-,
