Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,16829994,16829994,23900,26200,21600,2100,49.0,402,23700,23900,24100,23200,900,23548,23900,,,373,444,7600.0,12100.0,2100.0,49.0,26,32,-6,9700,14200,-4500,-,
26/09/2024,16829994,16829994,24300,26700,21900,100,2.0,402,23900,23900,23900,23900,-,23900,23900,-400.0,-1.65,306,493,4800.0,13200.0,100.0,2.0,16,27,-11,4900,13300,-8400,-,
25/09/2024,16829994,16829994,24300,26700,21900,2220,54.0,409,24300,24300,24300,24200,100,24264,24300,,,281,522,5380.0,11880.0,2220.0,54.0,27,27,-,7600,14100,-6500,-,
24/09/2024,16829994,16829994,24500,26900,22100,2900,69.0,409,23300,24300,24900,23300,1600,23755,24300,-200.0,-0.82,271,514,6600.0,12000.0,2900.0,69.0,35,29,6,9500,14900,-5400,-,
23/09/2024,16829994,16829994,24500,26900,22100,528,13.0,412,24000,24500,24500,23500,1000,23900,24500,,,153,442,4072.0,10072.0,528.0,13.0,30,24,6,4600,10600,-6000,-,
20/09/2024,16829994,16829994,24000,26400,21600,1200,28.0,412,23100,24500,24500,22800,1700,23217,24500,500.0,2.08,229,589,5900.0,9400.0,1200.0,28.0,31,18,13,7100,10600,-3500,-,
19/09/2024,16829994,16829994,24000,26400,21600,2300,54.0,404,23200,24000,24000,23000,1000,23267,24000,,,296,579,4800.0,11600.0,2300.0,54.0,24,24,-,7100,13900,-6800,-,
18/09/2024,16829994,16829994,24500,26900,22100,5308,126.0,404,24000,24000,24000,23000,1000,23711,24000,-500.0,-2.04,330,552,7892.0,9592.0,5308.0,126.0,40,27,13,13200,14900,-1700,-,
17/09/2024,16829994,16829994,25000,27500,22500,4005,92.0,412,23000,24500,24500,22700,1800,22792,24500,-500.0,-2.0,386,491,1395.0,6795.0,4005.0,92.0,14,22,-8,5400,10800,-5400,-,
