Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
26/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
25/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
24/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
23/09/2024,11424570,11424570,11700,12800,10600,102,1.0,134,11700,11700,11700,11700,-,11700,11400,,,100,800,98.0,1498.0,102.0,1.0,2.0,2.0,-,200.0,1600.0,-1400,-,
20/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,1300,200.0,2600.0,,,2.0,2.0,-,200.0,2600.0,-2400,-,
19/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,1300,100.0,2600.0,,,1.0,2.0,-1,100.0,2600.0,-2500,-,
18/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
17/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,-,,,,,,1.0,-1,,,-,-,
16/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
13/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
12/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
11/09/2024,11424570,11424570,11700,12800,10600,20,0.0,134,11700,11700,11700,11700,-,11700,11400,,,100,600,180.0,580.0,20.0,0.0,2.0,1.0,1,200.0,600.0,-400,-,
10/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,-,,,,,,,-,,,-,-,
09/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
06/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
05/09/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,800,,1600.0,,,,2.0,-2,,1600.0,-1600,-,
04/09/2024,11424570,11424570,11700,12800,10600,100,1.0,134,11700,11700,11700,11700,-,11700,11400,,,100,900,,2600.0,100.0,1.0,1.0,3.0,-2,100.0,2700.0,-2600,-,
30/08/2024,11424570,11424570,11700,12800,10600,1,0.0,134,11700,11700,11700,11700,-,11700,11400,,,100,1300,99.0,2599.0,1.0,0.0,1.0,2.0,-1,100.0,2600.0,-2500,-,
29/08/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,200,1450,200.0,2900.0,,,1.0,2.0,-1,200.0,2900.0,-2700,-,
28/08/2024,11424570,11424570,11700,12800,10600,1,0.0,134,11700,11700,11700,11700,-,11700,11400,,,200,-,199.0,,1.0,0.0,1.0,,1,200.0,,200,-,
27/08/2024,11424570,11424570,11700,12800,10600,200,2.0,134,11700,11700,11700,11700,-,11700,11400,,,100,450,,700.0,200.0,2.0,2.0,2.0,-,200.0,900.0,-700,-,
26/08/2024,11424570,11424570,11700,12800,10600,100,1.0,134,11700,11700,11700,11700,-,11700,11400,,,260,2760,1200.0,13700.0,100.0,1.0,5.0,5.0,-,1300.0,13800.0,-12500,-,
23/08/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
22/08/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
21/08/2024,11424570,11424570,11700,12800,10600,-,,134,11700,11700,11700,11700,-,11700,11400,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
20/08/2024,11424570,11424570,11800,12900,10700,100,1.0,134,11700,11700,11700,11700,-,11700,11400,-100.0,-0.85,100,350,,600.0,100.0,1.0,1.0,2.0,-1,100.0,700.0,-600,-,
19/08/2024,11424570,11424570,11800,12900,10700,100,1.0,135,11800,11800,11800,11800,-,11800,11500,,,400,900,1100.0,2600.0,100.0,1.0,3.0,3.0,-,1200.0,2700.0,-1500,-,
16/08/2024,11424570,11424570,11800,12900,10700,-,,135,11800,11800,11800,11800,-,11800,11500,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
