Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,384999972,384999972,35500,39000,32000,1620,58,13667,35700,35500,35700,35500,200,35538,35500,,,461,640,12680,14380,1620,58,31,25,6,14300,16000,-1700,-,
26/09/2024,384999972,384999972,35600,39100,32100,1300,46,13667,35800,35500,35800,35500,300,35617,35500,-100.0,-0.28,577,916,11400,21600,1300,46,22,25,-3,12700,22900,-10200,-,
25/09/2024,384999972,384999972,35700,39200,32200,2259,81,13706,35700,35600,35700,35600,100,35645,35600,-100.0,-0.28,595,611,10841,14241,2259,81,22,27,-5,13100,16500,-3400,-,
24/09/2024,384999972,384999972,35800,39300,32300,250,9,13744,35900,35700,35900,35700,200,35800,35700,-100.0,-0.28,559,613,12050,14450,250,9,22,24,-2,12300,14700,-2400,-,
23/09/2024,384999972,384999972,35900,39400,32400,1104,40,13783,36000,35800,36000,35800,200,35818,35800,-100.0,-0.28,608,597,14696,16196,1104,40,26,29,-3,15800,17300,-1500,-,
20/09/2024,384999972,384999972,35800,39300,32300,3200,114,13821,36000,35900,36000,35600,400,35719,35900,100.0,0.28,523,950,12500,19600,3200,114,30,24,6,15700,22800,-7100,-,
19/09/2024,384999972,384999972,35800,39300,32300,750,27,13783,35600,35800,35800,35600,200,35675,35800,,,496,538,11150,12150,750,27,24,24,-,11900,12900,-1000,-,
18/09/2024,384999972,384999972,35800,39300,32300,450,16,13783,36000,35800,36000,35800,200,35850,35800,,,600,483,13350,10650,450,16,23,23,-,13800,11100,2700,-,
17/09/2024,384999972,384999972,35900,39400,32400,1200,43,13783,36000,35800,36000,35800,200,35833,35800,-100.0,-0.28,517,522,11200,10800,1200,43,24,23,1,12400,12000,400,-,
16/09/2024,384999972,384999972,35800,39300,32300,1750,63,13821,36000,35900,36000,35800,200,35840,35900,100.0,0.28,564,620,12350,16850,1750,63,25,30,-5,14100,18600,-4500,-,
13/09/2024,384999972,384999972,35700,39200,32200,660,24,13783,35900,35800,35900,35800,100,35867,35800,100.0,0.28,481,558,11840,13840,660,24,26,26,-,12500,14500,-2000,-,
12/09/2024,384999972,384999972,35800,39300,32300,250,9,13744,36000,35700,36000,35700,300,35850,35700,-100.0,-0.28,552,535,12450,12050,250,9,23,23,-,12700,12300,400,-,
11/09/2024,384999972,384999972,35800,39300,32300,700,25,13783,36000,35800,36000,35800,200,35829,35800,,,592,492,14100,11600,700,25,25,25,-,14800,12300,2500,-,
10/09/2024,384999972,384999972,35800,39300,32300,500,18,13783,36000,35800,36000,35700,300,35850,35800,,,557,570,12300,16600,500,18,23,30,-7,12800,17100,-4300,-,
09/09/2024,384999972,384999972,35800,39300,32300,550,20,13783,36000,35800,36000,35800,200,35867,35800,,,552,731,12150,20650,550,20,23,29,-6,12700,21200,-8500,-,
06/09/2024,384999972,384999972,35800,39300,32300,1550,55,13783,35900,35800,35900,35800,100,35808,35800,,,548,496,12150,11350,1550,55,25,26,-1,13700,12900,800,-,
05/09/2024,384999972,384999972,35900,39400,32400,2600,93,13783,35900,35800,35900,35700,200,35836,35800,-100.0,-0.28,542,508,10400,10600,2600,93,24,26,-2,13000,13200,-200,-,
04/09/2024,384999972,384999972,35700,39200,32200,100,4,13821,35900,35900,35900,35900,-,35900,35900,200.0,0.56,518,532,11300,13200,100,4,22,25,-3,11400,13300,-1900,-,
30/08/2024,384999972,384999972,35600,39100,32100,1752,63,13744,35800,35700,35800,35600,200,35694,35700,100.0,0.28,507,680,12448,15248,1752,63,28,25,3,14200,17000,-2800,-,
29/08/2024,384999972,384999972,35600,39100,32100,1250,44,13706,35600,35600,35800,35600,200,35640,35600,,,441,674,11550,16950,1250,44,29,27,2,12800,18200,-5400,-,
28/08/2024,384999972,384999972,35700,39200,32200,1610,57,13706,35900,35600,35900,35600,300,35640,35600,-100.0,-0.28,400,468,10790,10090,1610,57,31,25,6,12400,11700,700,-,
27/08/2024,384999972,384999972,35700,39200,32200,2450,87,13744,35900,35700,35900,35600,300,35678,35700,,,425,704,11150,13750,2450,87,32,23,9,13600,16200,-2600,-,
26/08/2024,384999972,384999972,35500,39000,32000,593060,20757,13744,35700,35700,35700,35700,-,35700,35700,200.0,0.56,617,688,14640,17740,160,6,24,26,-2,14800,17900,-3100,592900,20752.0
23/08/2024,384999972,384999972,35600,39100,32100,2270,81,13667,35700,35500,35700,35400,300,35555,35500,-100.0,-0.28,507,725,12930,15130,2270,81,30,24,6,15200,17400,-2200,-,
22/08/2024,384999972,384999972,35500,39000,32000,500,18,13706,35700,35600,35700,35500,200,35550,35600,100.0,0.28,540,566,13000,15900,500,18,25,29,-4,13500,16400,-2900,-,
21/08/2024,384999972,384999972,35600,39100,32100,3500,124,13667,35800,35500,35800,35400,400,35512,35500,-100.0,-0.28,604,600,12800,15100,3500,124,27,31,-4,16300,18600,-2300,-,
20/08/2024,384999972,384999972,35500,39000,32000,1300,46,13706,35700,35600,35700,35500,200,35531,35600,100.0,0.28,543,626,15000,18100,1300,46,30,31,-1,16300,19400,-3100,-,
19/08/2024,384999972,384999972,35500,39000,32000,1101,39,13667,35700,35500,35700,35500,200,35518,35500,,,550,604,13199,15199,1101,39,26,27,-1,14300,16300,-2000,-,
16/08/2024,384999972,384999972,35300,38800,31800,2351,83,13667,35500,35500,35500,35200,300,35382,35500,200.0,0.57,521,518,15349,15249,2351,83,34,34,-,17700,17600,100,-,
15/08/2024,384999972,384999972,35100,38600,31600,800,28,13590,35300,35300,35300,35100,200,35129,35300,200.0,0.57,520,436,12200,8800,800,28,25,22,3,13000,9600,3400,-,
14/08/2024,384999972,384999972,35100,38600,31600,200,7,13513,35300,35100,35300,35100,200,35300,35100,,,558,619,13200,15900,200,7,24,26,-2,13400,16100,-2700,-,
13/08/2024,384999972,384999972,35000,38500,31500,701,25,13513,34900,35100,35100,34900,200,35000,35100,100.0,0.29,567,675,17999,12799,701,25,33,20,13,18700,13500,5200,-,
12/08/2024,384999972,384999972,35000,38500,31500,5151,180,13475,34900,35000,35100,34900,200,35016,35000,,,683,444,14649,9049,5151,180,29,32,-3,19800,14200,5600,-,
09/08/2024,384999972,384999972,34800,38200,31400,8500,294,13475,34800,35000,35000,34200,800,34573,35000,200.0,0.57,576,468,20900,10200,8500,294,51,40,11,29400,18700,10700,-,
08/08/2024,384999972,384999972,34900,38300,31500,2442,85,13398,35100,34800,35100,34800,300,34925,34800,-100.0,-0.29,518,603,17758,15058,2442,85,39,29,10,20200,17500,2700,-,
