Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,25941887,25941887,45300,48450,42150,4600,206,1167,45450,45000,45450,44700,750,44783,45000,-300.0,-0.66,357,426,2900,3000,4600,206,74.0,61.0,13,26400.0,26000.0,400,-,
26/09/2024,25941887,25941887,44900,48000,41800,22000,990,1175,44900,45300,45450,44350,1100,45000,45300,400.0,0.89,444,439,2000,2500,22000,990,195.0,127.0,68,86600.0,55700.0,30900,-,
25/09/2024,25941887,25941887,44850,47950,41750,3600,160,1165,44900,44900,44900,44300,600,44444,44900,50.0,0.11,441,429,3300,12000,3600,160,70.0,66.0,4,30900.0,28300.0,2600,-,
24/09/2024,25941887,25941887,44950,48050,41850,19900,858,1163,44400,44850,44850,42000,2850,43116,44900,-100.0,-0.22,602,546,2200,2600,19900,858,101.0,71.0,30,60800.0,38800.0,22000,-,
23/09/2024,25941887,25941887,44900,48000,41800,1200,53,1166,44800,44950,45300,44700,600,44167,45000,50.0,0.11,3788,412,3900,1300,1200,53,82.0,52.0,30,310600.0,21400.0,289200,-,
20/09/2024,25941887,25941887,44850,47950,41750,2100,93,1165,44400,44900,46400,44350,2050,44286,44900,50.0,0.11,4054,239,5100,4300,2100,93,72.0,93.0,-21,291900.0,22200.0,269700,-,
19/09/2024,25941887,25941887,44700,47800,41600,8100,360,1163,44500,44850,44850,44200,650,44444,44900,150.0,0.34,3074,361,5100,1400,8100,360,114.0,57.0,57,350400.0,20600.0,329800,-,
18/09/2024,25941887,25941887,45000,48150,41850,7300,326,1160,44700,44700,44850,44600,250,44658,44700,-300.0,-0.67,419,545,4200,2400,7300,326,70.0,64.0,6,29300.0,34900.0,-5600,-,
17/09/2024,25941887,25941887,44950,48050,41850,1900,85,1167,45700,45000,45700,44550,1150,44737,45000,50.0,0.11,6613,342,800,4800,1900,85,89.0,85.0,4,588600.0,29100.0,559500,-,
16/09/2024,25941887,25941887,45250,48400,42100,6400,285,1166,45250,44950,45300,44500,800,44531,45000,-300.0,-0.66,1496,441,2100,2300,6400,285,140.0,69.0,71,209400.0,30400.0,179000,-,
13/09/2024,25941887,25941887,45000,48150,41850,11600,520,1174,45800,45250,45800,44400,1400,44828,45300,250.0,0.56,2731,452,2200,3800,11600,520,139.0,79.0,60,379600.0,35700.0,343900,-,
12/09/2024,25941887,25941887,45000,48150,41850,7900,353,1167,45000,45000,45000,44450,550,44684,45000,,,2708,342,3300,5100,7900,353,146.0,73.0,73,395300.0,25000.0,370300,-,
11/09/2024,25941887,25941887,45000,48150,41850,95300,4219,1167,44950,45000,45000,44200,800,44271,45000,,,4317,1632,5000,9000,95300,4219,123.0,72.0,51,531000.0,117500.0,413500,-,
10/09/2024,25941887,25941887,44700,47800,41600,8600,381,1167,44200,45000,45000,44100,900,44302,45000,300.0,0.67,2696,521,15600,17200,8600,381,141.0,82.0,59,380100.0,42700.0,337400,-,
09/09/2024,25941887,25941887,44700,47800,41600,2900,128,1160,44100,44700,44700,44100,600,44138,44700,,,3156,557,2400,1400,2900,128,117.0,67.0,50,369300.0,37300.0,332000,-,
06/09/2024,25941887,25941887,45000,48150,41850,20100,896,1160,44150,44700,44900,44150,750,44577,44700,-300.0,-0.67,3255,717,2900,20000,20100,896,135.0,86.0,49,439400.0,61700.0,377700,-,
05/09/2024,25941887,25941887,44950,48050,41850,15600,701,1167,44950,45000,45500,44550,950,44936,45000,50.0,0.11,3013,505,3900,13000,15600,701,125.0,129.0,-4,376600.0,65200.0,311400,-,
04/09/2024,25941887,25941887,45200,48350,42050,13000,578,1166,44100,44950,46300,44000,2300,44462,45000,-250.0,-0.55,3263,489,1400,5600,13000,578,128.0,152.0,-24,417700.0,74400.0,343300,-,
30/08/2024,25941887,25941887,43800,46850,40750,128800,5732,1173,43250,45200,45200,43000,2200,44503,45200,1400.0,3.2,736,615,11700,2200,128800,5732,191.0,213.0,-22,140500.0,131000.0,9500,-,
29/08/2024,25941887,25941887,43000,46000,40000,51200,2215,1136,43050,43800,43800,43000,800,43262,43800,800.0,1.86,1138,620,15100,7400,51200,2215,127.0,143.0,-16,144500.0,88700.0,55800,-,
28/08/2024,25941887,25941887,42550,45500,39600,22800,977,1116,43700,43000,43700,42600,1100,42851,43000,450.0,1.06,576,467,3100,2300,22800,977,100.0,168.0,-68,57600.0,78500.0,-20900,-,
27/08/2024,25941887,25941887,41700,44600,38800,18100,766,1104,41800,42550,42550,41800,750,42320,42600,850.0,2.04,532,309,4300,400,18100,766,94.0,146.0,-52,50000.0,45100.0,4900,-,
26/08/2024,25941887,25941887,41500,44400,38600,39700,1648,1082,41500,41700,41700,41350,350,41511,41700,200.0,0.48,972,649,1700,2400,39700,1648,97.0,99.0,-2,94300.0,64300.0,30000,-,
23/08/2024,25941887,25941887,41450,44350,38550,52300,2170,1077,41450,41500,41750,41350,400,41491,41500,50.0,0.12,879,925,5200,900,52300,2170,104.0,77.0,27,91400.0,71200.0,20200,-,
22/08/2024,25941887,25941887,41900,44800,39000,31300,1298,1075,41500,41450,41900,41400,500,41470,41500,-450.0,-1.07,555,912,6000,7900,31300,1298,124.0,97.0,27,68800.0,88500.0,-19700,-,
21/08/2024,25941887,25941887,42850,45800,39900,13600,572,1087,42800,41900,42800,41900,900,42059,41900,-950.0,-2.22,514,607,900,3200,13600,572,86.0,81.0,5,44200.0,49200.0,-5000,-,
20/08/2024,25941887,25941887,42950,45950,39950,2800,119,1112,42950,42850,43200,42400,800,42500,42900,-100.0,-0.23,2131,955,2200,12500,2800,119,104.0,107.0,-3,221600.0,102200.0,119400,-,
19/08/2024,25941887,25941887,43450,46450,40450,4000,173,1114,43450,42950,43450,42950,500,43250,43000,-500.0,-1.15,2714,913,3200,3000,4000,173,111.0,127.0,-16,301300.0,116000.0,185300,-,
16/08/2024,25941887,25941887,42000,44900,39100,93400,4011,1127,42050,43450,43500,41600,1900,42944,43500,1450.0,3.45,2143,810,4400,11700,93400,4011,181.0,177.0,4,387900.0,143300.0,244600,-,
15/08/2024,25941887,25941887,41400,44250,38550,24600,1022,1090,41400,42000,42000,41350,650,41545,42000,600.0,1.45,389,294,4200,1900,24600,1022,74.0,90.0,-16,28800.0,26500.0,2300,-,
14/08/2024,25941887,25941887,41350,44200,38500,37000,1529,1074,41350,41400,41550,41200,350,41324,41400,50.0,0.12,783,579,8400,4100,37000,1529,58.0,71.0,-13,45400.0,41100.0,4300,-,
13/08/2024,25941887,25941887,41350,44200,38500,13000,536,1073,42550,41350,42550,41200,1350,41231,41400,,,657,277,10000,1400,13000,536,35.0,52.0,-17,23000.0,14400.0,8600,-,
12/08/2024,25941887,25941887,41300,44150,38450,17300,714,1073,41300,41350,41350,41200,150,41272,41400,50.0,0.12,491,361,9200,3300,17300,714,54.0,57.0,-3,26500.0,20600.0,5900,-,
09/08/2024,25941887,25941887,41800,44700,38900,19900,822,1071,41300,41300,41650,41300,350,41307,41300,-500.0,-1.2,439,528,6900,2800,19900,822,61.0,43.0,18,26800.0,22700.0,4100,-,
08/08/2024,25941887,25941887,41650,44550,38750,25700,1062,1084,41650,41800,41800,41200,600,41323,41800,150.0,0.36,537,509,10800,2300,25700,1062,68.0,55.0,13,36500.0,28000.0,8500,-,
07/08/2024,25941887,25941887,41400,44250,38550,14200,587,1080,41450,41650,41650,41300,350,41338,41700,250.0,0.6,897,388,12700,1700,14200,587,30.0,41.0,-11,26900.0,15900.0,11000,-,
06/08/2024,25941887,25941887,41100,43950,38250,13800,569,1074,41550,41400,41650,41100,550,41232,41400,300.0,0.73,259,391,1200,3400,13800,569,58.0,44.0,14,15000.0,17200.0,-2200,-,
05/08/2024,25941887,25941887,41600,44500,38700,81100,3340,1066,41300,41100,41450,40700,750,41184,41100,-500.0,-1.2,655,953,2700,1800,81100,3340,128.0,87.0,41,83800.0,82900.0,900,-,
02/08/2024,25941887,25941887,41600,44500,38700,29200,1207,1079,41600,41600,41600,41250,350,41336,41600,,,501,673,6400,3100,29200,1207,71.0,48.0,23,35600.0,32300.0,3300,-,
01/08/2024,25941887,25941887,42250,45200,39300,18000,744,1079,42300,41600,42300,41300,1000,41333,41600,-650.0,-1.54,318,289,8700,800,18000,744,84.0,65.0,19,26700.0,18800.0,7900,-,
31/07/2024,25941887,25941887,42550,45500,39600,4100,172,1096,42100,42250,42300,42100,200,41951,42300,-300.0,-0.71,85,182,1500,1000,4100,172,66.0,28.0,38,5600.0,5100.0,500,-,
30/07/2024,25941887,25941887,43550,46550,40550,9800,421,1104,43250,42550,43400,42550,850,42959,42600,-1000.0,-2.3,144,187,1700,1400,9800,421,80.0,60.0,20,11500.0,11200.0,300,-,
29/07/2024,25941887,25941887,44000,47050,40950,7400,321,1130,43800,43550,43800,43000,800,43378,43600,-450.0,-1.02,153,163,1600,2400,7400,321,59.0,60.0,-1,9000.0,9800.0,-800,-,
26/07/2024,25941887,25941887,44450,47550,41350,48700,2164,1141,42900,44000,46000,42900,3100,44435,44000,-450.0,-1.01,569,530,1400,600,48700,2164,88.0,93.0,-5,50100.0,49300.0,800,-,
25/07/2024,25941887,25941887,44900,48000,41800,59100,2583,1153,43850,44450,44700,42700,2000,43706,44500,-450.0,-1.0,660,379,2300,4600,59100,2583,93.0,168.0,-75,61400.0,63700.0,-2300,-,
24/07/2024,25941887,25941887,42100,45000,39200,55300,2335,1165,41700,44900,45000,41500,3500,42224,44900,2800.0,6.65,591,1511,3200,142700,55300,2335,99.0,131.0,-32,58500.0,198000.0,-139500,-,
23/07/2024,22957896,25941887,42000,44900,39100,41900,1763,1092,42100,42100,42300,42000,300,42076,42100,100.0,0.24,601,545,7400,9900,41900,1763,82.0,95.0,-13,49300.0,51800.0,-2500,-,
22/07/2024,22957896,25941887,41800,44700,38900,39500,1652,1090,42200,42000,42200,41700,500,41823,42000,200.0,0.48,483,467,5900,1600,39500,1652,94.0,88.0,6,45400.0,41100.0,4300,-,
19/07/2024,22957896,25941887,41600,44500,38700,18400,765,1084,41800,41800,41800,41400,400,41576,41800,200.0,0.48,378,513,900,1600,18400,765,51.0,39.0,12,19300.0,20000.0,-700,-,
18/07/2024,22957896,25941887,41550,44450,38650,13500,560,1079,41500,41600,41600,41350,250,41481,41600,50.0,0.12,407,636,3600,2400,13500,560,42.0,25.0,17,17100.0,15900.0,1200,-,
17/07/2024,22957896,25941887,41650,44550,38750,99500,4129,1078,41650,41550,41700,41350,350,41497,41600,-100.0,-0.24,2825,2272,13500,5000,99500,4129,40.0,46.0,-6,113000.0,104500.0,8500,-,
16/07/2024,22957896,25941887,41550,44450,38650,8500,353,1080,41550,41650,41850,41400,450,41529,41700,100.0,0.24,290,302,5700,3900,8500,353,49.0,41.0,8,14200.0,12400.0,1800,-,
15/07/2024,22957896,25941887,41800,44700,38900,3600,149,1078,41800,41550,41800,41500,300,41389,41600,-250.0,-0.6,154,183,1800,2800,3600,149,35.0,35.0,-,5400.0,6400.0,-1000,-,
12/07/2024,22957896,25941887,41700,44600,38800,18200,753,1084,41500,41800,41800,41250,550,41374,41800,100.0,0.24,326,404,4000,3600,18200,753,68.0,54.0,14,22200.0,21800.0,400,-,
11/07/2024,22957896,25941887,41600,44500,38700,9900,411,1082,41600,41700,41700,41350,350,41515,41700,100.0,0.24,600,265,12300,700,9900,411,37.0,40.0,-3,22200.0,10600.0,11600,-,
10/07/2024,22957896,25941887,41400,44250,38550,4200,174,1079,41600,41600,41600,41300,300,41429,41600,200.0,0.48,259,147,3300,2100,4200,174,29.0,43.0,-14,7500.0,6300.0,1200,-,
09/07/2024,22957896,25941887,41400,44250,38550,15500,641,1074,41400,41400,41600,41300,300,41355,41400,,,1281,562,28400,2100,15500,641,80.0,53.0,27,102500.0,29800.0,72700,-,
08/07/2024,22957896,25941887,41200,44050,38350,13400,554,1074,41300,41400,41500,41300,200,41343,41400,200.0,0.49,727,593,6600,1700,13400,554,78.0,54.0,24,56700.0,32000.0,24700,-,
05/07/2024,22957896,25941887,41950,44850,39050,21200,877,1069,42150,41200,42150,41200,950,41368,41200,-750.0,-1.79,365,857,4000,4600,21200,877,95.0,65.0,30,34700.0,55700.0,-21000,-,
04/07/2024,22957896,25941887,41800,44700,38900,5200,218,1088,42000,41950,42100,41900,200,41923,42000,150.0,0.36,1290,598,900,12400,5200,218,98.0,53.0,45,126400.0,31700.0,94700,-,
03/07/2024,22957896,25941887,41450,44350,38550,16000,665,1084,41650,41800,41900,41450,450,41563,41800,350.0,0.84,1910,589,1100,10000,16000,665,127.0,64.0,63,242600.0,37700.0,204900,-,
02/07/2024,22957896,25941887,41400,44250,38550,2700,111,1075,41450,41450,41450,41400,50,41111,41500,50.0,0.12,428,574,3700,6300,2700,111,50.0,38.0,12,21400.0,21800.0,-400,-,
01/07/2024,22957896,25941887,41350,44200,38500,12400,512,1074,41450,41400,41500,41300,200,41290,41400,50.0,0.12,556,649,16100,7600,12400,512,55.0,47.0,8,30600.0,30500.0,100,-,
28/06/2024,22957896,25941887,41300,44150,38450,28400,1172,1073,41300,41350,41450,41200,250,41268,41400,50.0,0.12,2033,532,14500,2000,28400,1172,98.0,84.0,14,199200.0,44700.0,154500,-,
27/06/2024,22957896,25941887,41550,44450,38650,4000,165,1071,41600,41300,41600,41300,300,41250,41300,-250.0,-0.6,642,639,8900,5900,4000,165,55.0,49.0,6,35300.0,31300.0,4000,-,
26/06/2024,22957896,25941887,41500,44400,38600,13500,558,1078,41600,41550,41600,41200,400,41333,41600,50.0,0.12,545,910,10800,8300,13500,558,62.0,68.0,-6,33800.0,61900.0,-28100,-,
25/06/2024,22957896,22957896,41500,44400,38600,5800,240,953,41550,41500,41800,41300,500,41379,41500,,,365,710,7000,6100,5800,240,54.0,49.0,5,19700.0,34800.0,-15100,-,
24/06/2024,22957896,22957896,41350,44200,38500,43900,1810,953,41600,41500,41600,41000,600,41230,41500,150.0,0.36,754,640,8100,3100,43900,1810,114.0,99.0,15,86000.0,63400.0,22600,-,
21/06/2024,22957896,22957896,41600,44500,38700,11100,461,949,41950,41350,41950,41350,600,41532,41400,-250.0,-0.6,429,649,6900,1200,11100,461,63.0,61.0,2,27000.0,39600.0,-12600,-,
20/06/2024,22957896,22957896,41900,44800,39000,9700,402,955,42350,41600,42350,41300,1050,41443,41600,-300.0,-0.72,483,694,5200,600,9700,402,84.0,79.0,5,40600.0,54800.0,-14200,-,
19/06/2024,22957896,22957896,41750,44650,38850,17000,712,962,41750,41900,42300,41500,800,41882,41900,150.0,0.36,453,525,6200,4800,17000,712,101.0,102.0,-1,45800.0,53600.0,-7800,-,
18/06/2024,22957896,22957896,40000,42800,37200,56100,2308,958,40200,41750,41750,40200,1550,41141,41800,1750.0,4.38,712,852,6300,3800,56100,2308,183.0,121.0,62,130300.0,103100.0,27200,-,
17/06/2024,22957896,22957896,38600,41300,35900,62000,2461,918,38600,40000,40150,38600,1550,39694,40000,1400.0,3.63,670,840,6200,1700,62000,2461,250.0,136.0,114,167600.0,114200.0,53400,-,
14/06/2024,22957896,22957896,44800,47900,41700,26200,1174,1024,44850,44600,45000,44600,400,44809,38600,-200.0,-0.45,561,994,9000,2600,26200,1174,123.0,93.0,30,69000.0,92400.0,-23400,-,
13/06/2024,22957896,22957896,44000,47050,40950,63900,2837,1029,44100,44800,44800,44100,700,44397,38800,800.0,1.82,777,941,2600,8900,63900,2837,180.0,133.0,47,139800.0,125200.0,14600,-,
12/06/2024,22957896,22957896,44400,47500,41300,44900,1995,1010,43900,44000,44700,43900,800,44432,38100,-400.0,-0.9,702,1049,12100,4900,44900,1995,155.0,94.0,61,108800.0,98600.0,10200,-,
11/06/2024,22957896,22957896,44900,48000,41800,30800,1357,1019,44200,44400,44500,43800,700,44058,38400,-500.0,-1.11,446,425,6700,3600,30800,1357,84.0,81.0,3,37500.0,34400.0,3100,-,
10/06/2024,22957896,22957896,44750,47850,41650,38300,1692,1031,44200,44900,44950,44000,950,44178,38900,150.0,0.34,537,679,6800,7200,38300,1692,84.0,67.0,17,45100.0,45500.0,-400,-,
07/06/2024,22957896,22957896,44800,47900,41700,16500,739,1027,44850,44750,45000,44600,400,44788,38700,-50.0,-0.11,305,572,1500,16700,16500,739,59.0,58.0,1,18000.0,33200.0,-15200,-,
06/06/2024,22957896,22957896,44200,47250,41150,17500,780,1029,44200,44800,44800,44200,600,44571,38800,600.0,1.36,326,402,4000,3400,17500,780,66.0,52.0,14,21500.0,20900.0,600,-,
05/06/2024,22957896,22957896,44200,47250,41150,20700,912,1015,44300,44200,44400,43900,500,44058,38300,,,249,556,3000,2100,20700,912,95.0,41.0,54,23700.0,22800.0,900,-,
04/06/2024,22957896,22957896,43950,47000,40900,24500,1076,1015,44000,44200,44200,43800,400,43918,38300,250.0,0.57,445,669,3100,8300,24500,1076,62.0,49.0,13,27600.0,32800.0,-5200,-,
03/06/2024,22957896,22957896,43800,46850,40750,18200,797,1009,43800,43950,44000,43500,500,43791,38000,150.0,0.34,243,397,5400,6400,18200,797,97.0,62.0,35,23600.0,24600.0,-1000,-,
31/05/2024,22957896,22957896,43250,46250,40250,9500,414,1006,43300,43800,43800,43000,800,43579,37900,550.0,1.27,341,345,3100,6700,9500,414,37.0,47.0,-10,12600.0,16200.0,-3600,-,
30/05/2024,22957896,22957896,43000,46000,40000,3200,138,993,42950,43250,43800,42800,1000,43125,37400,250.0,0.58,440,919,1900,2300,3200,138,55.0,68.0,-13,24200.0,62500.0,-38300,-,
29/05/2024,22957896,22957896,43000,46000,40000,7900,339,987,43050,43000,43350,42700,650,42911,37200,,,823,565,10200,6800,7900,339,99.0,54.0,45,81500.0,30500.0,51000,-,
28/05/2024,22957896,22957896,42800,45750,39850,21000,898,987,42800,43000,43000,42200,800,42762,37200,200.0,0.47,810,785,5800,3400,21000,898,102.0,41.0,61,82600.0,32200.0,50400,-,
27/05/2024,22957896,22957896,43250,46250,40250,12400,530,983,43750,42800,43750,42600,1150,42742,37000,-450.0,-1.04,746,904,11500,7800,12400,530,82.0,48.0,34,61200.0,43400.0,17800,-,
24/05/2024,22957896,22957896,43700,46750,40650,16800,727,993,43400,43250,43850,42700,1150,43274,37400,-450.0,-1.03,516,846,4300,900,16800,727,89.0,71.0,18,45900.0,60100.0,-14200,-,
23/05/2024,22957896,22957896,43800,46850,40750,15200,662,1003,43650,43700,43750,43450,300,43553,37800,-100.0,-0.23,445,544,3400,2800,15200,662,97.0,72.0,25,43200.0,39200.0,4000,-,
22/05/2024,22957896,22957896,43900,46950,40850,4300,188,1006,43850,43800,43900,43650,250,43721,37900,-100.0,-0.23,5695,484,5300,8000,4300,188,79.0,56.0,23,449900.0,27100.0,422800,-,
21/05/2024,22957896,22957896,43800,46850,40750,4800,210,1008,43950,43900,43950,43600,350,43750,38000,100.0,0.23,7165,391,16400,11200,4800,210,92.0,68.0,24,659200.0,26600.0,632600,-,
