Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,21611185,21610785,8000,9200,6800,-,,173,8000,8000,8000,8000,-,8000,8000,,,2120,4380,10600.0,21900,,,5.0,5,-,10600.0,21900,-11300,-,
26/09/2024,21611185,21610785,8500,9700,7300,8000,64.0,173,8400,8000,8400,8000,400,8010,8000,-500.0,-5.88,1525,7043,10300.0,41300,8000.0,64.0,12.0,7,5,18300.0,49300,-31000,-,
25/09/2024,21611185,21610785,8500,9700,7300,-,,184,8500,8500,8500,8500,-,8500,8500,,,2260,5875,11300.0,47000,,,5.0,8,-3,11300.0,47000,-35700,-,
24/09/2024,21611185,21610785,8500,9700,7300,-,,184,8500,8500,8500,8500,-,8500,8500,,,-,6220,,31100,,,,5,-5,,31100,-31100,-,
23/09/2024,21611185,21610785,8200,9400,7000,900,8.0,184,8500,8500,8500,8500,-,8500,8500,300.0,3.66,317,4140,1000.0,40500,900.0,8.0,6.0,10,-4,1900.0,41400,-39500,-,
20/09/2024,21611185,21610785,8400,9600,7200,100,1.0,177,8200,8200,8200,8200,-,8200,8200,-200.0,-2.38,1244,5400,11100.0,53900,100.0,1.0,9.0,10,-1,11200.0,54000,-42800,-,
19/09/2024,21611185,21610785,8200,9400,7000,5000,42.0,182,8400,8400,8400,8400,-,8400,8400,200.0,2.44,3011,6322,22100.0,51900,5000.0,42.0,9.0,9,-,27100.0,56900,-29800,-,
18/09/2024,21611185,21610785,8200,9400,7000,-,,177,8200,8200,8200,8200,-,8200,8200,,,2550,3700,15300.0,11100,,,6.0,3,3,15300.0,11100,4200,-,
17/09/2024,21611185,21610785,8000,9200,6800,2900,24.0,177,8200,8200,8200,8200,-,8200,8200,200.0,2.5,1011,2977,6200.0,35800,2900.0,24.0,9.0,13,-4,9100.0,38700,-29600,-,
16/09/2024,21611185,21610785,8400,9600,7200,100,1.0,173,8000,8000,8000,8000,-,8000,8000,-400.0,-4.76,550,4050,2100.0,32300,100.0,1.0,4.0,8,-4,2200.0,32400,-30200,-,
13/09/2024,21611185,21610785,8400,9600,7200,-,,182,8400,8400,8400,8400,-,8400,8400,,,1440,4300,7200.0,21500,,,5.0,5,-,7200.0,21500,-14300,-,
12/09/2024,21611185,21610785,8400,9600,7200,-,,182,8400,8400,8400,8400,-,8400,8400,,,2550,7788,5100.0,62300,,,2.0,8,-6,5100.0,62300,-57200,-,
11/09/2024,21611185,21610785,8400,9600,7200,-,,182,8400,8400,8400,8400,-,8400,8400,,,333,2400,1000.0,12000,,,3.0,5,-2,1000.0,12000,-11000,-,
10/09/2024,21611185,21610785,8200,9400,7000,700,6.0,173,8500,8000,8500,8000,500,8429,8000,-200.0,-2.44,675,4000,2000.0,31300,700.0,6.0,4.0,8,-4,2700.0,32000,-29300,-,
09/09/2024,21611185,21610785,8200,9400,7000,-,,177,8200,8200,8200,8200,-,8200,8200,,,740,3300,3700.0,29700,,,5.0,9,-4,3700.0,29700,-26000,-,
06/09/2024,21611185,21610785,8100,9300,6900,3000,25.0,177,8200,8200,8200,8200,-,8200,8200,100.0,1.23,2210,3163,19100.0,22300,3000.0,25.0,10.0,8,2,22100.0,25300,-3200,-,
05/09/2024,21611185,21610785,8000,9200,6800,5000,41.0,175,8100,8100,8200,8100,100,8120,8100,100.0,1.25,750,2325,4000.0,32200,5000.0,41.0,12.0,16,-4,9000.0,37200,-28200,-,
04/09/2024,21611185,21610785,8100,9300,6900,1000,8.0,173,8000,8000,8000,8000,-,8000,8000,-100.0,-1.23,510,4563,4100.0,35500,1000.0,8.0,10.0,8,2,5100.0,36500,-31400,-,
30/08/2024,21611185,21610785,8000,9200,6800,698334,4751.0,175,8100,8100,8100,8100,-,8100,8100,100.0,1.25,811,5263,5800.0,40600,1500.0,12.0,9.0,8,1,7300.0,42100,-34800,696834,4738.0
29/08/2024,21611185,21610785,8400,9600,7200,4000,32.0,173,8000,8000,8100,8000,100,8008,8000,-400.0,-4.76,1917,5136,19000.0,52500,4000.0,32.0,12.0,11,1,23000.0,56500,-33500,-,
28/08/2024,21611185,21610785,8400,9600,7200,-,,182,8400,8400,8400,8400,-,8400,8400,,,1292,4420,15500.0,44200,,,12.0,10,2,15500.0,44200,-28700,-,
27/08/2024,21611185,21610785,8100,9300,6900,100,1.0,182,8400,8400,8400,8400,-,8400,8400,300.0,3.7,992,4200,11800.0,37700,100.0,1.0,12.0,9,3,11900.0,37800,-25900,-,
26/08/2024,21611185,21610785,8000,9200,6800,2300,19.0,175,8200,8100,8200,8100,100,8143,8100,100.0,1.25,927,4100,7900.0,38700,2300.0,19.0,11.0,10,1,10200.0,41000,-30800,-,
23/08/2024,21611185,21610785,8000,9200,6800,8200,66.0,177,8000,8200,8200,7900,300,8009,8200,200.0,2.5,913,4146,13700.0,45700,8200.0,66.0,24.0,13,11,21900.0,53900,-32000,-,
22/08/2024,21611185,21610785,8000,9200,6800,-,,173,8000,8000,8000,8000,-,8000,8000,,,1050,3938,8400.0,31500,,,8.0,8,-,8400.0,31500,-23100,-,
21/08/2024,21611185,21610785,8000,9200,6800,-,,173,8000,8000,8000,8000,-,8000,8000,,,633,3967,5700.0,35700,,,9.0,9,-,5700.0,35700,-30000,-,
20/08/2024,21611185,21610785,8200,9400,7000,1700,14.0,173,8000,8000,8000,8000,-,8000,8000,-200.0,-2.44,1225,2569,13000.0,31700,1700.0,14.0,12.0,13,-1,14700.0,33400,-18700,-,
19/08/2024,21611185,21610785,8200,9400,7000,15301,125.0,182,8200,8400,8400,8000,400,8201,8400,200.0,2.44,2307,4385,19299.0,41699,15301.0,125.0,15.0,13,2,34600.0,57000,-22400,-,
16/08/2024,21611185,21610785,8500,9700,7300,300,2.0,175,8400,8100,8400,8100,300,8233,8100,-400.0,-4.71,1700,5567,18400.0,66500,300.0,2.0,11.0,12,-1,18700.0,66800,-48100,-,
15/08/2024,21611185,21610785,8500,9700,7300,-,,184,8500,8500,8500,8500,-,8500,8500,,,1475,1590,17700.0,15900,,,12.0,10,2,17700.0,15900,1800,-,
14/08/2024,21611185,21610785,8000,9200,6800,18200,154.0,194,8000,9000,9000,8000,1000,8476,9000,1000.0,12.5,992,2677,6600.0,16600,18200.0,154.0,25.0,13,12,24800.0,34800,-10000,-,
13/08/2024,21611185,21610785,8000,9200,6800,-,,173,8000,8000,8000,8000,-,8000,8000,,,1229,3189,8600.0,28700,,,7.0,9,-2,8600.0,28700,-20100,-,
12/08/2024,21611185,21610785,8000,9200,6800,10000,80.0,173,8000,8000,8000,8000,-,8000,8000,,,1683,4170,10200.0,31700,10000.0,80.0,12.0,10,2,20200.0,41700,-21500,-,
09/08/2024,21611185,21610785,8700,10000,7400,100,1.0,173,8000,8000,8000,8000,-,8000,8000,-700.0,-8.05,883,2556,5200.0,22900,100.0,1.0,6.0,9,-3,5300.0,23000,-17700,-,
08/08/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,75,3980,300.0,19900,,,4.0,5,-1,300.0,19900,-19600,-,
07/08/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,8000,5113,8000.0,40900,,,1.0,8,-7,8000.0,40900,-32900,-,
06/08/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,1000,3278,1000.0,29500,,,1.0,9,-8,1000.0,29500,-28500,-,
05/08/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,4000,3317,4000.0,19900,,,1.0,6,-5,4000.0,19900,-15900,-,
02/08/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,-,2833,,8500,,,,3,-3,,8500,-8500,-,
01/08/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,2050,3000,4100.0,24000,,,2.0,8,-6,4100.0,24000,-19900,-,
31/07/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,729,2767,5100.0,24900,,,7.0,9,-2,5100.0,24900,-19800,-,
30/07/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,4050,2629,8100.0,18400,,,2.0,7,-5,8100.0,18400,-10300,-,
29/07/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,1125,3938,4500.0,31500,,,4.0,8,-4,4500.0,31500,-27000,-,
26/07/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,3000,2925,6000.0,23400,,,2.0,8,-6,6000.0,23400,-17400,-,
25/07/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,1200,2100,6000.0,18900,,,5.0,9,-4,6000.0,18900,-12900,-,
24/07/2024,21611185,21610785,8700,10000,7400,-,,188,8700,8700,8700,8700,-,8700,8700,,,2367,1817,7100.0,10900,,,3.0,6,-3,7100.0,10900,-3800,-,
23/07/2024,21611185,21610785,8800,10100,7500,6000,52.0,188,8700,8700,8700,8700,-,8700,8700,-100.0,-1.14,2900,2143,5600.0,9000,6000.0,52.0,4.0,7,-3,11600.0,15000,-3400,-,
22/07/2024,21611185,21610785,8800,10100,7500,-,,190,8800,8800,8800,8800,-,8800,8800,,,1000,2625,2000.0,10500,,,2.0,4,-2,2000.0,10500,-8500,-,
19/07/2024,21611185,21610785,8800,10100,7500,-,,190,8800,8800,8800,8800,-,8800,8800,,,100,3167,100.0,19000,,,1.0,6,-5,100.0,19000,-18900,-,
18/07/2024,21611185,21610785,7800,8900,6700,100,1.0,190,8800,8800,8800,8800,-,8800,8800,1000.0,12.82,925,2017,3600.0,12000,100.0,1.0,4.0,6,-2,3700.0,12100,-8400,-,
17/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1025,1780,4100.0,8900,,,4.0,5,-1,4100.0,8900,-4800,-,
16/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1750,1975,3500.0,7900,,,2.0,4,-2,3500.0,7900,-4400,-,
15/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,2167,4150,6500.0,16600,,,3.0,4,-1,6500.0,16600,-10100,-,
12/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1300,2720,6500.0,13600,,,5.0,5,-,6500.0,13600,-7100,-,
11/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1620,3600,8100.0,14400,,,5.0,4,1,8100.0,14400,-6300,-,
10/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1157,571,8100.0,4000,,,7.0,7,-,8100.0,4000,4100,-,
09/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1371,4533,9600.0,13600,,,7.0,3,4,9600.0,13600,-4000,-,
08/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1117,1333,6700.0,4000,,,6.0,3,3,6700.0,4000,2700,-,
05/07/2024,21611185,21610785,7800,8900,6700,100,1.0,169,7800,7800,7800,7800,-,7800,7800,,,613,1750,4800.0,6900,100.0,1.0,8.0,4,4,4900.0,7000,-2100,-,
04/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,725,2800,5800.0,8400,,,8.0,3,5,5800.0,8400,-2600,-,
03/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1089,1533,9800.0,4600,,,9.0,3,6,9800.0,4600,5200,-,
02/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,760,3125,3800.0,12500,,,5.0,4,1,3800.0,12500,-8700,-,
01/07/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1300,2750,5200.0,11000,,,4.0,4,-,5200.0,11000,-5800,-,
28/06/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1240,1967,6200.0,5900,,,5.0,3,2,6200.0,5900,300,-,
27/06/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,2000,1100,4000.0,4400,,,2.0,4,-2,4000.0,4400,-400,-,
26/06/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,2000,1100,4000.0,4400,,,2.0,4,-2,4000.0,4400,-400,-,
25/06/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,2333,2240,7000.0,11200,,,3.0,5,-2,7000.0,11200,-4200,-,
24/06/2024,21611185,21610785,7800,8900,6700,-,,169,7800,7800,7800,7800,-,7800,7800,,,1625,2740,6500.0,13700,,,4.0,5,-1,6500.0,13700,-7200,-,
21/06/2024,21611185,21610785,7600,8700,6500,600,5.0,188,7600,8700,8700,7600,1100,7783,8700,1100.0,14.47,1600,367,9000.0,500,600.0,5.0,6.0,3,3,9600.0,1100,8500,-,
20/06/2024,21611185,21610785,8100,9300,6900,100,1.0,164,7600,7600,7600,7600,-,7600,7600,-500.0,-6.17,1025,1475,4000.0,5800,100.0,1.0,4.0,4,-,4100.0,5900,-1800,-,
19/06/2024,21611185,21610785,8100,9300,6900,-,,175,8100,8100,8100,8100,-,8100,8100,,,2083,3440,12500.0,17200,,,6.0,5,1,12500.0,17200,-4700,-,
18/06/2024,21611185,21610785,8000,9200,6800,9600,78.0,175,8200,8100,8200,8100,100,8144,8100,100.0,1.25,2840,3100,4600.0,5900,9600.0,78.0,5.0,5,-,14200.0,15500,-1300,-,
17/06/2024,21611185,21610785,8300,9500,7100,6200,50.0,173,8000,8000,8000,8000,-,8000,8000,-300.0,-3.61,1489,1683,7200.0,3900,6200.0,50.0,9.0,6,3,13400.0,10100,3300,-,
14/06/2024,21611185,21610785,8400,9600,7200,400,3.0,182,8000,8400,8400,8000,400,8300,8400,,,1214,1463,8100.0,11300,400.0,3.0,7.0,8,-1,8500.0,11700,-3200,-,
13/06/2024,21611185,21610785,8400,9600,7200,-,,182,8400,8400,8400,8400,-,8400,8400,,,520,2883,2600.0,17300,,,5.0,6,-1,2600.0,17300,-14700,-,
12/06/2024,21611185,21610785,8400,9600,7200,100,1.0,182,8400,8400,8400,8400,-,8400,8400,,,2027,1830,22200.0,18200,100.0,1.0,11.0,10,1,22300.0,18300,4000,-,
