Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,184000000,183988900,7200,8200,6200,1038200,7351,1306,7300,7100,7300,6900,400,7075,7100,-100.0,-1.39,2941,4227,269100,382300.0,260200,1841,180,152,28,529300,642500,-113200,778000,5510.0
26/09/2024,184000000,183988900,7000,8000,6000,1309759,9319,1343,7000,7300,7300,6900,400,7191,7300,300.0,4.29,3564,5836,314141,308941.0,519759,3738,234,142,92,833900,828700,5200,790000,5581.0
25/09/2024,184000000,183988900,6700,7700,5700,905942,6353,1325,6700,7200,7500,6700,800,7012,7200,500.0,7.46,4275,4720,440558,377958.0,905942,6353,315,272,43,1346500,1283900,62600,-,
24/09/2024,184000000,183988900,6800,7800,5800,1033578,6995,1251,6900,6800,6900,6700,200,6718,6800,,,4908,4945,193622,448922.0,223578,1502,85,136,-51,417200,672500,-255300,810000,5493.0
23/09/2024,184000000,183988900,6800,7800,5800,319328,2172,1270,6800,6900,6900,6700,200,6801,6900,100.0,1.47,4310,5973,327172,576572.0,319328,2172,150,150,-,646500,895900,-249400,-,
20/09/2024,184000000,183988900,6800,7800,5800,1179100,8024,1270,7000,6900,7000,6600,400,6777,6900,100.0,1.47,4320,5061,325100,410400.0,379100,2569,163,156,7,704200,789500,-85300,800000,5455.0
19/09/2024,184000000,183988900,6800,7800,5800,354810,2413,1270,6800,6900,6900,6700,200,6800,6900,100.0,1.47,4233,5221,377490,313490.0,354810,2413,173,128,45,732300,668300,64000,-,
18/09/2024,184000000,183988900,6700,7700,5700,1176461,7918,1251,6900,6800,6900,6700,200,6768,6800,100.0,1.49,3312,4447,285939,378439.0,386461,2616,203,172,31,672400,764900,-92500,790000,5302.0
17/09/2024,184000000,183988900,6600,7500,5700,401519,2689,1270,6600,6900,6900,6500,400,6697,6900,300.0,4.55,4016,3814,405781,178181.0,401519,2689,201,152,49,807300,579700,227600,-,
16/09/2024,184000000,183988900,6600,7500,5700,764611,4805,1214,6600,6600,6800,6500,300,6597,6600,,,3728,4957,298989,368989.0,364611,2405,178,148,30,663600,733600,-70000,400000,2400.0
13/09/2024,184000000,183988900,6500,7400,5600,282172,1860,1233,6500,6700,6700,6400,300,6592,6700,200.0,3.08,4325,3874,401228,279528.0,282172,1860,158,145,13,683400,561700,121700,-,
12/09/2024,184000000,183988900,6700,7700,5700,274113,1793,1233,6700,6700,6700,6400,300,6543,6700,,,4390,6168,305387,546187.0,274113,1793,132,133,-1,579500,820300,-240800,-,
11/09/2024,184000000,183988900,6700,7700,5700,270138,1807,1233,6900,6700,6900,6600,300,6690,6700,,,3079,4686,293262,512462.0,270138,1807,183,167,16,563400,782600,-219200,-,
10/09/2024,184000000,183988900,6700,7700,5700,373848,2516,1233,6700,6700,6900,6600,300,6730,6700,,,4518,4719,466552,536952.0,373848,2516,186,193,-7,840400,910800,-70400,-,
09/09/2024,184000000,183988900,6300,7200,5400,540312,3621,1233,6400,6700,7000,6400,600,6702,6700,400.0,6.35,3554,4079,305488,377488.0,540312,3621,238,225,13,845800,917800,-72000,-,
06/09/2024,184000000,183988900,6300,7200,5400,252050,1589,1178,6300,6400,6400,6200,200,6303,6400,100.0,1.59,4502,6123,274650,305150.0,252050,1589,117,91,26,526700,557200,-30500,-,
