Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,100,2050,100.0,5900.0,,,1.0,8.0,-7,100.0,16400.0,-16300,-,
26/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,550,2186,1100.0,14900.0,,,2.0,7.0,-5,1100.0,15300.0,-14200,-,
25/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,1000,2038,1000.0,5400.0,,,1.0,8.0,-7,1000.0,16300.0,-15300,-,
24/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,2329,,1500.0,,,,7.0,-7,,16300.0,-16300,-,
23/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,629,,3100.0,,,,7.0,-7,,4400.0,-4400,-,
20/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,629,,3600.0,,,,7.0,-7,,4400.0,-4400,-,
19/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,617,,2900.0,,,,6.0,-6,,3700.0,-3700,-,
18/09/2024,30000000,30000000,35500,37950,33050,300,10.0,1065,35500,35500,35500,35500,-,33333.0,35500,,,150,340,,1400.0,300.0,10.0,2.0,5.0,-3,300.0,1700.0,-1400,-,
17/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,300,,1100.0,,,,5.0,-5,,1500.0,-1500,-,
16/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,333,,1000.0,,,,3.0,-3,,1000.0,-1000,-,
13/09/2024,30000000,30000000,35500,37950,33050,-,,1065,35500,35500,35500,35500,-,,35500,,,-,375,,1500.0,,,1.0,4.0,-3,,1500.0,-1500,-,
12/09/2024,30000000,30000000,35500,37950,33050,700,24.0,1065,35500,35500,35500,35500,-,34286.0,35500,,,700,400,,1300.0,700.0,24.0,1.0,5.0,-4,700.0,2000.0,-1300,-,
11/09/2024,30000000,30000000,35500,37950,33050,100,3.0,1065,35500,35500,35500,35500,-,30000.0,35500,,,100,400,,2300.0,100.0,3.0,1.0,6.0,-5,100.0,2400.0,-2300,-,
