Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8600000,8600000,17100,18800,15400,200,3.0,147,17100,17100,17100,17100,-,17100,17100,,,283,433,1500.0,1100.0,200.0,3.0,6.0,3.0,3,1700.0,1300.0,400,-,
26/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,214,180,1500.0,900.0,,,7.0,5.0,2,1500.0,900.0,600,-,
25/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,250,280,1500.0,1400.0,,,6.0,5.0,1,1500.0,1400.0,100,-,
24/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,200,400,1200.0,1200.0,,,6.0,3.0,3,1200.0,1200.0,-,-,
23/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,250,200,1500.0,1000.0,,,6.0,5.0,1,1500.0,1000.0,500,-,
20/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,240,300,1200.0,1500.0,,,5.0,5.0,-,1200.0,1500.0,-300,-,
19/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,167,325,500.0,1300.0,,,3.0,4.0,-1,500.0,1300.0,-800,-,
18/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,167,280,500.0,1400.0,,,3.0,5.0,-2,500.0,1400.0,-900,-,
17/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,200,400,400.0,1200.0,,,2.0,3.0,-1,400.0,1200.0,-800,-,
16/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,150,400,600.0,1200.0,,,4.0,3.0,1,600.0,1200.0,-600,-,
13/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,175,325,700.0,1300.0,,,4.0,4.0,-,700.0,1300.0,-600,-,
12/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,160,400,800.0,1200.0,,,5.0,3.0,2,800.0,1200.0,-400,-,
11/09/2024,8600000,8600000,17100,18800,15400,-,,147,17100,17100,17100,17100,-,17100,17100,,,133,325,400.0,1300.0,,,3.0,4.0,-1,400.0,1300.0,-900,-,
10/09/2024,8600000,8600000,15600,17100,14100,100,2.0,147,17100,17100,17100,17100,-,17100,17100,1500.0,9.62,222,100,1900.0,,100.0,2.0,9.0,1.0,8,2000.0,100.0,1900,-,
09/09/2024,8600000,8600000,15600,17100,14100,-,,134,15600,15600,15600,15600,-,15600,15600,,,243,100,1700.0,100.0,,,7.0,1.0,6,1700.0,100.0,1600,-,
06/09/2024,8600000,8600000,15600,17100,14100,-,,134,15600,15600,15600,15600,-,15600,15600,,,271,100,1900.0,100.0,,,7.0,1.0,6,1900.0,100.0,1800,-,
05/09/2024,8600000,8600000,15600,17100,14100,-,,134,15600,15600,15600,15600,-,15600,15600,,,267,100,1600.0,100.0,,,6.0,1.0,5,1600.0,100.0,1500,-,
04/09/2024,8600000,8600000,15600,17100,14100,-,,134,15600,15600,15600,15600,-,15600,15600,,,280,100,1400.0,100.0,,,5.0,1.0,4,1400.0,100.0,1300,-,
30/08/2024,8600000,8600000,15600,17100,14100,1,0.0,134,15600,15600,15600,15600,-,15600,15600,,,243,100,1699.0,99.0,1.0,0.0,7.0,1.0,6,1700.0,100.0,1600,-,
29/08/2024,8600000,8600000,15600,17100,14100,-,,134,15600,15600,15600,15600,-,15600,15600,,,283,100,1700.0,100.0,,,6.0,1.0,5,1700.0,100.0,1600,-,
28/08/2024,8600000,8600000,15600,17100,14100,-,,134,15600,15600,15600,15600,-,15600,15600,,,271,-,1900.0,,,,7.0,,7,1900.0,,1900,-,
27/08/2024,8600000,8600000,16700,18300,15100,1506,27.0,134,16700,15600,18300,15600,2700,18000,15600,-1100.0,-6.59,325,325,1094.0,1094.0,1506.0,27.0,8.0,8.0,-,2600.0,2600.0,-,-,
26/08/2024,8600000,8600000,16700,18300,15100,-,,144,16700,16700,16700,16700,-,16700,16700,,,200,280,1000.0,1400.0,,,5.0,5.0,-,1000.0,1400.0,-400,-,
23/08/2024,8600000,8600000,16700,18300,15100,-,,144,16700,16700,16700,16700,-,16700,16700,,,250,325,1000.0,1300.0,,,4.0,4.0,-,1000.0,1300.0,-300,-,
22/08/2024,8600000,8600000,16700,18300,15100,60,1.0,144,16700,16700,16700,16700,-,16700,16700,,,275,233,1040.0,1340.0,60.0,1.0,4.0,6.0,-2,1100.0,1400.0,-300,-,
21/08/2024,8600000,8600000,16700,18300,15100,-,,144,16700,16700,16700,16700,-,16700,16700,,,267,250,800.0,1000.0,,,3.0,4.0,-1,800.0,1000.0,-200,-,
20/08/2024,8600000,8600000,16700,18300,15100,200,3.0,144,16700,16700,16700,16700,-,16700,16700,,,300,200,700.0,400.0,200.0,3.0,3.0,3.0,-,900.0,600.0,300,-,
19/08/2024,8600000,8600000,16700,18300,15100,-,,144,16700,16700,16700,16700,-,16700,16700,,,300,333,900.0,1000.0,,,3.0,3.0,-,900.0,1000.0,-100,-,
16/08/2024,8600000,8600000,15200,16700,13700,103,2.0,144,16700,16700,16700,16700,-,16700,16700,1500.0,9.87,350,100,3397.0,,103.0,2.0,10.0,1.0,9,3500.0,100.0,3400,-,
15/08/2024,8600000,8600000,15200,16700,13700,-,,131,15200,15200,15200,15200,-,15200,15200,,,314,100,2200.0,100.0,,,7.0,1.0,6,2200.0,100.0,2100,-,
14/08/2024,8600000,8600000,15200,16700,13700,15,0.0,131,15200,15200,15200,15200,-,15200,15200,,,350,100,2085.0,85.0,15.0,0.0,6.0,1.0,5,2100.0,100.0,2000,-,
13/08/2024,8600000,8600000,15200,16700,13700,-,,131,15200,15200,15200,15200,-,15200,15200,,,383,-,2300.0,,,,6.0,,6,2300.0,,2300,-,
12/08/2024,8600000,8600000,15200,16700,13700,-,,131,15200,15200,15200,15200,-,15200,15200,,,380,100,1900.0,100.0,,,5.0,1.0,4,1900.0,100.0,1800,-,
09/08/2024,8600000,8600000,15200,16700,13700,1,0.0,131,15200,15200,15200,15200,-,15200,15200,,,333,-,1999.0,,1.0,0.0,6.0,,6,2000.0,,2000,-,
08/08/2024,8600000,8600000,15200,16700,13700,-,,131,15200,15200,15200,15200,-,15200,15200,,,425,-,1700.0,,,,4.0,,4,1700.0,,1700,-,
07/08/2024,8600000,8600000,15200,16700,13700,-,,131,15200,15200,15200,15200,-,15200,15200,,,257,-,1800.0,,,,7.0,,7,1800.0,,1800,-,
06/08/2024,8600000,8600000,16500,18100,14900,1743,31.0,131,18100,15200,18100,15200,2900,17929,15200,-1300.0,-7.88,300,440,357.0,457.0,1743.0,31.0,7.0,5.0,2,2100.0,2200.0,-100,-,
05/08/2024,8600000,8600000,16000,17600,14400,220,4.0,142,17000,16500,17000,16500,500,16750,16500,500.0,3.13,325,233,1080.0,480.0,220.0,4.0,4.0,3.0,1,1300.0,700.0,600,-,
02/08/2024,8600000,8600000,15900,17400,14400,26300,457.0,138,17400,16000,17400,16000,1400,17395,16000,100.0,0.63,4667,6575,1700.0,,26300.0,457.0,6.0,4.0,2,28000.0,26300.0,1700,-,
01/08/2024,8600000,8600000,15900,17400,14400,1,0.0,137,15900,15900,15900,15900,-,15900,15900,,,567,100,1699.0,99.0,1.0,0.0,3.0,1.0,2,1700.0,100.0,1600,-,
31/07/2024,8600000,8600000,15700,17200,14200,300,5.0,137,15900,15900,15900,15900,-,15900,15900,200.0,1.27,343,200,2100.0,100.0,300.0,5.0,7.0,2.0,5,2400.0,400.0,2000,-,
30/07/2024,8600000,8600000,16300,17900,14700,1080,19.0,135,17900,15700,17900,15700,2200,17680,15700,-600.0,-3.68,273,283,1920.0,620.0,1080.0,19.0,11.0,6.0,5,3000.0,1700.0,1300,-,
29/07/2024,8600000,8600000,16300,17900,14700,-,,140,16300,16300,16300,16300,-,16300,16300,,,433,160,1300.0,800.0,,,3.0,5.0,-2,1300.0,800.0,500,-,
26/07/2024,8600000,8600000,16300,17900,14700,500,8.0,140,16300,16300,16300,16300,-,16300,16300,,,288,160,1800.0,300.0,500.0,8.0,8.0,5.0,3,2300.0,800.0,1500,-,
25/07/2024,8600000,8600000,18100,19900,16300,100,2.0,140,16300,16300,16300,16300,-,16300,16300,-1800.0,-9.94,100,300,100.0,2600.0,100.0,2.0,2.0,9.0,-7,200.0,2700.0,-2500,-,
24/07/2024,8600000,8600000,18100,19900,16300,-,,156,18100,18100,18100,18100,-,18100,18100,,,100,350,100.0,2800.0,,,1.0,8.0,-7,100.0,2800.0,-2700,-,
23/07/2024,8600000,8600000,18100,19900,16300,-,,156,18100,18100,18100,18100,-,18100,18100,,,100,356,100.0,3200.0,,,1.0,9.0,-8,100.0,3200.0,-3100,-,
22/07/2024,8600000,8600000,18100,19900,16300,-,,156,18100,18100,18100,18100,-,18100,18100,,,100,325,100.0,2600.0,,,1.0,8.0,-7,100.0,2600.0,-2500,-,
19/07/2024,8600000,8600000,18100,19900,16300,-,,156,18100,18100,18100,18100,-,18100,18100,,,75,329,300.0,2300.0,,,4.0,7.0,-3,300.0,2300.0,-2000,-,
