Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,77741356,77741356,5500,5880,5120,80900,444,428,5510,5500,5520,5460,60,5488,5500,,,2042,2159,1500,17500.0,80900,444,85.0,128.0,-43,173600.0,276400.0,-102800,-,
26/09/2024,77741356,77741356,5490,5870,5110,149100,820,428,5520,5500,5550,5450,100,5500,5500,10.0,0.18,2196,2385,21800,16600.0,149100,820,113.0,171.0,-58,248100.0,407800.0,-159700,-,
25/09/2024,77741356,77741356,5450,5830,5070,162400,891,427,5450,5490,5510,5450,60,5486,5500,40.0,0.73,2392,2426,42200,28400.0,162400,891,102.0,192.0,-90,244000.0,465800.0,-221800,-,
24/09/2024,77741356,77741356,5400,5770,5030,116500,632,424,5400,5450,5500,5320,180,5425,5500,50.0,0.93,2262,2568,14600,9700.0,116500,632,85.0,150.0,-65,192300.0,385200.0,-192900,-,
23/09/2024,77741356,77741356,5490,5870,5110,1039900,5634,420,5470,5400,5490,5360,130,5418,5400,-90.0,-1.64,12783,7058,4700,2800.0,1039900,5634,89.0,171.0,-82,1137700.0,1207000.0,-69300,-,
20/09/2024,77741356,77741356,5510,5890,5130,132600,729,427,5520,5490,5530,5450,80,5498,5500,-20.0,-0.36,1783,2242,28200,28700.0,132600,729,118.0,184.0,-66,210400.0,412500.0,-202100,-,
19/09/2024,77741356,77741356,5530,5910,5150,154500,854,428,5540,5510,5550,5510,40,5528,5500,-20.0,-0.36,1696,1974,22100,59600.0,154500,854,182.0,224.0,-42,308600.0,442200.0,-133600,-,
18/09/2024,77741356,77741356,5420,5790,5050,424600,2351,430,5450,5530,5600,5400,200,5537,5500,110.0,2.03,3185,2476,55300,2200.0,424600,2351,254.0,321.0,-67,808900.0,794800.0,14100,-,
17/09/2024,77741356,77741356,5400,5770,5030,118000,639,421,5400,5420,5450,5400,50,5415,5400,20.0,0.37,2869,2597,16200,46400.0,118000,639,64.0,142.0,-78,183600.0,368800.0,-185200,-,
