Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3000000,3000000,4600,5200,4000,9,0.0,14,4600,4600,4600,4600,-,4600,4600,,,100,1667,91.0,4991.0,9.0,0.0,1.0,3.0,-2,100.0,5000.0,-4900,-,
26/09/2024,3000000,3000000,4000,4600,3400,200,1.0,14,4600,4600,4600,4600,-,4600,4600,600.0,15.0,273,250,2800.0,300.0,200.0,1.0,11.0,2.0,9,3000.0,500.0,2500,-,
25/09/2024,3000000,3000000,4100,4700,3500,300,1.0,11,4700,3700,4700,3700,1000,4033,3700,-400.0,-9.76,206,920,3000.0,4300.0,300.0,1.0,16.0,5.0,11,3300.0,4600.0,-1300,-,
24/09/2024,3000000,3000000,4100,4700,3500,-,,12,4100,4100,4100,4100,-,4100,4100,,,1033,1800,3100.0,3600.0,,,3.0,2.0,1,3100.0,3600.0,-500,-,
23/09/2024,3000000,3000000,4800,5500,4100,108,0.0,12,4100,4100,4100,4100,-,4100,4100,-700.0,-14.58,120,2433,492.0,14492.0,108.0,0.0,5.0,6.0,-1,600.0,14600.0,-14000,-,
20/09/2024,3000000,3000000,4500,5100,3900,100,0.0,14,4800,4800,4800,4800,-,4800,4800,300.0,6.67,100,1600,100.0,3100.0,100.0,0.0,2.0,2.0,-,200.0,3200.0,-3000,-,
19/09/2024,3000000,3000000,4300,4900,3700,200,1.0,14,4500,4500,4500,4500,-,4500,4500,200.0,4.65,360,950,1600.0,3600.0,200.0,1.0,5.0,4.0,1,1800.0,3800.0,-2000,-,
18/09/2024,3000000,3000000,4300,4900,3700,-,,13,4300,4300,4300,4300,-,4300,4300,,,375,1267,1500.0,3800.0,,,4.0,3.0,1,1500.0,3800.0,-2300,-,
17/09/2024,3000000,3000000,4400,5000,3800,150,1.0,13,4300,4300,4300,4300,-,4300,4300,-100.0,-2.27,160,2780,650.0,13750.0,150.0,1.0,5.0,5.0,-,800.0,13900.0,-13100,-,
16/09/2024,3000000,3000000,4000,4600,3400,100,0.0,13,4400,4400,4400,4400,-,4400,4400,400.0,10.0,267,100,2300.0,300.0,100.0,0.0,9.0,4.0,5,2400.0,400.0,2000,-,
13/09/2024,3000000,3000000,4000,4600,3400,-,,12,4000,4000,4000,4000,-,4000,4000,,,567,200,1700.0,200.0,,,3.0,1.0,2,1700.0,200.0,1500,-,
12/09/2024,3000000,3000000,4000,4600,3400,-,,12,4000,4000,4000,4000,-,4000,4000,,,550,-,2200.0,,,,4.0,,4,2200.0,,2200,-,
11/09/2024,3000000,3000000,3500,4000,3000,300,1.0,12,4000,4000,4000,4000,-,4000,4000,500.0,14.29,433,100,3600.0,,300.0,1.0,9.0,3.0,6,3900.0,300.0,3600,-,
10/09/2024,3000000,3000000,3500,4000,3000,-,,11,3500,3500,3500,3500,-,3500,3500,,,388,-,3100.0,,,,8.0,,8,3100.0,,3100,-,
09/09/2024,3000000,3000000,4100,4700,3500,100,0.0,11,3500,3500,3500,3500,-,3500,3500,-600.0,-14.63,953,1200,14200.0,3500.0,100.0,0.0,15.0,3.0,12,14300.0,3600.0,10700,-,
06/09/2024,3000000,3000000,4600,5200,4000,103,0.0,12,4100,4100,4100,4100,-,4100,4100,-500.0,-10.87,433,1750,1197.0,3397.0,103.0,0.0,3.0,2.0,1,1300.0,3500.0,-2200,-,
05/09/2024,3000000,3000000,4600,5200,4000,-,,14,4600,4600,4600,4600,-,4600,4600,,,75,975,300.0,3900.0,,,4.0,4.0,-,300.0,3900.0,-3600,-,
04/09/2024,3000000,3000000,5300,6000,4600,200,1.0,14,4600,4600,4600,4600,-,4600,4600,-700.0,-13.21,150,640,100.0,3000.0,200.0,1.0,2.0,5.0,-3,300.0,3200.0,-2900,-,
30/08/2024,3000000,3000000,5200,5900,4500,100,1.0,16,5300,5300,5300,5300,-,5300,5300,100.0,1.92,67,620,100.0,3000.0,100.0,1.0,3.0,5.0,-2,200.0,3100.0,-2900,-,
29/08/2024,3000000,3000000,4800,5500,4100,100,1.0,16,5200,5200,5200,5200,-,5200,5200,400.0,8.33,229,940,1500.0,4600.0,100.0,1.0,7.0,5.0,2,1600.0,4700.0,-3100,-,
28/08/2024,3000000,3000000,5200,5900,4500,1504,7.0,14,5300,4600,5300,4500,800,4753,4600,-600.0,-11.54,200,508,1096.0,5096.0,1504.0,7.0,13.0,13.0,-,2600.0,6600.0,-4000,-,
27/08/2024,3000000,3000000,5300,6000,4600,396,2.0,15,5400,5000,5400,5000,400,5200,5000,-300.0,-5.66,171,686,804.0,4404.0,396.0,2.0,7.0,7.0,-,1200.0,4800.0,-3600,-,
26/08/2024,3000000,3000000,4700,5400,4000,400,2.0,16,5400,5200,5400,5200,200,5250,5200,500.0,10.64,200,611,2200.0,5100.0,400.0,2.0,13.0,9.0,4,2600.0,5500.0,-2900,-,
23/08/2024,3000000,3000000,4800,5500,4100,532,3.0,14,4200,4500,5400,4200,1200,4700,4500,-300.0,-6.25,265,657,3968.0,4068.0,532.0,3.0,17.0,7.0,10,4500.0,4600.0,-100,-,
22/08/2024,3000000,3000000,4400,5000,3800,4400,21.0,14,3800,4800,4800,3800,1000,4773,4800,400.0,9.09,250,933,3100.0,4000.0,4400.0,21.0,30.0,9.0,21,7500.0,8400.0,-900,-,
21/08/2024,3000000,3000000,4300,4900,3700,500,2.0,13,4400,4300,4400,4300,100,4360,4300,,,231,1129,2500.0,7400.0,500.0,2.0,13.0,7.0,6,3000.0,7900.0,-4900,-,
20/08/2024,3000000,3000000,4200,4800,3600,1500,7.0,12,4000,4100,4400,4000,400,4340,4100,-100.0,-2.38,290,267,4300.0,900.0,1500.0,7.0,20.0,9.0,11,5800.0,2400.0,3400,-,
19/08/2024,3000000,3000000,4300,4900,3700,303,1.0,12,4800,3900,4800,3900,900,4200,3900,-400.0,-9.3,238,245,3497.0,2397.0,303.0,1.0,16.0,11.0,5,3800.0,2700.0,1100,-,
16/08/2024,3000000,3000000,4000,4600,3400,2904,13.0,13,4400,4400,4400,4300,100,4345,4400,400.0,10.0,536,400,2996.0,696.0,2904.0,13.0,11.0,9.0,2,5900.0,3600.0,2300,-,
15/08/2024,3000000,3000000,3500,4000,3000,902,4.0,12,4000,4000,4000,4000,-,4000,4000,500.0,14.29,264,300,5698.0,,902.0,4.0,25.0,3.0,22,6600.0,900.0,5700,-,
14/08/2024,3000000,3000000,4000,4600,3400,3100,11.0,10,3700,3400,3700,3400,300,3484,3400,-600.0,-15.0,477,489,3100.0,1300.0,3100.0,11.0,13.0,9.0,4,6200.0,4400.0,1800,-,
