Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,236600000,236579900,6800,7800,5800,4503,31.0,1609,6800,6800,6800,6800,-,6800,6800,,,1279,1420,13397.0,30997.0,4503.0,31.0,14,25,-11,17900.0,35500,-17600,-,
26/09/2024,236600000,236579900,6700,7700,5700,5000,34.0,1632,6700,6900,6900,6700,200,6814,6900,200.0,2.99,870,1504,15000.0,35600.0,5000.0,34.0,23,27,-4,20000.0,40600,-20600,-,
25/09/2024,236600000,236579900,6600,7500,5700,500,3.0,1609,6600,6800,6800,6600,200,6660,6800,200.0,3.03,611,550,11100.0,11600.0,500.0,3.0,19,22,-3,11600.0,12100,-500,-,
24/09/2024,236600000,236579900,6700,7700,5700,1300,9.0,1561,6700,6600,6700,6600,100,6615,6600,-100.0,-1.49,550,627,10800.0,12500.0,1300.0,9.0,22,22,-,12100.0,13800,-1700,-,
23/09/2024,236600000,236579900,6700,7700,5700,1000,7.0,1585,6700,6700,6900,6600,300,6670,6700,,,773,987,10600.0,21700.0,1000.0,7.0,15,23,-8,11600.0,22700,-11100,-,
20/09/2024,236600000,236579900,6700,7700,5700,-,,1585,6700,6700,6700,6700,-,6700,6700,,,1211,721,10900.0,10100.0,,,9,14,-5,10900.0,10100,800,-,
19/09/2024,236600000,236579900,6700,7700,5700,500,3.0,1585,6700,6700,6700,6700,-,6700,6700,,,807,757,10800.0,10100.0,500.0,3.0,14,14,-,11300.0,10600,700,-,
18/09/2024,236600000,236579900,6600,7500,5700,1100,7.0,1585,6700,6700,6700,6700,-,6700,6700,100.0,1.52,653,611,11300.0,10500.0,1100.0,7.0,19,19,-,12400.0,11600,800,-,
17/09/2024,236600000,236579900,6700,7700,5700,700,5.0,1585,6600,6700,6700,6600,100,6643,6700,,,600,679,10700.0,8800.0,700.0,5.0,19,14,5,11400.0,9500,1900,-,
16/09/2024,236600000,236579900,6800,7800,5800,100,1.0,1585,6700,6700,6700,6700,-,6700,6700,-100.0,-1.47,1927,600,21100.0,12500.0,100.0,1.0,11,21,-10,21200.0,12600,8600,-,
13/09/2024,236600000,236579900,6800,7800,5800,-,,1609,6800,6800,6800,6800,-,6800,6800,,,814,650,11400.0,11700.0,,,14,18,-4,11400.0,11700,-300,-,
12/09/2024,236600000,236579900,6500,7400,5600,200,1.0,1632,6700,6900,6900,6700,200,6800,6900,400.0,6.15,535,671,12100.0,11200.0,200.0,1.0,23,17,6,12300.0,11400,900,-,
11/09/2024,236600000,236579900,6600,7500,5700,8500,55.0,1538,6500,6500,6500,6500,-,6500,6500,-100.0,-1.52,917,905,12600.0,8700.0,8500.0,55.0,23,19,4,21100.0,17200,3900,-,
10/09/2024,236600000,236579900,6600,7500,5700,200,1.0,1561,6600,6600,6600,6600,-,6600,6600,,,1305,653,25900.0,12200.0,200.0,1.0,20,19,1,26100.0,12400,13700,-,
09/09/2024,236600000,236579900,6800,7800,5800,400,3.0,1561,6600,6600,6600,6600,-,6600,6600,-200.0,-2.94,564,1032,12000.0,22300.0,400.0,3.0,22,22,-,12400.0,22700,-10300,-,
06/09/2024,236600000,236579900,6800,7800,5800,-,,1609,6800,6800,6800,6800,-,6800,6800,,,869,918,11300.0,10100.0,,,13,11,2,11300.0,10100,1200,-,
05/09/2024,236600000,236579900,7000,8000,6000,400,3.0,1609,6800,6800,6800,6800,-,6800,6800,-200.0,-2.86,810,839,16600.0,14700.0,400.0,3.0,21,18,3,17000.0,15100,1900,-,
04/09/2024,236600000,236579900,6700,7700,5700,100,1.0,1656,7000,7000,7000,7000,-,7000,7000,300.0,4.48,542,711,14000.0,13400.0,100.0,1.0,26,19,7,14100.0,13500,600,-,
