Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,37287680,36877980,6910,7390,6430,38000,259.0,255,6910,6910,7000,6800,200,6816.0,6900,,,1006,1695,2300.0,800.0,38000.0,259.0,82.0,56.0,26,82500.0,94900.0,-12400,-,
26/09/2024,37287680,36877980,6870,7350,6390,52000,357.0,255,6870,6910,7000,6850,150,6865.0,6900,40.0,0.58,797,1723,9700.0,6300.0,52000.0,357.0,101.0,64.0,37,80500.0,110300.0,-29800,-,
25/09/2024,37287680,36877980,6930,7410,6450,27300,187.0,253,6990,6870,6990,6850,140,6850.0,6900,-60.0,-0.87,746,1933,1900.0,5300.0,27300.0,187.0,90.0,42.0,48,67100.0,81200.0,-14100,-,
24/09/2024,37287680,36877980,6990,7470,6510,6200,42.0,256,6900,6930,6930,6870,60,6774.0,6900,-60.0,-0.86,592,1304,1600.0,11300.0,6200.0,42.0,60.0,28.0,32,35500.0,36500.0,-1000,-,
23/09/2024,37287680,36877980,7040,7530,6550,12500,87.0,258,7030,6990,7260,6900,360,6960.0,7000,-50.0,-0.71,939,1198,300.0,7300.0,12500.0,87.0,71.0,65.0,6,66700.0,77900.0,-11200,-,
20/09/2024,37287680,36877980,6880,7360,6400,5900,41.0,260,6880,7040,7140,6880,260,6949.0,7000,160.0,2.33,637,952,1800.0,5900.0,5900.0,41.0,63.0,62.0,1,40100.0,59000.0,-18900,-,
19/09/2024,37287680,36877980,6930,7410,6450,33600,232.0,254,6930,6880,7150,6880,270,6905.0,6900,-50.0,-0.72,920,1289,7300.0,5800.0,33600.0,232.0,76.0,72.0,4,69900.0,92800.0,-22900,-,
18/09/2024,37287680,36877980,6970,7450,6490,15700,108.0,256,6970,6930,7130,6920,210,6879.0,6900,-40.0,-0.57,1067,1174,4900.0,6200.0,15700.0,108.0,64.0,65.0,-1,68300.0,76300.0,-8000,-,
17/09/2024,37287680,36877980,7230,7730,6730,2000,14.0,257,7210,6970,7210,6970,240,7000.0,7000,-260.0,-3.6,1480,1258,3800.0,14000.0,2000.0,14.0,46.0,57.0,-11,68100.0,71700.0,-3600,-,
16/09/2024,37287680,36877980,6950,7430,6470,21400,152.0,267,7000,7230,7380,6950,430,7103.0,7200,280.0,4.03,1239,1453,500.0,5500.0,21400.0,152.0,70.0,60.0,10,86700.0,87200.0,-500,-,
13/09/2024,37287680,36877980,7000,7490,6510,26800,194.0,256,7380,6950,7380,6950,430,7239.0,7000,-50.0,-0.71,989,2267,1400.0,10700.0,26800.0,194.0,81.0,79.0,2,80100.0,179100.0,-99000,-,
12/09/2024,37287680,36877980,7080,7570,6590,11300,78.0,258,7000,7000,7000,6910,90,6903.0,7000,-80.0,-1.13,604,1532,2800.0,5500.0,11300.0,78.0,57.0,38.0,19,34400.0,58200.0,-23800,-,
11/09/2024,37287680,36877980,7000,7490,6510,15600,107.0,261,7000,7080,7190,6860,330,6859.0,7100,80.0,1.14,1416,1765,300.0,11900.0,15600.0,107.0,79.0,49.0,30,111900.0,86500.0,25400,-,
10/09/2024,37287680,36877980,7020,7510,6530,60100,423.0,258,7340,7000,7350,6890,460,7038.0,7000,-20.0,-0.28,1327,1868,2300.0,4300.0,60100.0,423.0,114.0,76.0,38,151300.0,142000.0,9300,-,
09/09/2024,37287680,36877980,7250,7750,6750,54100,386.0,259,7100,7020,7530,7000,530,7135.0,7000,-230.0,-3.17,898,1465,17900.0,14500.0,54100.0,386.0,118.0,105.0,13,106000.0,153800.0,-47800,-,
06/09/2024,37287680,36877980,7390,7900,6880,13000,94.0,267,7390,7250,7390,7150,240,7231.0,7300,-140.0,-1.89,502,2270,800.0,2000.0,13000.0,94.0,54.0,61.0,-7,27100.0,138500.0,-111400,-,
05/09/2024,37287680,36877980,7380,7890,6870,12100,90.0,273,7380,7390,7590,7370,220,7438.0,7400,10.0,0.14,615,1130,1400.0,6500.0,12100.0,90.0,72.0,67.0,5,44300.0,75700.0,-31400,-,
04/09/2024,37287680,36877980,7110,7600,6620,58000,412.0,272,7110,7380,7600,6880,720,7103.0,7400,270.0,3.8,773,1639,2200.0,8900.0,58000.0,412.0,137.0,94.0,43,105900.0,154100.0,-48200,-,
30/08/2024,37287680,36877980,7310,7820,6800,57600,413.0,262,7200,7110,7290,7100,190,7170.0,7100,-200.0,-2.74,711,1191,5000.0,6700.0,57600.0,413.0,88.0,54.0,34,62600.0,64300.0,-1700,-,
29/08/2024,37287680,36877980,7360,7870,6850,8100,58.0,270,7360,7310,7360,7120,240,7160.0,7300,-50.0,-0.68,1031,1217,2100.0,3400.0,8100.0,58.0,68.0,46.0,22,70100.0,56000.0,14100,-,
28/08/2024,37287680,36877980,7590,8120,7060,23300,170.0,271,7550,7360,7550,7200,350,7296.0,7400,-230.0,-3.03,519,1342,3600.0,4800.0,23300.0,170.0,131.0,66.0,65,68000.0,88600.0,-20600,-,
27/08/2024,37287680,36877980,7540,8060,7020,47700,353.0,280,7550,7590,7590,7250,340,7400.0,7600,50.0,0.66,755,2187,2500.0,2000.0,47700.0,353.0,93.0,78.0,15,70200.0,170600.0,-100400,-,
26/08/2024,37287680,36877980,7600,8130,7070,11400,85.0,278,7560,7540,7560,7400,160,7456.0,7500,-60.0,-0.79,461,1302,3600.0,5000.0,11400.0,85.0,67.0,55.0,12,30900.0,71600.0,-40700,-,
23/08/2024,37287680,36877980,7700,8230,7170,42400,318.0,280,7650,7600,7660,7450,210,7500.0,7600,-100.0,-1.3,940,1683,3800.0,7200.0,42400.0,318.0,70.0,66.0,4,65800.0,111100.0,-45300,-,
22/08/2024,37287680,36877980,7550,8070,7030,21100,160.0,284,7750,7700,7750,7560,190,7583.0,7700,150.0,1.99,792,1281,2300.0,9800.0,21100.0,160.0,74.0,57.0,17,58600.0,73000.0,-14400,-,
21/08/2024,37287680,36877980,7770,8310,7230,72700,552.0,278,7720,7550,7720,7500,220,7593.0,7600,-220.0,-2.83,1171,1995,2300.0,13700.0,72700.0,552.0,126.0,84.0,42,147500.0,167600.0,-20100,-,
20/08/2024,37287680,36877980,7760,8300,7220,17400,135.0,287,7760,7770,7910,7600,310,7759.0,7800,10.0,0.13,520,1026,5900.0,8100.0,17400.0,135.0,70.0,89.0,-19,36400.0,91300.0,-54900,-,
19/08/2024,37287680,36877980,7530,8050,7010,42600,335.0,286,7530,7760,7990,7420,570,7864.0,7800,230.0,3.05,1488,1789,1000.0,10600.0,42600.0,335.0,100.0,104.0,-4,148800.0,186100.0,-37300,-,
16/08/2024,37287680,36877980,7190,7690,6690,28100,206.0,278,7580,7530,7580,7210,370,7331.0,7500,340.0,4.73,595,1037,2800.0,1400.0,28100.0,206.0,96.0,95.0,1,57100.0,98500.0,-41400,-,
15/08/2024,37287680,36877980,7730,8270,7190,82400,595.0,265,7720,7190,7880,7190,690,7221.0,7200,-540.0,-6.99,659,784,,3800.0,82400.0,595.0,125.0,110.0,15,82400.0,86200.0,-3800,-,
14/08/2024,37287680,36877980,7580,8110,7050,6600,49.0,285,7900,7730,7980,7100,880,7424.0,7700,150.0,1.98,115,156,2700.0,1800.0,6600.0,49.0,81.0,54.0,27,9300.0,8400.0,900,-,
13/08/2024,37287680,36877980,8140,8700,7580,44500,337.0,280,8130,7580,8130,7580,550,7573.0,7600,-560.0,-6.88,1113,686,,9000.0,44500.0,337.0,40.0,78.0,-38,44500.0,53500.0,-9000,-,
12/08/2024,37287680,36877980,7800,8340,7260,11400,89.0,300,7810,8140,8270,7700,570,7807.0,8100,340.0,4.36,270,366,1300.0,2500.0,11400.0,89.0,47.0,38.0,9,12700.0,13900.0,-1200,-,
09/08/2024,37287680,36877980,7290,7800,6780,24500,184.0,288,7000,7800,7800,6880,920,7510.0,7800,510.0,7.0,219,395,500.0,,24500.0,184.0,114.0,62.0,52,25000.0,24500.0,500,-,
08/08/2024,37287680,36877980,7830,8370,7290,49400,368.0,269,7840,7290,7840,7290,550,7449.0,7300,-540.0,-6.9,739,1249,1600.0,4300.0,49400.0,368.0,69.0,43.0,26,51000.0,53700.0,-2700,-,
07/08/2024,37287680,36877980,8410,8990,7830,46600,365.0,289,8410,7830,8410,7830,580,7833.0,7800,-580.0,-6.9,991,421,,3900.0,46600.0,365.0,47.0,120.0,-73,46600.0,50500.0,-3900,-,
06/08/2024,37287680,36877980,9040,9670,8410,17900,150.0,310,9020,8410,9020,8410,610,8380.0,8400,-630.0,-6.97,389,463,,15400.0,17900.0,150.0,46.0,72.0,-26,17900.0,33300.0,-15400,-,
05/08/2024,37287680,36877980,9720,10400,9040,13700,124.0,333,9780,9040,9780,9040,740,9051.0,9000,-680.0,-7.0,472,588,,16900.0,13700.0,124.0,29.0,52.0,-23,13700.0,30600.0,-16900,-,
02/08/2024,37287680,36877980,9790,10450,9110,9600,89.0,358,9790,9720,9790,9210,580,9271.0,9700,-70.0,-0.72,357,296,2900.0,3700.0,9600.0,89.0,35.0,45.0,-10,12500.0,13300.0,-800,-,
01/08/2024,37287680,36877980,9540,10200,8880,4500,43.0,361,9540,9790,9790,9300,490,9556.0,9800,250.0,2.62,165,219,600.0,2500.0,4500.0,43.0,31.0,32.0,-1,5100.0,7000.0,-1900,-,
31/07/2024,37287680,36877980,10250,10950,9540,48100,460.0,352,10100,9540,10100,9540,560,9563.0,9500,-710.0,-6.93,1069,493,,5100.0,48100.0,460.0,45.0,108.0,-63,48100.0,53200.0,-5100,-,
30/07/2024,37287680,36877980,10400,11100,9680,6400,65.0,378,10350,10250,10350,10050,300,10156.0,10300,-150.0,-1.44,255,428,1500.0,7300.0,6400.0,65.0,31.0,32.0,-1,7900.0,13700.0,-5800,-,
29/07/2024,37287680,36877980,10150,10850,9440,4600,46.0,384,10150,10400,10400,10150,250,10000.0,10400,250.0,2.46,389,368,2400.0,4600.0,4600.0,46.0,18.0,25.0,-7,7000.0,9200.0,-2200,-,
26/07/2024,37287680,36877980,10100,10800,9400,8000,80.0,374,10150,10150,10150,10000,150,10000.0,10200,50.0,0.5,223,407,700.0,3000.0,8000.0,80.0,39.0,27.0,12,8700.0,11000.0,-2300,-,
