Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
26/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,1.0,,1,,,-,-,
25/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
24/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
23/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
20/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
19/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
18/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
17/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
16/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
13/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
12/09/2024,4662350,4662350,19500,22400,16600,-,,91,19500,19500,19500,19500,-,19500,19500,,,-,-,,,,,,,-,,,-,-,
11/09/2024,4662350,4662350,18600,26000,11200,10000,195.0,91,19500,19500,19500,19500,-,19500,19500,900.0,4.84,10000,10000,,,10000.0,195.0,1.0,1.0,-,10000.0,10000.0,-,-,
10/09/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
09/09/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
06/09/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
05/09/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
04/09/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
30/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
29/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
28/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
27/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
26/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
23/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
22/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
21/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
20/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
19/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
16/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
15/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
14/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
13/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
12/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
09/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
08/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
07/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
06/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
05/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
02/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
01/08/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
31/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,400,100.0,400.0,,,1.0,1.0,-,100.0,400.0,-300,-,
30/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
29/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,200,,400.0,,,,2.0,-2,,400.0,-400,-,
26/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
25/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,400,,400.0,,,,1.0,-1,,400.0,-400,-,
24/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
23/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
22/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
19/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
18/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,300,,300.0,,,,1.0,-1,,300.0,-300,-,
17/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,-,-,,,,,,,-,,,-,-,
15/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
12/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,400,100.0,400.0,,,1.0,1.0,-,100.0,400.0,-300,-,
11/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
10/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
09/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
08/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,1550,-,3100.0,,,,2.0,,2,3100.0,,3100,-,
05/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,3050,-,6100.0,,,,2.0,,2,6100.0,,6100,-,
04/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
03/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,1550,-,3100.0,,,,2.0,,2,3100.0,,3100,-,
02/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
01/07/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
28/06/2024,4662350,4662350,18600,26000,11200,-,,87,18600,18600,18600,18600,-,18600,18600,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
27/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,5000,-,5000.0,,,,1.0,,1,5000.0,,5000,-,
26/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
25/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
24/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,3050,-,6100.0,,,,2.0,,2,6100.0,,6100,-,
21/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,3050,-,6100.0,,,,2.0,,2,6100.0,,6100,-,
20/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
19/06/2024,4662350,4662350,18600,21300,15900,10,0.0,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5090.0,,10.0,0.0,2.0,,2,5100.0,,5100,-,
18/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,5000,400,5000.0,400.0,,,1.0,1.0,-,5000.0,400.0,4600,-,
17/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
14/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
13/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
12/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,1733,-,5200.0,,,,3.0,,3,5200.0,,5200,-,
11/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
10/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,5000,-,5000.0,,,,1.0,,1,5000.0,,5000,-,
07/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
06/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
05/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
04/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
03/06/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,2550,-,5100.0,,,,2.0,,2,5100.0,,5100,-,
31/05/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
30/05/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
29/05/2024,4662350,4662350,18600,21300,15900,-,,87,18600,18600,18600,18600,-,18600,18600,,,1050,-,2100.0,,,,2.0,,2,2100.0,,2100,-,
