Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,300,100,300.0,100.0,,,1.0,1.0,-,300.0,100.0,200,-,
26/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,300,550,300.0,1100.0,,,1.0,2.0,-1,300.0,1100.0,-800,-,
25/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,300,100,300.0,300.0,,,1.0,3.0,-2,300.0,300.0,-,-,
24/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,300,100,300.0,100.0,,,1.0,1.0,-,300.0,100.0,200,-,
23/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,150,300,300.0,600.0,,,2.0,2.0,-,300.0,600.0,-300,-,
20/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,200,533,200.0,1600.0,,,1.0,3.0,-2,200.0,1600.0,-1400,-,
19/09/2024,7100000,7100000,29200,33500,24900,-,,207,29200,29200,29200,29200,-,29200,29200,,,300,220,300.0,1100.0,,,1.0,5.0,-4,300.0,1100.0,-800,-,
18/09/2024,7100000,7100000,25400,29200,21600,100,3.0,207,29200,29200,29200,29200,-,29200,29200,3800.0,14.96,200,100,500.0,,100.0,3.0,3.0,1.0,2,600.0,100.0,500,-,
17/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,500,-,1000.0,,,,2.0,,2,1000.0,,1000,-,
16/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
13/09/2024,7100000,7100000,25400,29200,21600,500,13.0,180,25400,25400,25400,25400,-,25400,25400,,,500,500,500.0,,500.0,13.0,2.0,1.0,1,1000.0,500.0,500,-,
12/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
11/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
10/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,750,-,1500.0,,,,2.0,,2,1500.0,,1500,-,
09/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
06/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,500,-,1000.0,,,,2.0,,2,1000.0,,1000,-,
05/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,500,-,1000.0,,,,2.0,,2,1000.0,,1000,-,
04/09/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
30/08/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
29/08/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,500,-,1000.0,,,,2.0,,2,1000.0,,1000,-,
28/08/2024,7100000,7100000,25400,29200,21600,-,,180,25400,25400,25400,25400,-,25400,25400,,,200,-,600.0,,,,3.0,,3,600.0,,600,-,
27/08/2024,7100000,7100000,29500,33900,25100,300,8.0,185,25100,26000,26000,25100,900,25400,26000,-3500.0,-11.86,233,367,400.0,800.0,300.0,8.0,3.0,3.0,-,700.0,1100.0,-400,-,
26/08/2024,7100000,7100000,29500,33900,25100,-,,209,29500,29500,29500,29500,-,29500,29500,,,500,533,500.0,1600.0,,,1.0,3.0,-2,500.0,1600.0,-1100,-,
23/08/2024,7100000,7100000,29500,33900,25100,-,,209,29500,29500,29500,29500,-,29500,29500,,,6833,500,20500.0,2000.0,,,3.0,4.0,-1,20500.0,2000.0,18500,-,
22/08/2024,7100000,7100000,29800,34200,25400,400,12.0,209,29500,29500,29500,29500,-,29500,29500,-300.0,-1.01,300,483,500.0,2500.0,400.0,12.0,3.0,6.0,-3,900.0,2900.0,-2000,-,
21/08/2024,7100000,7100000,29800,34200,25400,100,3.0,212,29800,29800,29800,29800,-,29800,29800,,,100,567,,1600.0,100.0,3.0,1.0,3.0,-2,100.0,1700.0,-1600,-,
20/08/2024,7100000,7100000,29800,34200,25400,-,,212,29800,29800,29800,29800,-,29800,29800,,,500,600,500.0,600.0,,,1.0,1.0,-,500.0,600.0,-100,-,
19/08/2024,7100000,7100000,27100,31100,23100,2200,66.0,213,29600,30000,30000,29600,400,29782,30000,2900.0,10.7,1190,292,9700.0,1300.0,2200.0,66.0,10.0,12.0,-2,11900.0,3500.0,8400,-,
16/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,83,-,500.0,,,,6.0,,6,500.0,,500,-,
15/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,1000,600,1000.0,600.0,,,1.0,1.0,-,1000.0,600.0,400,-,
14/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,-,-,,,,,,,-,,,-,-,
13/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,250,500,500.0,500.0,,,2.0,1.0,1,500.0,500.0,-,-,
12/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,200,-,200.0,,,,1.0,,1,200.0,,200,-,
09/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,-,-,,,,,,,-,,,-,-,
08/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,-,-,,,,,,,-,,,-,-,
07/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,-,-,,,,,,,-,,,-,-,
06/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,250,-,500.0,,,,2.0,,2,500.0,,500,-,
05/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,200,-,400.0,,,,2.0,,2,400.0,,400,-,
02/08/2024,7100000,7100000,29600,34000,25200,-,,210,29600,29600,29600,29600,-,29600,27100,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
01/08/2024,7100000,7100000,29600,34000,25200,200,6.0,210,29600,29600,29600,29600,-,29600,27100,,,33,250,,800.0,200.0,6.0,6.0,4.0,2,200.0,1000.0,-800,-,
31/07/2024,7100000,7100000,25800,29600,22000,100,3.0,210,29600,29600,29600,29600,-,29600,27100,3800.0,14.73,140,100,1300.0,,100.0,3.0,10.0,1.0,9,1400.0,100.0,1300,-,
30/07/2024,7100000,7100000,25800,29600,22000,-,,183,25800,25800,25800,25800,-,25800,23600,,,33,100,100.0,100.0,,,3.0,1.0,2,100.0,100.0,-,-,
29/07/2024,7100000,7100000,25800,29600,22000,-,,183,25800,25800,25800,25800,-,25800,23600,,,50,100,200.0,100.0,,,4.0,1.0,3,200.0,100.0,100,-,
26/07/2024,7100000,7100000,25800,29600,22000,-,,183,25800,25800,25800,25800,-,25800,23600,,,-,-,,,,,3.0,,3,,,-,-,
25/07/2024,7100000,7100000,25800,29600,22000,100,3.0,183,25800,25800,25800,25800,-,25800,23600,,,267,100,1500.0,,100.0,3.0,6.0,1.0,5,1600.0,100.0,1500,-,
24/07/2024,7100000,7100000,25800,29600,22000,-,,183,25800,25800,25800,25800,-,25800,23600,,,1000,-,5000.0,,,,5.0,,5,5000.0,,5000,-,
23/07/2024,7100000,7100000,26000,29900,22100,2100,54.0,192,23000,27000,27000,22100,4900,25814,24700,1000.0,3.85,1314,525,7100.0,,2100.0,54.0,7.0,4.0,3,9200.0,2100.0,7100,-,
22/07/2024,7100000,7100000,26000,29900,22100,-,,185,26000,26000,26000,26000,-,26000,23800,,,700,1500,700.0,1500.0,,,1.0,1.0,-,700.0,1500.0,-800,-,
19/07/2024,7100000,7100000,26000,29900,22100,-,,185,26000,26000,26000,26000,-,26000,23800,,,1750,1500,3500.0,1500.0,,,2.0,1.0,1,3500.0,1500.0,2000,-,
18/07/2024,7100000,7100000,24500,28100,20900,600,16.0,185,26000,26000,26000,26000,-,26000,23800,1500.0,6.12,600,700,600.0,1500.0,600.0,16.0,2.0,3.0,-1,1200.0,2100.0,-900,-,
17/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1800,1050,3600.0,2100.0,,,2.0,2.0,-,3600.0,2100.0,1500,-,
16/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,3000,1900,3000.0,1900.0,,,1.0,1.0,-,3000.0,1900.0,1100,-,
15/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1300,1900,2600.0,1900.0,,,2.0,1.0,1,2600.0,1900.0,700,-,
12/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1800,1900,3600.0,1900.0,,,2.0,1.0,1,3600.0,1900.0,1700,-,
11/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,-,-,,,,,,,-,,,-,-,
10/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1500,1900,3000.0,1900.0,,,2.0,1.0,1,3000.0,1900.0,1100,-,
09/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,3000,1900,3000.0,1900.0,,,1.0,1.0,-,3000.0,1900.0,1100,-,
08/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,500,1350,1000.0,2700.0,,,2.0,2.0,-,1000.0,2700.0,-1700,-,
05/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,-,-,,,,,,,-,,,-,-,
04/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1000,1900,2000.0,1900.0,,,2.0,1.0,1,2000.0,1900.0,100,-,
03/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1333,1900,4000.0,1900.0,,,3.0,1.0,2,4000.0,1900.0,2100,-,
02/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1100,1900,2200.0,1900.0,,,2.0,1.0,1,2200.0,1900.0,300,-,
01/07/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,2000,1900,2000.0,1900.0,,,1.0,1.0,-,2000.0,1900.0,100,-,
28/06/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,740,1900,3700.0,1900.0,,,5.0,1.0,4,3700.0,1900.0,1800,-,
27/06/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,7667,1900,23000.0,1900.0,,,3.0,1.0,2,23000.0,1900.0,21100,-,
26/06/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,-,-,,,,,1.0,,1,,,-,-,
25/06/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
24/06/2024,7100000,7100000,24500,28100,20900,-,,174,24500,24500,24500,24500,-,24500,22400,,,2000,1000,2000.0,1000.0,,,1.0,1.0,-,2000.0,1000.0,1000,-,
