Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,16000000,16000000,10800,12400,9200,-,,173,10800,10800,10800,10800,-,10800,10800,,,1000,400,1000.0,2000.0,,,1.0,5.0,-4,1000.0,2000.0,-1000,-,
26/09/2024,16000000,16000000,10800,12400,9200,-,,173,10800,10800,10800,10800,-,10800,10800,,,50,383,100.0,2300.0,,,2.0,6.0,-4,100.0,2300.0,-2200,-,
25/09/2024,16000000,16000000,10800,12400,9200,1,0.0,173,10800,10800,10800,10800,-,10800,10800,,,500,675,499.0,2699.0,1.0,0.0,1.0,4.0,-3,500.0,2700.0,-2200,-,
24/09/2024,16000000,16000000,10800,12400,9200,2,0.0,173,10800,10800,10800,10800,-,10800,10800,,,-,400,,1198.0,2.0,0.0,,3.0,-3,,1200.0,-1200,-,
23/09/2024,16000000,16000000,10800,12400,9200,209,2.0,173,10800,10800,10800,10800,-,10800,10800,,,100,500,91.0,3291.0,209.0,2.0,3.0,7.0,-4,300.0,3500.0,-3200,-,
20/09/2024,16000000,16000000,9400,10800,8000,101,1.0,173,10800,10800,10800,10800,-,10800,10800,1400.0,14.89,650,1000,2499.0,899.0,101.0,1.0,4.0,1.0,3,2600.0,1000.0,1600,-,
19/09/2024,16000000,16000000,9400,10800,8000,-,,150,9400,9400,9400,9400,-,9400,9400,,,440,800,2200.0,800.0,,,5.0,1.0,4,2200.0,800.0,1400,-,
18/09/2024,16000000,16000000,9400,10800,8000,-,,150,9400,9400,9400,9400,-,9400,9400,,,833,500,2500.0,500.0,,,3.0,1.0,2,2500.0,500.0,2000,-,
17/09/2024,16000000,16000000,9400,10800,8000,-,,150,9400,9400,9400,9400,-,9400,9400,,,700,500,2100.0,1000.0,,,3.0,2.0,1,2100.0,1000.0,1100,-,
16/09/2024,16000000,16000000,10000,11500,8500,7,0.0,160,10000,10000,10000,10000,-,10000,9400,,,-,500,,493.0,7.0,0.0,2.0,1.0,1,,500.0,-500,-,
13/09/2024,16000000,16000000,10000,11500,8500,1,0.0,160,10000,10000,10000,10000,-,10000,9400,,,1367,750,4099.0,1499.0,1.0,0.0,3.0,2.0,1,4100.0,1500.0,2600,-,
12/09/2024,16000000,16000000,9600,11000,8200,1132,11.0,160,10000,10000,10000,10000,-,10000,9400,400.0,4.17,1500,1000,3368.0,868.0,1132.0,11.0,3.0,2.0,1,4500.0,2000.0,2500,-,
11/09/2024,16000000,16000000,9600,11000,8200,-,,154,9600,9600,9600,9600,-,9600,9000,,,720,1000,3600.0,1000.0,,,5.0,1.0,4,3600.0,1000.0,2600,-,
10/09/2024,16000000,16000000,9600,11000,8200,1000,10.0,154,9600,9600,9600,9600,-,9600,9000,,,2250,1000,3500.0,1000.0,1000.0,10.0,2.0,2.0,-,4500.0,2000.0,2500,-,
09/09/2024,16000000,16000000,10200,11700,8700,1000,10.0,154,9600,9600,9600,9600,-,9600,9000,-600.0,-5.88,2750,667,4500.0,1000.0,1000.0,10.0,2.0,3.0,-1,5500.0,2000.0,3500,-,
06/09/2024,16000000,16000000,10200,11700,8700,-,,163,10200,10200,10200,10200,-,10200,9600,,,1250,11233,5000.0,33700.0,,,4.0,3.0,1,5000.0,33700.0,-28700,-,
05/09/2024,16000000,16000000,9600,11000,8200,100,1.0,163,10200,10200,10200,10200,-,10200,9600,600.0,6.25,1550,200,6100.0,500.0,100.0,1.0,4.0,3.0,1,6200.0,600.0,5600,-,
04/09/2024,16000000,16000000,9600,11000,8200,2700,26.0,154,9700,9600,9700,9600,100,9611,9000,,,1333,475,5300.0,1100.0,2700.0,26.0,6.0,8.0,-2,8000.0,3800.0,4200,-,
30/08/2024,16000000,16000000,9700,11100,8300,500,5.0,154,9600,9600,9600,9600,-,9600,9000,-100.0,-1.03,329,267,1800.0,1100.0,500.0,5.0,7.0,6.0,1,2300.0,1600.0,700,-,
29/08/2024,16000000,16000000,9700,11100,8300,-,,155,9700,9700,9700,9700,-,9700,9100,,,283,600,1700.0,1800.0,,,6.0,3.0,3,1700.0,1800.0,-100,-,
28/08/2024,16000000,16000000,9400,10800,8000,1000,10.0,154,9700,9600,9700,9600,100,9650,9000,200.0,2.13,922,360,7300.0,800.0,1000.0,10.0,9.0,5.0,4,8300.0,1800.0,6500,-,
