Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8370795,9207842,18500,20300,16700,6,0.0,170,18500,18500,18500,18500,-,18500,18500,,,1131,1845,14694.0,20294,6.0,0.0,13.0,11,2,14700.0,20300,-5600,-,
26/09/2024,8370795,9207842,18000,19800,16200,1700,31.0,170,18000,18500,18500,18000,500,18029,18500,500.0,2.78,576,642,17300.0,13700,1700.0,31.0,33.0,24,9,19000.0,15400,3600,-,
25/09/2024,8370795,9207842,17600,19300,15900,10820,195.0,166,17600,18000,18600,17600,1000,17994,18000,400.0,2.27,1046,763,14280.0,3680,10820.0,195.0,24.0,19,5,25100.0,14500,10600,-,
24/09/2024,8370795,9207842,17600,19300,15900,30,1.0,162,17600,17600,17600,17600,-,17600,17600,,,681,236,14270.0,3270,30.0,1.0,21.0,14,7,14300.0,3300,11000,-,
23/09/2024,8370795,9207842,19200,21100,17300,3301,58.0,162,17500,17600,17600,17300,300,17456,17600,-1600.0,-8.33,407,265,2399.0,2799,3301.0,58.0,14.0,23,-9,5700.0,6100,-400,-,
20/09/2024,8370795,9207842,17500,19200,15800,100,2.0,177,19200,19200,19200,19200,-,19200,19200,1700.0,9.71,805,540,16800.0,10700,100.0,2.0,21.0,20,1,16900.0,10800,6100,-,
19/09/2024,8370795,9207842,18200,20000,16400,14483,246.0,161,18100,17500,18100,16400,1700,16998,17500,-700.0,-3.85,543,1141,12117.0,4917,14483.0,246.0,49.0,17,32,26600.0,19400,7200,-,
18/09/2024,8370795,9207842,18200,20000,16400,-,,168,18200,18200,18200,18200,-,18200,18200,,,244,567,2200.0,8500,,,9.0,15,-6,2200.0,8500,-6300,-,
17/09/2024,8370795,9207842,18000,19800,16200,2300,40.0,168,19500,18200,19500,17000,2500,17330,18200,200.0,1.11,240,524,1300.0,6600,2300.0,40.0,15.0,17,-2,3600.0,8900,-5300,-,
16/09/2024,8370795,9207842,18100,19900,16300,3900,68.0,166,18000,18000,18000,17000,1000,17431,18000,-100.0,-0.55,317,750,1800.0,3600,3900.0,68.0,18.0,10,8,5700.0,7500,-1800,-,
13/09/2024,8370795,9207842,18100,19900,16300,1300,24.0,167,18100,18100,18100,18100,-,18100,18100,,,492,663,4600.0,4000,1300.0,24.0,12.0,8,4,5900.0,5300,600,-,
12/09/2024,8370795,9207842,18100,19900,16300,-,,167,18100,18100,18100,18100,-,18100,18100,,,267,1020,1600.0,5100,,,6.0,5,1,1600.0,5100,-3500,-,
