Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,24430596,22516956,6100,6520,5680,1000,6.0,140,6200,6200,6200,6200,-,6000.0,6200,100.0,1.64,1450,300,4200.0,300.0,1000.0,6.0,10.0,9.0,1,14500.0,2700.0,11800,-,
26/09/2024,24430596,22516956,6100,6520,5680,-,,137,6100,6100,6100,6100,-,,6100,,,614,443,3100.0,3100.0,,,7.0,7.0,-,4300.0,3100.0,1200,-,
25/09/2024,24430596,22516956,6500,6950,6050,1100,7.0,137,6500,6100,6500,6100,400,6364.0,6100,-400.0,-6.15,486,828,2200.0,2500.0,1100.0,7.0,7.0,18.0,-11,3400.0,14900.0,-11500,-,
24/09/2024,24430596,22516956,6490,6940,6040,1300,8.0,146,6490,6500,6500,6490,10,6154.0,6500,10.0,0.15,1071,450,6100.0,1100.0,1300.0,8.0,7.0,18.0,-11,7500.0,8100.0,-600,-,
23/09/2024,24430596,22516956,6100,6520,5680,1400,9.0,146,6500,6490,6520,6490,30,6429.0,6500,390.0,6.39,2314,250,13500.0,600.0,1400.0,9.0,7.0,8.0,-1,16200.0,2000.0,14200,-,
20/09/2024,24430596,22516956,6100,6520,5680,-,,137,6100,6100,6100,6100,-,,6100,,,3900,1733,10500.0,5200.0,,,4.0,3.0,1,15600.0,5200.0,10400,-,
19/09/2024,24430596,22516956,6500,6950,6050,10000,61.0,137,6100,6100,6100,6100,-,6100.0,6100,-400.0,-6.15,5220,1773,16000.0,6700.0,10000.0,61.0,5.0,11.0,-6,26100.0,19500.0,6600,-,
18/09/2024,24430596,22516956,6500,6950,6050,-,,146,6500,6500,6500,6500,-,,6500,,,275,413,1000.0,2300.0,,,4.0,8.0,-4,1100.0,3300.0,-2200,-,
17/09/2024,24430596,22516956,6500,6950,6050,-,,146,6500,6500,6500,6500,-,,6500,,,1050,433,2000.0,2600.0,,,2.0,6.0,-4,2100.0,2600.0,-500,-,
16/09/2024,24430596,22516956,6600,7060,6140,200,1.0,146,6500,6500,6500,6500,-,5000.0,6500,-100.0,-1.52,860,344,4000.0,1900.0,200.0,1.0,5.0,9.0,-4,4300.0,3100.0,1200,-,
13/09/2024,24430596,22516956,6600,7060,6140,-,,149,6600,6600,6600,6600,-,,6600,,,1733,627,5100.0,2800.0,,,3.0,11.0,-8,5200.0,6900.0,-1700,-,
12/09/2024,24430596,22516956,6600,7060,6140,-,,149,6600,6600,6600,6600,-,,6600,,,2700,260,8000.0,2600.0,,,3.0,15.0,-12,8100.0,3900.0,4200,-,
11/09/2024,24430596,22516956,6600,7060,6140,-,,149,6600,6600,6600,6600,-,,6600,,,500,362,1000.0,2200.0,,,2.0,13.0,-11,1000.0,4700.0,-3700,-,
10/09/2024,24430596,22516956,6620,7080,6160,2200,14.0,149,6620,6600,6620,6600,20,6364.0,6600,-20.0,-0.3,400,367,200.0,1500.0,2200.0,14.0,6.0,15.0,-9,2400.0,5500.0,-3100,-,
09/09/2024,24430596,22516956,6300,6740,5860,5100,32.0,149,6300,6620,6620,6300,320,6275.0,6600,320.0,5.08,1325,1178,100.0,4500.0,5100.0,32.0,4.0,9.0,-5,5300.0,10600.0,-5300,-,
06/09/2024,24430596,22516956,6300,6740,5860,1800,11.0,142,6300,6300,6300,6300,-,6111.0,6300,,,1700,1125,3200.0,7200.0,1800.0,11.0,3.0,8.0,-5,5100.0,9000.0,-3900,-,
05/09/2024,24430596,22516956,6300,6740,5860,5100,32.0,142,6600,6300,6600,6300,300,6275.0,6300,,,2060,1073,5100.0,4100.0,5100.0,32.0,5.0,15.0,-10,10300.0,16100.0,-5800,-,
04/09/2024,24430596,22516956,6300,6740,5860,-,,142,6300,6300,6300,6300,-,,6300,,,1420,691,7000.0,1500.0,,,5.0,11.0,-6,7100.0,7600.0,-500,-,
30/08/2024,24430596,22516956,6300,6740,5860,5000,31.0,142,6300,6300,6300,6300,-,6200.0,6300,,,1833,521,6000.0,2300.0,5000.0,31.0,6.0,14.0,-8,11000.0,7300.0,3700,-,
29/08/2024,24430596,22516956,6300,6740,5860,300,1.0,142,6300,6300,6300,6300,-,3333.0,6300,,,1850,700,10700.0,4200.0,300.0,1.0,6.0,8.0,-2,11100.0,5600.0,5500,-,
28/08/2024,24430596,22516956,6300,6740,5860,-,,142,6300,6300,6300,6300,-,,6300,,,1163,467,8100.0,1700.0,,,8.0,6.0,2,9300.0,2800.0,6500,-,
27/08/2024,24430596,22516956,6300,6740,5860,-,,142,6300,6300,6300,6300,-,,6300,,,1200,656,3500.0,3200.0,,,3.0,9.0,-6,3600.0,5900.0,-2300,-,
26/08/2024,24430596,22516956,6300,6740,5860,100,,142,6300,6300,6300,6300,-,,6300,,,1350,750,4800.0,4200.0,100.0,,4.0,12.0,-8,5400.0,9000.0,-3600,-,
23/08/2024,24430596,22516956,6300,6740,5860,3000,18.0,142,6300,6300,6300,6300,-,6000.0,6300,,,700,867,2800.0,2200.0,3000.0,18.0,10.0,6.0,4,7000.0,5200.0,1800,-,
22/08/2024,24430596,22516956,6690,7150,6230,1100,6.0,142,6300,6300,6300,6300,-,5455.0,6300,-390.0,-5.83,517,576,4200.0,3300.0,1100.0,6.0,12.0,21.0,-9,6200.0,12100.0,-5900,-,
21/08/2024,24430596,22516956,6690,7150,6230,-,,151,6690,6690,6690,6690,-,,6700,,,33,784,,1100.0,,,3.0,19.0,-16,100.0,14900.0,-14800,-,
20/08/2024,24430596,22516956,6690,7150,6230,-,,151,6690,6690,6690,6690,-,,6700,,,967,986,2800.0,1200.0,,,3.0,21.0,-18,2900.0,20700.0,-17800,-,
19/08/2024,24430596,22516956,6690,7150,6230,-,,151,6690,6690,6690,6690,-,,6700,,,2700,645,8000.0,2300.0,,,3.0,22.0,-19,8100.0,14200.0,-6100,-,
16/08/2024,24430596,22516956,6400,6840,5960,5000,33.0,151,6690,6690,6690,6690,-,6600.0,6700,290.0,4.53,2683,1067,6000.0,13200.0,5000.0,33.0,6.0,21.0,-15,16100.0,22400.0,-6300,-,
15/08/2024,24430596,22516956,6400,6840,5960,-,,144,6400,6400,6400,6400,-,,6400,,,1800,133,1800.0,1200.0,,,1.0,9.0,-8,1800.0,1200.0,600,-,
14/08/2024,24430596,22516956,6400,6840,5960,500,3.0,144,6200,6400,6400,6200,200,6000.0,6400,,,1025,1160,3600.0,11100.0,500.0,3.0,4.0,10.0,-6,4100.0,11600.0,-7500,-,
