Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,27500,31600,23400,100,2.0,121,24100,24100,24100,24100,-,24100,24100,-3400.0,-12.36,85,100,1000.0,,100.0,2.0,13.0,1.0,12,1100.0,100.0,1000,-,
26/09/2024,5000000,5000000,25900,29700,22100,300,8.0,149,23200,29700,29700,23200,6500,27533,29700,3800.0,14.67,179,100,2200.0,,300.0,8.0,14.0,3.0,11,2500.0,300.0,2200,-,
25/09/2024,5000000,5000000,22600,25900,19300,250101,4828.0,130,25900,25900,25900,25900,-,25900,25900,3300.0,14.6,213,100,3299.0,,101.0,3.0,16.0,1.0,15,3400.0,100.0,3300,250000,4825.0
24/09/2024,5000000,5000000,22600,25900,19300,-,,113,22600,22600,22600,22600,-,22600,22600,,,220,-,3300.0,,,,15.0,,15,3300.0,,3300,-,
23/09/2024,5000000,5000000,26200,30100,22300,100,2.0,113,22600,22600,22600,22600,-,22600,22600,-3600.0,-13.74,185,100,2300.0,100.0,100.0,2.0,13.0,2.0,11,2400.0,200.0,2200,-,
20/09/2024,5000000,5000000,26000,29900,22100,200,5.0,150,22500,29900,29900,22500,7400,26200,29900,3900.0,15.0,300,100,1300.0,,200.0,5.0,5.0,2.0,3,1500.0,200.0,1300,-,
19/09/2024,5000000,5000000,18600,26000,11200,100,3.0,130,26000,26000,26000,26000,-,26000,26000,7400.0,39.78,388,100,3000.0,,100.0,3.0,8.0,1.0,7,3100.0,100.0,3000,-,
18/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,429,-,3000.0,,,,7.0,,7,3000.0,,3000,-,
17/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,429,-,3000.0,,,,7.0,,7,3000.0,,3000,-,
16/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,414,-,2900.0,,,,7.0,,7,2900.0,,2900,-,
13/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,429,-,3000.0,,,,7.0,,7,3000.0,,3000,-,
12/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,291,-,3200.0,,,,11.0,,11,3200.0,,3200,-,
11/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,467,-,2800.0,,,,6.0,,6,2800.0,,2800,-,
10/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,388,-,3100.0,,,,8.0,,8,3100.0,,3100,-,
09/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,300,-,3300.0,,,,11.0,,11,3300.0,,3300,-,
06/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,309,-,3400.0,,,,11.0,,11,3400.0,,3400,-,
05/09/2024,5000000,5000000,18600,26000,11200,-,,93,18600,18600,18600,18600,-,18600,18600,,,309,-,3400.0,,,,11.0,,11,3400.0,,3400,-,
04/09/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,344,-,3100.0,,,,9.0,,9,3100.0,,3100,-,
30/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,375,-,3000.0,,,,8.0,,8,3000.0,,3000,-,
29/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,414,-,2900.0,,,,7.0,,7,2900.0,,2900,-,
28/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,375,-,3000.0,,,,8.0,,8,3000.0,,3000,-,
27/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,414,-,2900.0,,,,7.0,,7,2900.0,,2900,-,
26/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,457,-,3200.0,,,,7.0,,7,3200.0,,3200,-,
23/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,478,-,4300.0,,,,9.0,,9,4300.0,,4300,-,
22/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,540,-,2700.0,,,,5.0,,5,2700.0,,2700,-,
21/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,540,-,2700.0,,,,5.0,,5,2700.0,,2700,-,
20/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,540,-,2700.0,,,,5.0,,5,2700.0,,2700,-,
19/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,467,-,2800.0,,,,6.0,,6,2800.0,,2800,-,
16/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,467,-,2800.0,,,,6.0,,6,2800.0,,2800,-,
15/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,467,-,2800.0,,,,6.0,,6,2800.0,,2800,-,
14/08/2024,5000000,5000000,18600,21300,15900,-,,93,18600,18600,18600,18600,-,18600,18600,,,450,-,1800.0,,,,4.0,,4,1800.0,,1800,-,
13/08/2024,5000000,5000000,18600,21300,15900,1,0.0,93,18600,18600,18600,18600,-,18600,18600,,,460,-,2299.0,,1.0,0.0,5.0,,5,2300.0,,2300,-,
