Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
26/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
25/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
24/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
23/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
20/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,140,-,700,,,,5,,5,700,,700,-,
19/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
18/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
17/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
16/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
13/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
12/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
11/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
10/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
09/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
06/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,600,,,,6,,6,600,,600,-,
05/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
04/09/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
30/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,214,-,1500,,,,7,,7,1500,,1500,-,
29/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
28/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
27/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
26/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
23/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
22/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,500,,,,5,,5,500,,500,-,
21/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
20/08/2024,3600000,3600000,19600,27400,11800,-,,71,19600,19600,19600,19600,-,19600,19600,,,100,-,400,,,,4,,4,400,,400,-,
