Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,30000000,29125000,39100,41800,36400,29800,1178.0,1150,39700,39500,39800,39100,700,39530.0,39500,400.0,1.02,873,1819,6500.0,5100.0,29800.0,1178.0,48.0,36.0,12,41900.0,65500.0,-23600,-,
26/09/2024,30000000,29125000,40000,42800,37200,33000,1322.0,1165,40050,40000,40450,39950,500,40061.0,39100,,,1109,2749,3900.0,7200.0,33000.0,1322.0,64.0,35.0,29,71000.0,96200.0,-25200,-,
25/09/2024,30000000,29125000,39900,42650,37150,14700,584.0,1165,40300,40000,40300,38150,2150,39728.0,39100,100.0,0.25,665,987,500.0,3800.0,14700.0,584.0,69.0,38.0,31,45900.0,37500.0,8400,-,
24/09/2024,30000000,29125000,39900,42650,37150,17100,681.0,1162,39600,39900,40050,39500,550,39825.0,39000,,,687,993,2700.0,4500.0,17100.0,681.0,46.0,44.0,2,31600.0,43700.0,-12100,-,
23/09/2024,30000000,29125000,40000,42800,37200,600,24.0,1162,40500,39900,40500,39700,800,40000.0,39000,-100.0,-0.25,355,650,3200.0,2600.0,600.0,24.0,29.0,36.0,-7,10300.0,23400.0,-13100,-,
20/09/2024,30000000,29125000,40450,43250,37650,4200,169.0,1165,40600,40000,41000,40000,1000,40238.0,39100,-450.0,-1.11,509,500,3200.0,2600.0,4200.0,169.0,43.0,25.0,18,21900.0,12500.0,9400,-,
19/09/2024,30000000,29125000,40000,42800,37200,37200,1476.0,1178,40000,40450,40450,39500,950,39677.0,39500,450.0,1.13,1179,1643,5800.0,4100.0,37200.0,1476.0,97.0,49.0,48,114400.0,80500.0,33900,-,
18/09/2024,30000000,29125000,39950,42700,37200,135500,5443.0,1165,40000,40000,41000,39900,1100,40170.0,39100,50.0,0.13,1481,2083,26400.0,7100.0,135500.0,5443.0,155.0,81.0,74,229600.0,168700.0,60900,-,
17/09/2024,30000000,29125000,39700,42450,36950,9600,383.0,1164,40250,39950,40250,39700,550,39896.0,39100,250.0,0.63,1194,884,13800.0,4600.0,9600.0,383.0,33.0,25.0,8,39400.0,22100.0,17300,-,
