Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,100,150,100.0,300.0,,,1.0,2.0,-1,100.0,300.0,-200,-,
26/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,100,225,100.0,900.0,,,1.0,4.0,-3,100.0,900.0,-800,-,
25/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,100,100,100.0,300.0,,,1.0,3.0,-2,100.0,300.0,-200,-,
24/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,100,150,100.0,300.0,,,1.0,2.0,-1,100.0,300.0,-200,-,
23/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,1550,100,3100.0,100.0,,,2.0,1.0,1,3100.0,100.0,3000,-,
20/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,100,267,100.0,800.0,,,1.0,3.0,-2,100.0,800.0,-700,-,
19/09/2024,6544268,5443520,33800,38800,28800,-,,184,33800,33800,33800,33800,-,33800,33800,,,100,150,100.0,300.0,,,1.0,2.0,-1,100.0,300.0,-200,-,
18/09/2024,6544268,5443520,30500,35000,26000,100,3.0,184,33800,33800,33800,33800,-,33800,33800,3300.0,10.82,300,100,500.0,300.0,100.0,3.0,2.0,4.0,-2,600.0,400.0,200,-,
17/09/2024,6544268,5443520,30500,35000,26000,-,,166,30500,30500,30500,30500,-,30500,30500,,,200,100,200.0,300.0,,,1.0,3.0,-2,200.0,300.0,-100,-,
