Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,6745480,6745480,46700,51300,42100,1800,84.0,316,46700,46800,46900,46000,900,46478,46800,100.0,0.21,337,687,7300,14000.0,1800.0,84.0,27,23,4,9100,15800,-6700,-,
26/09/2024,6745480,6745480,46800,51400,42200,600,28.0,315,46000,46700,47900,46000,1900,46883,46700,-100.0,-0.21,363,575,9200,20100.0,600.0,28.0,27,36,-9,9800,20700,-10900,-,
25/09/2024,6745480,6745480,46200,50800,41600,2401,112.0,316,47900,46800,47900,46000,1900,46671,46800,600.0,1.3,706,636,10299,20499.0,2401.0,112.0,18,36,-18,12700,22900,-10200,-,
24/09/2024,6745480,6745480,46500,51100,41900,2100,98.0,312,46900,46200,47000,46200,800,46605,46200,-300.0,-0.65,575,517,7100,13400.0,2100.0,98.0,16,30,-14,9200,15500,-6300,-,
23/09/2024,6745480,6745480,46200,50800,41600,1600,74.0,314,46500,46500,46500,46500,-,46500,46500,300.0,0.65,738,857,8000,18100.0,1600.0,74.0,13,23,-10,9600,19700,-10100,-,
20/09/2024,6745480,6745480,45500,50000,41000,5300,242.0,312,45100,46200,46200,45100,1100,45647,46200,700.0,1.54,576,694,16000,16200.0,5300.0,242.0,37,31,6,21300,21500,-200,-,
19/09/2024,6745480,6745480,45300,49800,40800,5616,255.0,307,45300,45500,45600,45300,300,45457,45500,200.0,0.44,506,670,11584,7784.0,5616.0,255.0,34,20,14,17200,13400,3800,-,
18/09/2024,6745480,6745480,45800,50300,41300,1337,61.0,306,45800,45300,45800,44700,1100,45400,45300,-500.0,-1.09,339,346,11563,6963.0,1337.0,61.0,38,24,14,12900,8300,4600,-,
17/09/2024,6745480,6745480,46100,50700,41500,700,32.0,309,45500,45800,46100,45500,600,45714,45800,-300.0,-0.65,561,631,15000,9400.0,700.0,32.0,28,16,12,15700,10100,5600,-,
16/09/2024,6745480,6745480,48800,53600,44000,400,19.0,311,48000,46100,48000,46100,1900,48000,46100,-2700.0,-5.53,222,961,3600,41900.0,400.0,19.0,18,44,-26,4000,42300,-38300,-,
13/09/2024,6745480,6745480,47900,52600,43200,1000,49.0,329,48800,48800,48800,48800,-,48800,48800,900.0,1.88,400,697,3000,24800.0,1000.0,49.0,10,37,-27,4000,25800,-21800,-,
12/09/2024,6745480,6745480,45200,49700,40700,1001,45.0,323,45900,47900,47900,45000,2900,45420,47900,2700.0,5.97,327,485,11099,8699.0,1001.0,45.0,37,20,17,12100,9700,2400,-,
11/09/2024,6745480,6745480,45200,49700,40700,-,,305,45200,45200,45200,45200,-,45200,45200,,,322,490,2900,4900.0,,,9,10,-1,2900,4900,-2000,-,
10/09/2024,6745480,6745480,45400,49900,40900,600,27.0,305,46900,45200,46900,45200,1700,45800,45200,-200.0,-0.44,495,320,9800,5800.0,600.0,27.0,21,20,1,10400,6400,4000,-,
09/09/2024,6745480,6745480,47000,51700,42300,2400,109.0,306,45600,45400,45600,45200,400,45388,45400,-1600.0,-3.4,188,592,2300,13000.0,2400.0,109.0,25,26,-1,4700,15400,-10700,-,
06/09/2024,6745480,6745480,48400,53200,43600,3902,184.0,317,47200,47000,47200,47000,200,47115,47000,-1400.0,-2.89,470,409,5498,9598.0,3902.0,184.0,20,33,-13,9400,13500,-4100,-,
05/09/2024,6745480,6745480,48400,53200,43600,500,24.0,326,48800,48400,48800,48400,400,48533,48400,,,820,417,15900,17000.0,500.0,24.0,20,42,-22,16400,17500,-1100,-,
04/09/2024,6745480,6745480,44900,49300,40500,44503,2172.0,326,49300,48400,49300,47800,1500,48805,48400,3500.0,7.8,967,1097,30897,21297.0,44503.0,2172.0,78,60,18,75400,65800,9600,-,
30/08/2024,6745480,6745480,44000,48400,39600,2900,131.0,303,45200,44900,45200,44900,300,45071,44900,900.0,2.05,334,493,7800,19800.0,2900.0,131.0,32,46,-14,10700,22700,-12000,-,
