Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3000000,3000000,8300,9500,7100,10100,72.0,25,8300,8300,8300,8300,-,8300,8300,,,1500,767,1500.0,2300.0,,,1.0,3.0,-2,1500.0,2300.0,-800,10100,72.0
26/09/2024,3000000,3000000,8300,9500,7100,-,,25,8300,8300,8300,8300,-,8300,8300,,,3500,300,10500.0,300.0,,,3.0,1.0,2,10500.0,300.0,10200,-,
25/09/2024,3000000,3000000,8300,9500,7100,-,,25,8300,8300,8300,8300,-,8300,8300,,,900,1300,1800.0,2600.0,,,2.0,2.0,-,1800.0,2600.0,-800,-,
24/09/2024,3000000,3000000,8300,9500,7100,1,0.0,25,8300,8300,8300,8300,-,8300,8300,,,-,-,,,1.0,0.0,1.0,,1,,,-,-,
23/09/2024,3000000,3000000,7300,8300,6300,502,4.0,25,8300,8300,8300,8300,-,8300,8300,1000.0,13.7,3150,500,5798.0,,502.0,4.0,2.0,1.0,1,6300.0,500.0,5800,-,
20/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,-,500,,500.0,,,,1.0,-1,,500.0,-500,-,
19/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,-,550,,1100.0,,,,2.0,-2,,1100.0,-1100,-,
18/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,-,500,,500.0,,,,1.0,-1,,500.0,-500,-,
17/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,11500,-,11500.0,,,,1.0,,1,11500.0,,11500,-,
12/09/2024,3000000,3000000,7300,8300,6300,-,,22,7300,7300,7300,7300,-,7300,7300,,,5900,-,11800.0,,,,2.0,,2,11800.0,,11800,-,
11/09/2024,3000000,3000000,8500,9700,7300,300,2.0,22,7300,7300,7300,7300,-,7300,7300,-1200.0,-14.12,11800,300,11500.0,,300.0,2.0,1.0,1.0,-,11800.0,300.0,11500,-,
10/09/2024,3000000,3000000,8500,9700,7300,3800,28.0,26,8500,8500,8500,8500,-,8500,8500,,,-,300,,300.0,,,,1.0,-1,,300.0,-300,3800,28.0
09/09/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,-,,,,,,,-,,,-,-,
06/09/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,300,,300.0,,,,1.0,-1,,300.0,-300,-,
05/09/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
04/09/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,2600,,2600.0,,,,1.0,-1,,2600.0,-2600,-,
30/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,2600,,2600.0,,,,1.0,-1,,2600.0,-2600,-,
29/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
28/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,1750,,3500.0,,,,2.0,-2,,3500.0,-3500,-,
27/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,3900,,3900.0,,,,1.0,-1,,3900.0,-3900,-,
26/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,1600,,1600.0,,,,1.0,-1,,1600.0,-1600,-,
23/08/2024,3000000,3000000,8500,9700,7300,29300,214.0,26,8500,8500,8500,8500,-,8500,8500,,,-,850,,1700.0,,,,2.0,-2,,1700.0,-1700,29300,214.0
22/08/2024,3000000,3000000,8500,9700,7300,2700,20.0,26,8500,8500,8500,8500,-,8500,8500,,,-,2950,,5900.0,,,,2.0,-2,,5900.0,-5900,2700,20.0
21/08/2024,3000000,3000000,8500,9700,7300,12700,93.0,26,8500,8500,8500,8500,-,8500,8500,,,-,1425,,5700.0,,,,4.0,-4,,5700.0,-5700,12700,93.0
20/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,-,,,,,,,-,,,-,-,
19/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,800,,1600.0,,,,2.0,-2,,1600.0,-1600,-,
16/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,-,,,,,,,-,,,-,-,
15/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,800,,1600.0,,,,2.0,-2,,1600.0,-1600,-,
14/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,-,,,,,,,-,,,-,-,
13/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
12/08/2024,3000000,3000000,8500,9700,7300,1000,9.0,26,8500,8500,8500,8500,-,8500,8500,,,1000,1000,,,1000.0,9.0,1.0,1.0,-,1000.0,1000.0,-,-,
09/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
08/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,1050,,2100.0,,,,2.0,-2,,2100.0,-2100,-,
07/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,1000,-,2000.0,,,,2.0,,2,2000.0,,2000,-,
06/08/2024,3000000,3000000,8500,9700,7300,1401,12.0,26,8500,8500,8500,8500,-,8500,8500,,,1050,900,699.0,399.0,1401.0,12.0,2.0,2.0,-,2100.0,1800.0,300,-,
05/08/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,1050,750,2100.0,1500.0,,,2.0,2.0,-,2100.0,1500.0,600,-,
02/08/2024,3000000,3000000,8500,9700,7300,403,3.0,26,8500,8500,8500,8500,-,8500,8500,,,1000,460,2597.0,1897.0,403.0,3.0,3.0,5.0,-2,3000.0,2300.0,700,-,
01/08/2024,3000000,3000000,8500,9700,7300,1200,10.0,26,8500,8500,8500,8500,-,8500,8500,,,800,213,2000.0,500.0,1200.0,10.0,4.0,8.0,-4,3200.0,1700.0,1500,-,
31/07/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,5500,500,5500.0,500.0,,,1.0,1.0,-,5500.0,500.0,5000,-,
30/07/2024,3000000,3000000,8500,9700,7300,6000,51.0,26,8500,8500,8500,8500,-,8500,8500,,,6000,1300,,500.0,6000.0,51.0,1.0,5.0,-4,6000.0,6500.0,-500,-,
29/07/2024,3000000,3000000,8500,9700,7300,103,1.0,26,8500,8500,8500,8500,-,8500,8500,,,1167,900,3397.0,2597.0,103.0,1.0,3.0,3.0,-,3500.0,2700.0,800,-,
26/07/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,1350,,2700.0,,,,2.0,-2,,2700.0,-2700,-,
25/07/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
24/07/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,2000,150,2000.0,300.0,,,1.0,2.0,-1,2000.0,300.0,1700,-,
23/07/2024,3000000,3000000,8500,9700,7300,1,0.0,26,8500,8500,8500,8500,-,8500,8500,,,200,200,199.0,599.0,1.0,0.0,1.0,3.0,-2,200.0,600.0,-400,-,
22/07/2024,3000000,3000000,8500,9700,7300,-,,26,8500,8500,8500,8500,-,8500,8500,,,200,400,200.0,1200.0,,,1.0,3.0,-2,200.0,1200.0,-1000,-,
