Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,118610670,118610670,10100,11100,9100,233410,2356.0,1198,10100,10100,10200,10000,200,10091,10100,,,2595,3553,236290.0,541190.0,233410.0,2356.0,181.0,218.0,-37,469700.0,774600.0,-304900,-,
26/09/2024,118610670,118610670,10100,11100,9100,396103,4021.0,1198,10100,10100,10300,10000,300,10153,10100,,,3166,2858,446097.0,449997.0,396103.0,4021.0,266.0,296.0,-30,842200.0,846100.0,-3900,-,
25/09/2024,118610670,118610670,10100,11100,9100,249450,2505.0,1198,10100,10100,10100,10000,100,10040,10100,,,1819,3324,178050.0,368850.0,249450.0,2505.0,235.0,186.0,49,427500.0,618300.0,-190800,-,
24/09/2024,118610670,118610670,10000,11000,9000,207620,2079.0,1198,10000,10100,10100,9900,200,10013,10100,100.0,1.0,2363,3401,205880.0,411280.0,207620.0,2079.0,175.0,182.0,-7,413500.0,618900.0,-205400,-,
23/09/2024,118610670,118610670,10100,11100,9100,149801,1500.0,1186,10200,10000,10200,9900,300,10018,10000,-100.0,-0.99,2037,2774,167899.0,343899.0,149801.0,1500.0,156.0,178.0,-22,317700.0,493700.0,-176000,-,
20/09/2024,118610670,118610670,10100,11100,9100,299816,3031.0,1198,10100,10100,10300,10000,300,10111,10100,,,3002,2998,273584.0,392784.0,299816.0,3031.0,191.0,231.0,-40,573400.0,692600.0,-119200,-,
19/09/2024,118610670,118610670,10200,11200,9200,164900,1665.0,1198,10200,10100,10200,10000,200,10096,10100,-100.0,-0.98,2473,3219,235700.0,404800.0,164900.0,1665.0,162.0,177.0,-15,400600.0,569700.0,-169100,-,
18/09/2024,118610670,118610670,10000,11000,9000,362600,3657.0,1210,10000,10200,10200,10000,200,10084,10200,200.0,2.0,3091,4201,342200.0,536500.0,362600.0,3657.0,228.0,214.0,14,704800.0,899100.0,-194300,-,
17/09/2024,118610670,118610670,10000,11000,9000,163761,1624.0,1186,9900,10000,10000,9900,100,9905,10000,,,2582,4021,275239.0,326839.0,163761.0,1624.0,170.0,122.0,48,439000.0,490600.0,-51600,-,
16/09/2024,118610670,118610670,10000,11000,9000,204101,2041.0,1186,10000,10000,10000,9900,100,10000,10000,,,2580,3875,144199.0,408199.0,204101.0,2041.0,135.0,158.0,-23,348300.0,612300.0,-264000,-,
13/09/2024,118610670,118610670,10000,11000,9000,268000,2662.0,1186,10000,10000,10100,9900,200,9930,10000,,,2617,3450,292000.0,239100.0,268000.0,2662.0,214.0,147.0,67,560000.0,507100.0,52900,-,
12/09/2024,118610670,118610670,10000,11000,9000,121115,1212.0,1186,10000,10000,10100,9900,200,10005,10000,,,2630,3444,297085.0,347285.0,121115.0,1212.0,159.0,136.0,23,418200.0,468400.0,-50200,-,
11/09/2024,118610670,118610670,10000,11000,9000,363700,3601.0,1186,10000,10000,10000,9800,200,9899,10000,,,2260,4760,323200.0,378900.0,363700.0,3601.0,304.0,156.0,148,686900.0,742600.0,-55700,-,
10/09/2024,118610670,118610670,10100,11100,9100,388712,3902.0,1186,10200,10000,10200,9900,300,10039,10000,-100.0,-0.99,2677,3994,165388.0,421988.0,388712.0,3902.0,207.0,203.0,4,554100.0,810700.0,-256600,-,
09/09/2024,118610670,118610670,10200,11200,9200,272554,2749.0,1198,10100,10100,10200,10000,200,10084,10100,-100.0,-0.98,2779,3627,369346.0,340446.0,272554.0,2749.0,231.0,169.0,62,641900.0,613000.0,28900,-,
06/09/2024,118610670,118610670,10100,11100,9100,304300,3059.0,1210,10100,10200,10200,10000,200,10051,10200,100.0,0.99,2134,3295,269800.0,298600.0,304300.0,3059.0,269.0,183.0,86,574100.0,602900.0,-28800,-,
05/09/2024,118610670,118610670,10300,11300,9300,346211,3518.0,1198,10300,10100,10300,10100,200,10168,10100,-200.0,-1.94,3335,3791,350889.0,396889.0,346211.0,3518.0,209.0,196.0,13,697100.0,743100.0,-46000,-,
04/09/2024,118610670,118610670,10300,11300,9300,395123,3999.0,1222,10300,10300,10300,10000,300,10115,10300,,,2639,4025,444177.0,252877.0,395123.0,3999.0,318.0,161.0,157,839300.0,648000.0,191300,-,
30/08/2024,118610670,118610670,10200,11200,9200,497318,5111.0,1222,10400,10300,10400,10100,300,10275,10300,100.0,0.98,3267,4133,407682.0,577182.0,497318.0,5111.0,277.0,260.0,17,905000.0,1074500.0,-169500,-,
29/08/2024,118610670,118610670,10200,11200,9200,163302,1670.0,1210,10200,10200,10300,10200,100,10232,10200,,,2666,3463,324498.0,449598.0,163302.0,1670.0,183.0,177.0,6,487800.0,612900.0,-125100,-,
28/08/2024,118610670,118610670,10300,11300,9300,244332,2501.0,1210,10400,10200,10400,10200,200,10240,10200,-100.0,-0.97,2494,4096,289468.0,636268.0,244332.0,2501.0,214.0,215.0,-1,533800.0,880600.0,-346800,-,
27/08/2024,118610670,118610670,10100,11100,9100,751329,7773.0,1222,10100,10300,10500,10100,400,10348,10300,200.0,1.98,3639,2882,423971.0,712671.0,751329.0,7773.0,323.0,508.0,-185,1175300.0,1464000.0,-288700,-,
26/08/2024,118610670,118610670,10100,11100,9100,249028,2521.0,1198,10600,10100,10600,10000,600,10127,10100,,,1804,2526,196472.0,362172.0,249028.0,2521.0,247.0,242.0,5,445500.0,611200.0,-165700,-,
23/08/2024,118610670,118610670,10100,11100,9100,359613,3603.0,1198,10100,10100,10100,9900,200,10017,10100,,,2559,2956,374687.0,281887.0,359613.0,3603.0,287.0,217.0,70,734300.0,641500.0,92800,-,
22/08/2024,118610670,118610670,10200,11200,9200,360827,3649.0,1198,10200,10100,10200,10000,200,10112,10100,-100.0,-0.98,2131,4529,214673.0,599273.0,360827.0,3649.0,270.0,212.0,58,575500.0,960100.0,-384600,-,
21/08/2024,118610670,118610670,10100,11100,9100,481218,4919.0,1210,10100,10200,10300,10100,200,10223,10200,100.0,0.99,2538,3453,343682.0,568482.0,481218.0,4919.0,325.0,304.0,21,824900.0,1049700.0,-224800,-,
20/08/2024,118610670,118610670,10000,11000,9000,627925,6309.0,1198,10100,10100,10200,10000,200,10046,10100,100.0,1.0,3097,3410,459175.0,234875.0,627925.0,6309.0,351.0,253.0,98,1087100.0,862800.0,224300,-,
19/08/2024,118610670,118610670,10000,11000,9000,522724,5253.0,1186,10100,10000,10200,9900,300,10050,10000,,,3482,3277,243376.0,316076.0,522724.0,5253.0,220.0,256.0,-36,766100.0,838800.0,-72700,-,
16/08/2024,118610670,118610670,9600,10500,8700,634354,6302.0,1186,9600,10000,10100,9600,500,9933,10000,400.0,4.17,2939,2541,341346.0,221946.0,634354.0,6302.0,332.0,337.0,-5,975700.0,856300.0,119400,-,
15/08/2024,118610670,118610670,9800,10700,8900,258245,2487.0,1139,9800,9600,9800,9600,200,9634,9600,-200.0,-2.04,1891,2588,222055.0,269655.0,258245.0,2487.0,254.0,204.0,50,480300.0,527900.0,-47600,-,
14/08/2024,118610670,118610670,9700,10600,8800,238911,2321.0,1162,9700,9800,9800,9600,200,9708,9800,100.0,1.03,3295,2891,347589.0,255389.0,238911.0,2321.0,178.0,171.0,7,586500.0,494300.0,92200,-,
13/08/2024,118610670,118610670,9800,10700,8900,534320,5195.0,1151,9900,9700,9900,9600,300,9723,9700,-100.0,-1.02,3101,4843,476680.0,390780.0,534320.0,5195.0,326.0,191.0,135,1011000.0,925100.0,85900,-,
12/08/2024,118610670,118610670,9900,10800,9000,399710,3937.0,1162,9900,9800,10100,9700,400,9851,9800,-100.0,-1.01,1937,3224,156290.0,377390.0,399710.0,3937.0,287.0,241.0,46,556000.0,777100.0,-221100,-,
09/08/2024,118610670,118610670,9600,10500,8700,348358,3427.0,1174,9700,9900,10000,9700,300,9834,9900,300.0,3.13,2013,2786,301742.0,409342.0,348358.0,3427.0,323.0,272.0,51,650100.0,757700.0,-107600,-,
08/08/2024,118610670,118610670,9900,10800,9000,327950,3182.0,1139,10000,9600,10100,9600,500,9724,9600,-300.0,-3.03,2315,3220,209150.0,390050.0,327950.0,3182.0,232.0,223.0,9,537100.0,718000.0,-180900,-,
07/08/2024,118610670,118610670,9600,10500,8700,409125,3965.0,1174,9700,9900,9900,9500,400,9687,9900,300.0,3.13,3581,3240,543475.0,274475.0,409125.0,3965.0,266.0,211.0,55,952600.0,683600.0,269000,-,
06/08/2024,118610670,118610670,9400,10300,8500,897621,8493.0,1139,9400,9600,9700,9300,400,9461,9600,200.0,2.13,2754,3311,317079.0,184979.0,897621.0,8493.0,441.0,327.0,114,1214700.0,1082600.0,132100,-,
05/08/2024,118610670,118610670,10100,11100,9100,1190201,11462.0,1115,10100,9400,10100,9400,700,9652,9400,-700.0,-6.93,3446,4296,353599.0,747399.0,1190201.0,11462.0,448.0,451.0,-3,1543800.0,1937600.0,-393800,-,
02/08/2024,118610670,118610670,10000,11000,9000,776619,7660.0,1198,10000,10100,10100,9600,500,9863,10100,100.0,1.0,2716,3574,557081.0,231281.0,776619.0,7660.0,491.0,282.0,209,1333700.0,1007900.0,325800,-,
01/08/2024,118610670,118610670,10600,11600,9600,2237225,22551.0,1186,10600,10000,10600,9700,900,10081,10000,-600.0,-5.66,3413,6238,513675.0,775675.0,2237225.0,22551.0,806.0,483.0,323,2750900.0,3012900.0,-262000,-,
31/07/2024,118610670,118610670,10700,11700,9700,1066600,11571.0,1257,10900,10600,11100,10600,500,10852,10600,-100.0,-0.93,2711,4562,99300.0,635000.0,1066600.0,11571.0,430.0,373.0,57,1165900.0,1701600.0,-535700,-,
30/07/2024,118610670,118610670,10700,11700,9700,756621,8082.0,1269,10700,10700,10800,10600,200,10681,10700,,,2734,3390,131979.0,402779.0,756621.0,8082.0,325.0,342.0,-17,888600.0,1159400.0,-270800,-,
29/07/2024,118610670,118610670,10600,11600,9600,750235,8011.0,1269,10600,10700,10800,10600,200,10675,10700,100.0,0.94,2178,2803,269065.0,242065.0,750235.0,8011.0,468.0,354.0,114,1019300.0,992300.0,27000,-,
26/07/2024,118610670,118610670,10400,11400,9400,296885,3138.0,1257,10800,10600,10800,10400,400,10569,10600,200.0,1.92,2278,2223,545815.0,254515.0,296885.0,3138.0,370.0,248.0,122,842700.0,551400.0,291300,-,
