Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,6134773,30680582,12600,13450,11750,13900,174.0,384,12650,12500,12650,12500,150,12518.0,12500,-100.0,-0.79,793,1081,5500,2200.0,13900.0,174.0,28.0,21.0,7,22200.0,22700.0,-500,-,
26/09/2024,6134773,30680582,12650,13500,11800,10100,127.0,387,12600,12600,12800,12500,300,12574.0,12600,-50.0,-0.4,721,686,7400,4300.0,10100.0,127.0,42.0,29.0,13,30300.0,19900.0,10400,-,
25/09/2024,6134773,30680582,12700,13550,11850,200,2.0,388,12650,12650,12650,12650,-,10000.0,12700,-50.0,-0.39,446,606,4800,5000.0,200.0,2.0,13.0,16.0,-3,5800.0,9700.0,-3900,-,
24/09/2024,6134773,30680582,12600,13450,11750,1000,12.0,390,12600,12700,12700,12600,100,12000.0,12700,100.0,0.79,614,379,3100,1500.0,1000.0,12.0,7.0,19.0,-12,4300.0,7200.0,-2900,-,
23/09/2024,6134773,30680582,12500,13350,11650,11500,145.0,387,12500,12600,12700,12500,200,12609.0,12600,100.0,0.8,1653,1085,2400,3100.0,11500.0,145.0,15.0,26.0,-11,24800.0,28200.0,-3400,-,
20/09/2024,6134773,30680582,12700,13550,11850,1400,17.0,384,12600,12500,12600,12500,100,12143.0,12500,-200.0,-1.57,420,2447,1700,24500.0,1400.0,17.0,20.0,19.0,1,8400.0,46500.0,-38100,-,
19/09/2024,6134773,30680582,12700,13550,11850,5000,64.0,390,13150,12700,13150,12700,450,12800.0,12700,,,679,644,4700,4500.0,5000.0,64.0,28.0,36.0,-8,19000.0,23200.0,-4200,-,
18/09/2024,6134773,30680582,12700,13550,11850,-,,390,12700,12700,12700,12700,-,,12700,,,170,955,1100,6000.0,,,10.0,11.0,-1,1700.0,10500.0,-8800,-,
17/09/2024,6134773,30680582,12700,13550,11850,-,,390,12700,12700,12700,12700,-,,12700,,,1325,1200,6400,17100.0,,,8.0,19.0,-11,10600.0,22800.0,-12200,-,
16/09/2024,6134773,30680582,12700,13550,11850,200,2.0,390,12700,12700,12700,12700,-,10000.0,12700,,,515,1146,5700,12400.0,200.0,2.0,13.0,13.0,-,6700.0,14900.0,-8200,-,
13/09/2024,6134773,30680582,12600,13450,11750,1700,21.0,390,12650,12700,12700,12650,50,12353.0,12700,100.0,0.79,733,370,9800,3900.0,1700.0,21.0,21.0,20.0,1,15400.0,7400.0,8000,-,
12/09/2024,6134773,30680582,12600,13450,11750,2300,28.0,387,12600,12600,12600,12600,-,12174.0,12600,,,1131,633,15600,3200.0,2300.0,28.0,16.0,21.0,-5,18100.0,13300.0,4800,-,
11/09/2024,6134773,30680582,12650,13500,11800,8000,101.0,387,12650,12600,12650,12600,50,12625.0,12600,-50.0,-0.4,1595,1235,18000,6000.0,8000.0,101.0,22.0,17.0,5,35100.0,21000.0,14100,-,
10/09/2024,6134773,30680582,12650,13500,11800,14500,183.0,388,12800,12650,12800,12600,200,12621.0,12700,,,570,1190,10700,5700.0,14500.0,183.0,54.0,20.0,34,30800.0,23800.0,7000,-,
09/09/2024,6134773,30680582,12950,13850,12050,1100,14.0,388,12950,12650,12950,12600,350,12727.0,12700,-300.0,-2.32,810,194,12900,700.0,1100.0,14.0,21.0,16.0,5,17000.0,3100.0,13900,-,
06/09/2024,6134773,30680582,12700,13550,11850,2400,30.0,397,12700,12950,12950,12500,450,12500.0,13000,250.0,1.97,1007,2553,10200,35800.0,2400.0,30.0,14.0,15.0,-1,14100.0,38300.0,-24200,-,
05/09/2024,6134773,30680582,12700,13550,11850,2200,27.0,390,12700,12700,12700,12700,-,12273.0,12700,,,1019,2938,11500,3100.0,2200.0,27.0,16.0,13.0,3,16300.0,38200.0,-21900,-,
