Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,35000000,34706000,3500,4000,3000,63100,232,128,3500,3700,4000,3500,500,3671,3700,200.0,5.71,1465,1509,80500.0,74200.0,63100,232,98,91,7,143600,137300,6300,-,
26/09/2024,35000000,34706000,3400,3900,2900,35402,124,118,3500,3400,3600,3400,200,3497,3400,,,2151,2288,130198.0,40098.0,35402,124,77,33,44,165600,75500,90100,-,
25/09/2024,35000000,34706000,3500,4000,3000,22400,77,121,3500,3500,3500,3400,100,3424,3500,,,1522,1997,73500.0,47500.0,22400,77,63,35,28,95900,69900,26000,-,
24/09/2024,35000000,34706000,3500,4000,3000,8400,29,121,3400,3500,3500,3400,100,3452,3500,,,2163,2039,73800.0,65000.0,8400,29,38,36,2,82200,73400,8800,-,
23/09/2024,35000000,34706000,3500,4000,3000,11900,41,125,3600,3600,3600,3400,200,3466,3600,100.0,2.86,638,2329,16800.0,67300.0,11900,41,45,34,11,28700,79200,-50500,-,
20/09/2024,35000000,34706000,3600,4100,3100,30060,105,125,3600,3600,3700,3400,300,3495,3600,,,1037,2791,29040.0,92740.0,30060,105,57,44,13,59100,122800,-63700,-,
19/09/2024,35000000,34706000,3600,4100,3100,5907,21,128,3700,3700,3700,3500,200,3610,3700,100.0,2.78,1041,1780,47193.0,81293.0,5907,21,51,49,2,53100,87200,-34100,-,
18/09/2024,35000000,34706000,3600,4100,3100,25000,89,128,3600,3700,3700,3500,200,3553,3700,100.0,2.78,1830,2523,29900.0,75900.0,25000,89,30,40,-10,54900,100900,-46000,-,
17/09/2024,35000000,34706000,3700,4200,3200,24600,88,128,3600,3700,3700,3500,200,3557,3700,,,865,2115,16900.0,62100.0,24600,88,48,41,7,41500,86700,-45200,-,
16/09/2024,35000000,34706000,3700,4200,3200,1700,6,128,3800,3700,3800,3600,200,3688,3700,,,1528,1732,36500.0,57200.0,1700,6,25,34,-9,38200,58900,-20700,-,
13/09/2024,35000000,34706000,3700,4200,3200,9400,34,132,3700,3800,3800,3600,200,3654,3800,100.0,2.7,1264,1961,22200.0,71000.0,9400,34,25,41,-16,31600,80400,-48800,-,
12/09/2024,35000000,34706000,3700,4200,3200,13702,50,132,3800,3800,3800,3600,200,3674,3800,100.0,2.7,1193,2152,39998.0,76698.0,13702,50,45,42,3,53700,90400,-36700,-,
