Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8000000,8000000,38000,40650,35350,800,30.0,304,38000,38000,38000,38000,-,37500.0,38000,,,1365,420,10000,800,800.0,30.0,17.0,10.0,7,23200.0,4200.0,19000,-,
26/09/2024,8000000,8000000,38600,41300,35900,1200,45.0,304,38000,38000,38000,38000,-,37500.0,38000,-600.0,-1.55,1086,442,11600,1600,1200.0,45.0,22.0,12.0,10,23900.0,5300.0,18600,-,
25/09/2024,8000000,8000000,38600,41300,35900,-,,309,38600,38600,38600,38600,-,,38600,,,935,391,14100,1400,,,17.0,11.0,6,15900.0,4300.0,11600,-,
24/09/2024,8000000,8000000,38600,41300,35900,-,,309,38600,38600,38600,38600,-,,38600,,,853,430,5300,1700,,,15.0,10.0,5,12800.0,4300.0,8500,-,
23/09/2024,8000000,8000000,38000,40650,35350,4100,158.0,309,38500,38600,38900,38500,400,38537.0,38600,600.0,1.58,540,444,3300,3700,4100.0,158.0,20.0,18.0,2,10800.0,8000.0,2800,-,
20/09/2024,8000000,8000000,38000,40650,35350,7400,281.0,304,38000,38000,38000,38000,-,37973.0,38000,,,865,1000,5300,2700,7400.0,281.0,20.0,17.0,3,17300.0,17000.0,300,-,
19/09/2024,8000000,8000000,38000,40650,35350,6300,239.0,304,38000,38000,38000,38000,-,37937.0,38000,,,800,1290,4400,4600,6300.0,239.0,25.0,10.0,15,20000.0,12900.0,7100,-,
18/09/2024,8000000,8000000,38000,40650,35350,9100,345.0,304,38500,38000,38500,38000,500,37912.0,38000,,,1380,990,5500,6200,9100.0,345.0,30.0,21.0,9,41400.0,20800.0,20600,-,
17/09/2024,8000000,8000000,38000,40650,35350,6200,235.0,304,38000,38000,38100,38000,100,37903.0,38000,,,936,838,7700,2800,6200.0,235.0,22.0,16.0,6,20600.0,13400.0,7200,-,
