Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15617632,15617632,7000,7700,6300,210,1.0,111,6900,7100,7100,6900,200,6900,7100,100.0,1.43,881,791,18290.0,8490.0,210.0,1.0,21,11,10,18500,8700,9800,-,
26/09/2024,15617632,15617632,7200,7900,6500,2008,14.0,109,7000,7000,7300,7000,300,7060,7000,-200.0,-2.78,764,1196,17092.0,25492.0,2008.0,14.0,25,23,2,19100,27500,-8400,-,
25/09/2024,15617632,15617632,7100,7800,6400,26822,189.0,112,7100,7200,7200,6900,300,7045,7200,100.0,1.41,1409,2378,21078.0,27878.0,26822.0,189.0,34,23,11,47900,54700,-6800,-,
24/09/2024,15617632,15617632,7200,7900,6500,29100,204.0,111,7100,7100,7100,6900,200,6989,7100,-100.0,-1.39,996,1273,15700.0,18000.0,29100.0,204.0,45,37,8,44800,47100,-2300,-,
23/09/2024,15617632,15617632,7400,8100,6700,34803,248.0,112,7200,7200,7200,7100,100,7116,7200,-200.0,-2.7,1113,1298,16397.0,17097.0,34803.0,248.0,46,40,6,51200,51900,-700,-,
20/09/2024,15617632,15617632,7400,8100,6700,21501,154.0,116,7200,7400,7400,7100,300,7182,7400,,,1363,1904,19399.0,31799.0,21501.0,154.0,30,28,2,40900,53300,-12400,-,
19/09/2024,15617632,15617632,7300,8000,6600,19130,137.0,116,7200,7400,7400,7100,300,7122,7400,100.0,1.37,1341,997,23770.0,16770.0,19130.0,137.0,32,36,-4,42900,35900,7000,-,
18/09/2024,15617632,15617632,7400,8100,6700,6717,49.0,114,7400,7300,7700,7200,500,7386,7300,-100.0,-1.35,942,830,15883.0,38083.0,6717.0,49.0,24,54,-30,22600,44800,-22200,-,
17/09/2024,15617632,15617632,7200,7900,6500,5700,42.0,116,7100,7400,7400,7100,300,7183,7400,200.0,2.78,762,552,16400.0,12500.0,5700.0,42.0,29,33,-4,22100,18200,3900,-,
16/09/2024,15617632,15617632,7400,8100,6700,16001,115.0,112,7200,7200,7300,7200,100,7201,7200,-200.0,-2.7,1456,1300,20399.0,13899.0,16001.0,115.0,25,23,2,36400,29900,6500,-,
13/09/2024,15617632,15617632,7400,8100,6700,29605,217.0,116,7700,7400,7700,7100,600,7336,7400,,,1109,1326,18095.0,31395.0,29605.0,217.0,43,46,-3,47700,61000,-13300,-,
12/09/2024,15617632,15617632,7600,8300,6900,21301,156.0,116,7500,7400,7500,7200,300,7332,7400,-200.0,-2.63,1082,1200,15499.0,19499.0,21301.0,156.0,34,34,-,36800,40800,-4000,-,
11/09/2024,15617632,15617632,7200,7900,6500,11400,86.0,119,7200,7600,7600,7100,500,7186,7600,400.0,5.56,1595,967,18900.0,11800.0,11400.0,86.0,19,24,-5,30300,23200,7100,-,
10/09/2024,15617632,15617632,7400,8100,6700,27600,195.0,112,7100,7200,7400,7000,400,7066,7200,-200.0,-2.7,929,1117,11400.0,19300.0,27600.0,195.0,42,42,-,39000,46900,-7900,-,
09/09/2024,15617632,15617632,7600,8300,6900,31301,225.0,116,7500,7400,7600,7000,600,7190,7400,-200.0,-2.63,919,1354,17399.0,16099.0,31301.0,225.0,53,35,18,48700,47400,1300,-,
06/09/2024,15617632,15617632,7900,8600,7200,9901,75.0,119,7400,7600,7600,7400,200,7535,7600,-300.0,-3.8,727,748,8999.0,14799.0,9901.0,75.0,26,33,-7,18900,24700,-5800,-,
05/09/2024,15617632,15617632,7300,8000,6600,11961,91.0,123,7600,7900,7900,7400,500,7502,7900,600.0,8.22,1025,960,16739.0,7239.0,11961.0,91.0,28,20,8,28700,19200,9500,-,
04/09/2024,15617632,15617632,7800,8500,7100,37100,277.0,114,7700,7300,7700,7300,400,7665,7300,-500.0,-6.41,1761,1964,17500.0,12000.0,37100.0,277.0,31,25,6,54600,49100,5500,-,
30/08/2024,15617632,15617632,7700,8400,7000,21900,169.0,122,7700,7800,7800,7500,300,7696,7800,100.0,1.3,1038,1332,27900.0,27400.0,21900.0,169.0,48,37,11,49800,49300,500,-,
29/08/2024,15617632,15617632,7600,8300,6900,12000,92.0,120,7900,7700,7900,7600,300,7698,7700,100.0,1.32,1289,787,22800.0,12400.0,12000.0,92.0,27,31,-4,34800,24400,10400,-,
28/08/2024,15617632,15617632,7800,8500,7100,20500,157.0,119,7700,7600,7800,7600,200,7731,7600,-200.0,-2.56,1075,1429,18200.0,13800.0,20500.0,157.0,36,24,12,38700,34300,4400,-,
27/08/2024,15617632,15617632,8000,8800,7200,26766,211.0,122,7800,7800,8000,7700,300,7899,7800,-200.0,-2.5,1078,1007,16334.0,16534.0,26766.0,211.0,40,43,-3,43100,43300,-200,-,
26/08/2024,15617632,15617632,8000,8800,7200,20502,163.0,125,8000,8000,8100,7800,300,7947,8000,,,802,895,19598.0,17998.0,20502.0,163.0,50,43,7,40100,38500,1600,-,
23/08/2024,15617632,15617632,7900,8600,7200,28700,229.0,125,7800,8000,8200,7800,400,7954,8000,100.0,1.27,1421,1562,26700.0,16600.0,28700.0,229.0,39,29,10,55400,45300,10100,-,
