Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,11999789,11999789,6100,6700,5500,7200,43.0,72,6200,6000,6200,6000,200,6004,6000,-100.0,-1.64,1274,1294,27200.0,16100.0,7200.0,43.0,27,18,9,34400,23300,11100,-,
26/09/2024,11999789,11999789,6200,6800,5600,10903,66.0,73,6000,6100,6300,6000,300,6042,6100,-100.0,-1.61,760,1354,19497.0,24297.0,10903.0,66.0,40,26,14,30400,35200,-4800,-,
25/09/2024,11999789,11999789,6100,6700,5500,2514,15.0,74,5900,6200,6300,5900,400,6128,6200,100.0,1.64,659,1075,18586.0,23286.0,2514.0,15.0,32,24,8,21100,25800,-4700,-,
24/09/2024,11999789,11999789,5900,6400,5400,1063,6.0,73,6200,6100,6200,5900,300,5975,6100,200.0,3.39,948,363,22637.0,4737.0,1063.0,6.0,25,16,9,23700,5800,17900,-,
23/09/2024,11999789,11999789,6200,6800,5600,5500,33.0,71,6000,5900,6000,5900,100,6000,5900,-300.0,-4.84,893,519,21300.0,5400.0,5500.0,33.0,30,21,9,26800,10900,15900,-,
20/09/2024,11999789,11999789,6300,6900,5700,1105,7.0,74,6000,6200,6300,6000,300,6033,6200,-100.0,-1.59,911,417,15295.0,6395.0,1105.0,7.0,18,18,-,16400,7500,8900,-,
19/09/2024,11999789,11999789,6300,6900,5700,1000,6.0,76,5900,6300,6300,5900,400,5940,6300,,,741,770,20500.0,14400.0,1000.0,6.0,29,20,9,21500,15400,6100,-,
18/09/2024,11999789,11999789,6300,6900,5700,1367,8.0,76,6000,6300,6300,5900,400,6127,6300,,,896,820,20133.0,10933.0,1367.0,8.0,24,15,9,21500,12300,9200,-,
17/09/2024,11999789,11999789,6300,6900,5700,1108,7.0,76,6000,6300,6300,5900,400,5938,6300,,,1147,820,18392.0,15292.0,1108.0,7.0,17,20,-3,19500,16400,3100,-,
