Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2900000,2900000,10900,12500,9300,-,,32,10900,10900,10900,10900,-,10900,10900,,,167,150,500.0,300.0,,,3.0,2,1,500.0,300,200,-,
26/09/2024,2900000,2900000,11500,13200,9800,1100,12.0,31,11000,10700,11000,10700,300,10918,10700,-800.0,-6.96,690,106,5800.0,600.0,1100.0,12.0,10.0,16,-6,6900.0,1700,5200,-,
25/09/2024,2900000,2900000,10400,11900,8900,102,1.0,33,11500,11500,11500,11500,-,11500,11500,1100.0,10.58,550,150,998.0,798.0,102.0,1.0,2.0,6,-4,1100.0,900,200,-,
24/09/2024,2900000,2900000,10400,11900,8900,-,,30,10400,10400,10400,10400,-,10400,10400,,,600,100,600.0,200.0,,,1.0,2,-1,600.0,200,400,-,
23/09/2024,2900000,2900000,10400,11900,8900,100,1.0,30,10400,10400,10400,10400,-,10400,10400,,,350,100,600.0,200.0,100.0,1.0,2.0,3,-1,700.0,300,400,-,
20/09/2024,2900000,2900000,11500,13200,9800,300,3.0,32,10100,11000,11000,10100,900,10400,11000,-500.0,-4.35,525,311,1800.0,2500.0,300.0,3.0,4.0,9,-5,2100.0,2800,-700,-,
19/09/2024,2900000,2900000,11500,13200,9800,-,,33,11500,11500,11500,11500,-,11500,11500,,,500,400,1000.0,1200.0,,,2.0,3,-1,1000.0,1200,-200,-,
18/09/2024,2900000,2900000,13500,15500,11500,300,3.0,33,11500,11500,11500,11500,-,11500,11500,-2000.0,-14.81,200,138,,1900.0,300.0,3.0,1.0,16,-15,200.0,2200,-2000,-,
17/09/2024,2900000,2900000,13500,15500,11500,-,,39,13500,13500,13500,13500,-,13500,13500,,,-,218,,2400.0,,,,11,-11,,2400,-2400,-,
