Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,125150939,125150939,29300,32200,26400,441622,12816,3629,29300,29000,29300,28800,500,29021,29000,-300.0,-1.02,1555,1181,146278,113478,441622,12816,378,470,-92,587900,555100,32800,-,
26/09/2024,125150939,125150939,29300,32200,26400,488698,14251,3667,29300,29300,29400,29000,400,29157,29300,,,1792,1321,154502,90102,488698,14251,359,438,-79,643200,578800,64400,-,
25/09/2024,125150939,125150939,29000,31900,26100,616201,17861,3667,29000,29300,29600,28800,800,28983,29300,300.0,1.03,1998,1401,157099,63099,616201,17861,387,485,-98,773300,679300,94000,-,
24/09/2024,125150939,125150939,28800,31600,26000,533035,15391,3629,28800,29000,29600,28500,1100,28874,29000,200.0,0.69,2021,1282,170365,68265,533035,15391,348,469,-121,703400,601300,102100,-,
23/09/2024,125150939,125150939,29000,31900,26100,504466,14473,3604,29000,28800,29000,28500,500,28690,28800,-200.0,-0.69,1527,1295,174934,79534,504466,14473,445,451,-6,679400,584000,95400,-,
20/09/2024,125150939,125150939,28900,31700,26100,497606,14351,3629,28900,29000,29000,28700,300,28841,29000,100.0,0.35,1262,1222,182394,76694,497606,14351,539,470,69,680000,574300,105700,-,
19/09/2024,125150939,125150939,29000,31900,26100,444900,12834,3617,29000,28900,29100,28700,400,28845,28900,-100.0,-0.34,1232,1579,166300,79400,444900,12834,496,332,164,611200,524300,86900,-,
18/09/2024,125150939,125150939,28900,31700,26100,466297,13437,3629,28900,29000,29100,28600,500,28813,29000,100.0,0.35,1538,1366,285703,63803,466297,13437,489,388,101,752000,530100,221900,-,
17/09/2024,125150939,125150939,28700,31500,25900,805501,23064,3617,28700,28900,29400,28400,1000,28656,28900,200.0,0.7,2081,1156,164699,35199,459501,13168,300,428,-128,624200,494700,129500,346000,9895.0
16/09/2024,125150939,125150939,28900,31700,26100,536529,15325,3592,28900,28700,28900,28300,600,28562,28700,-200.0,-0.69,1558,1342,158271,56671,536529,15325,446,442,4,694800,593200,101600,-,
13/09/2024,125150939,125150939,28900,31700,26100,598748,17161,3617,28800,28900,28900,28500,400,28659,28900,,,1340,1866,134352,46852,598748,17161,547,346,201,733100,645600,87500,-,
12/09/2024,125150939,125150939,28700,31500,25900,460502,13202,3617,28700,28900,29000,28400,600,28666,28900,200.0,0.7,1531,1383,168698,51098,460502,13202,411,370,41,629200,511600,117600,-,
11/09/2024,125150939,125150939,28900,31700,26100,631495,18005,3592,28900,28700,29100,28100,1000,28510,28700,-200.0,-0.69,2172,1757,148305,74905,631495,18005,359,402,-43,779800,706400,73400,-,
10/09/2024,125150939,125150939,29000,31900,26100,780990,22501,3617,29000,28900,29100,28600,500,28720,28900,-100.0,-0.34,1728,1458,149710,49610,435990,12531,339,333,6,585700,485600,100100,345000,9970.0
09/09/2024,125150939,125150939,29200,32100,26300,445846,12856,3629,29100,29000,29200,28600,600,28824,29000,-200.0,-0.68,1641,1360,143354,69554,445846,12856,359,379,-20,589200,515400,73800,-,
