Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,441900000,574469480,36150,38650,33650,9822400,353603,20623,36000,35900,36300,35700,600,36000,35900,-250.0,-0.69,3014,3670,447600.0,626100.0,9822400,353603,5357.0,4772.0,585,16145500.0,17511600.0,-1366100,-,
26/09/2024,441900000,574469480,35600,38050,33150,12836800,460695,20767,35700,36150,36300,35500,800,35889,36200,550.0,1.54,4136,3277,229800.0,339500.0,12836800,460695,5071.0,6581.0,-1510,20973000.0,21564200.0,-591200,-,
25/09/2024,441900000,574469480,34500,36900,32100,16210400,571563,20451,34650,35600,35750,34600,1150,35258,35600,1100.0,3.19,4429,3663,145500.0,237600.0,15815400,557623,6069.0,6746.0,-677,26878900.0,24711000.0,2167900,395000,13940.0
24/09/2024,441900000,574469480,34200,36550,31850,5748000,196462,19819,34250,34500,34500,34000,500,34179,34500,300.0,0.88,2341,3369,44500.0,385800.0,5748000,196462,4293.0,2953.0,1340,10049900.0,9948400.0,101500,-,
23/09/2024,441900000,574469480,34500,36900,32100,6684100,229319,19647,34600,34200,34600,34150,450,34308,34200,-300.0,-0.87,2455,3536,434600.0,67700.0,6684100,229319,4808.0,3155.0,1653,11801300.0,11157200.0,644100,-,
20/09/2024,441900000,574469480,34600,37000,32200,7488800,259423,19819,35000,34500,35050,34350,700,34644,34500,-100.0,-0.29,3963,4510,61000.0,410200.0,7243800,250951,3129.0,3505.0,-376,12401700.0,15806700.0,-3405000,245000,8472.0
19/09/2024,441900000,574469480,34500,36900,32100,6422000,221967,19877,34700,34600,34850,34400,450,34564,34600,100.0,0.29,3259,3920,453500.0,459000.0,6422000,221967,3276.0,3646.0,-370,10676600.0,14293700.0,-3617100,-,
18/09/2024,441900000,574469480,34150,36500,31800,9736200,335767,19819,34200,34500,34950,34100,850,34486,34500,350.0,1.02,3182,3725,77600.0,163600.0,9736200,335767,4526.0,5105.0,-579,14403400.0,19013600.0,-4610200,-,
17/09/2024,441900000,441900000,32500,34750,30250,6255800,208472,15091,32600,34150,34150,32550,1600,33325,34200,1650.0,5.08,2887,2699,65900.0,136500.0,6255800,208472,4251.0,3784.0,467,12273800.0,10212900.0,2060900,-,
16/09/2024,441900000,441900000,33400,35700,31100,5253700,172901,14362,33700,32500,33700,32500,1200,32901,32500,-900.0,-2.69,1627,4039,350700.0,5300.0,5208700,171371,5242.0,2880.0,2362,8526900.0,11633300.0,-3106400,45000,1530.0
13/09/2024,441900000,441900000,33400,35700,31100,6399800,214583,14759,33550,33400,34000,33200,800,33530,33400,,,2170,4081,126100.0,206900.0,6399800,214583,5024.0,2946.0,2078,10904400.0,12021700.0,-1117300,-,
12/09/2024,441900000,441900000,33700,36050,31350,6314900,215188,14759,34450,33400,35000,33400,1600,34079,33400,-300.0,-0.89,2217,3494,86200.0,32600.0,6129900,208898,4429.0,3518.0,911,9821100.0,12293500.0,-2472400,185000,6290.0
11/09/2024,441900000,441900000,44200,47250,41150,6425800,282660,19355,44300,43800,44300,43750,550,43980,33700,-400.0,-0.9,2045,2979,221800.0,90500.0,6398800,281418,5114.0,3339.0,1775,10459200.0,9948400.0,510800,27000,1242.0
