Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,83789658,83789658,22500,25800,19200,97909,2083.0,1835,22700,21900,22700,19200,3500,21272,21900,-600.0,-2.67,1205,2863,116591,182691,97909.0,2083.0,178,98,80,214500,280600,-66100,-,
26/09/2024,83789658,83789658,22500,25800,19200,7800,176.0,1885,22600,22500,22700,22300,400,22533,22500,,,436,3165,11400,207400,7800.0,176.0,44,68,-24,19200,215200,-196000,-,
25/09/2024,83789658,83789658,22500,25800,19200,23248,522.0,1885,22600,22500,22700,22400,300,22455,22500,,,2305,2747,115052,191052,23248.0,522.0,60,78,-18,138300,214300,-76000,-,
24/09/2024,83789658,83789658,22200,25500,18900,3800,85.0,1885,22400,22500,22600,22300,300,22458,22500,300.0,1.35,350,3983,13000,179400,3800.0,85.0,48,46,2,16800,183200,-166400,-,
23/09/2024,83789658,83789658,22700,26100,19300,18800,417.0,1877,22800,22400,22800,22000,800,22157,22400,-300.0,-1.32,848,3640,25300,199600,18800.0,417.0,52,60,-8,44100,218400,-174300,-,
20/09/2024,83789658,83789658,22600,25900,19300,2900,66.0,1902,22600,22700,23000,22600,400,22666,22700,100.0,0.44,374,2693,11700,215200,2900.0,66.0,39,81,-42,14600,218100,-203500,-,
19/09/2024,83789658,83789658,22400,25700,19100,1103,25.0,1894,22800,22600,22800,22400,400,22618,22600,200.0,0.89,404,3189,8597,196597,1103.0,25.0,24,62,-38,9700,197700,-188000,-,
18/09/2024,83789658,83789658,22600,25900,19300,11500,258.0,1910,22500,22800,23000,22100,900,22401,22800,200.0,0.88,433,2539,8400,201800,11500.0,258.0,46,84,-38,19900,213300,-193400,-,
17/09/2024,83789658,83789658,22800,26200,19400,11400,258.0,1910,22800,22800,22800,22400,400,22635,22800,,,726,3104,14000,215200,11400.0,258.0,35,73,-38,25400,226600,-201200,-,
16/09/2024,83789658,83789658,22800,26200,19400,33712,779.0,1919,23000,22900,23200,22500,700,22819,22900,100.0,0.44,4327,2660,207288,190088,30712.0,701.0,55,83,-28,238000,220800,17200,3000,79.0
